category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
General and Operations Managers,27.87,999093.32,102856656979.21,52.31,1875106.72,193042237156.46,24.44,876013.41,90185580177.25
Laborers and Material Movers,11.87,998142.93,37091133509.39,23.54,2476429.38,93437272503.97,11.67,1478286.45,56346138994.58
"Software and Web Developers, Programmers, and Testers",60.96,899428.17,98649069587.68,77.11,1256531.36,138693514131.30,16.15,357103.19,40044444543.62
Secretaries and Administrative Assistants,49.79,1924134.27,97619295280.78,80.81,2716104.48,137200320721.03,31.02,791970.21,39581025440.25
"Miscellaneous Sales Representatives, Services",38.31,455594.48,30187690497.43,72.98,867966.14,57511436723.72,34.67,412371.66,27323746226.28
Cashiers,40.82,1484329.11,46320798346.56,61.69,2159319.24,67389752567.36,20.87,674990.13,21068954220.80
Driver/Sales Workers and Truck Drivers,18.88,674747.76,35176699830.37,35.69,1091970.55,54822947598.54,16.81,417222.79,19646247768.17
Accountants and Auditors,28.09,406788.64,33226496491.62,43.59,631369.97,51570298906.80,15.51,224581.32,18343802415.18
Logisticians and Project Management Specialists,58.46,275451.69,23497881225.43,71.29,477496.20,41437542963.05,12.82,202044.51,17939661737.62
Retail Salespersons,57.36,2179886.98,75380491682.11,69.00,2622196.64,90675559889.75,11.64,442309.66,15295068207.63
"Securities, Commodities, and Financial Services Sales Agents",29.00,136979.21,10703555742.56,67.48,318731.51,24905680085.60,38.48,181752.30,14202124343.04
Miscellaneous Managers,31.27,205423.86,28050628559.00,47.22,305484.83,41713953997.03,15.94,100060.97,13663325438.03
Administrative Services and Facilities Managers,22.71,80077.98,8505192574.00,48.09,201024.74,21415012727.26,25.38,120946.76,12909820153.26
Industrial Truck and Tractor Operators,5.43,43777.08,2030818594.71,39.37,317212.20,14715473817.66,33.93,273435.12,12684655222.95
"Office Clerks, General",71.37,1791660.63,78170153362.97,82.44,2069678.99,90300094127.05,11.07,278018.35,12129940764.08
Medical and Health Services Managers,47.27,267480.24,31551968799.74,65.06,368154.77,43427537248.36,17.79,100674.54,11875568448.62
Miscellaneous Computer Occupations,56.66,451779.04,49230362009.83,74.28,560277.12,61053398144.68,17.63,108498.08,11823036134.84
Financial Managers,63.09,599710.16,96973132413.62,75.65,668278.20,108060584690.77,12.56,68568.04,11087452277.16
Financial Analysts and Advisors,51.39,429687.72,42892341388.11,66.14,531643.39,53242091139.19,14.75,101955.67,10349749751.08
Registered Nurses,35.44,1279664.70,119776615525.79,38.98,1388819.66,129993520239.68,3.54,109154.96,10216904713.89
First-Line Supervisors of Sales Workers,67.41,896606.06,47903299111.99,81.68,1087661.34,58067184990.99,14.27,191055.28,10163885879.00
"Bookkeeping, Accounting, and Auditing Clerks",69.59,1013026.79,49851048430.02,82.82,1205693.98,59332200900.88,13.23,192667.19,9481152470.86
