category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Management Occupations,35.52,4787440.12,613850326628.42,51.26,6608513.10,815773054101.77,15.74,1821072.97,201922727473.35
Office and Administrative Support Occupations,51.05,11211805.50,532655747235.43,68.35,13793013.13,656643452002.82,17.30,2581207.63,123987704767.39
Transportation and Material Moving Occupations,17.58,2141407.07,101021046727.33,29.88,4544620.49,205928848174.04,12.30,2403213.41,104907801446.72
Sales and Related Occupations,59.53,7574293.67,363035474832.75,74.50,9712322.92,463671866278.04,14.97,2138029.25,100636391445.30
Business and Financial Operations Occupations,50.73,5465270.63,443698131584.16,62.25,6538446.55,532451207225.84,11.52,1073175.92,88753075641.68
Computer and Mathematical Occupations,65.70,3305671.69,331313213511.07,78.38,3957634.66,401659226951.23,12.68,651962.98,70346013440.17
Healthcare Practitioners and Technical Occupations,29.25,3345832.72,326418819130.75,34.87,3893860.86,375496703668.20,5.63,548028.14,49077884537.44
Production Occupations,18.31,1577975.29,79093629622.31,27.14,2275648.44,113350779584.54,8.83,697673.15,34257149962.23
Educational Instruction and Library Occupations,53.58,4231451.71,268872175208.94,60.83,4804818.59,300813628619.79,7.25,573366.87,31941453410.85
Food Preparation and Serving Related Occupations,35.56,4905325.38,167268289053.74,41.10,5708987.91,195755254343.68,5.53,803662.54,28486965289.94
"Installation, Maintenance, and Repair Occupations",23.91,1587023.87,96709542294.39,29.44,1963304.12,118421742016.29,5.53,376280.25,21712199721.90
Architecture and Engineering Occupations,40.43,1119726.49,111475278692.68,50.33,1340764.04,131897099753.14,9.90,221037.55,20421821060.46
Protective Service Occupations,33.27,1370571.58,72812418372.76,43.16,1651253.82,90283155597.28,9.89,280682.24,17470737224.51
"Life, Physical, and Social Science Occupations",41.77,614566.92,52188878657.71,51.99,780764.80,65349028739.69,10.22,166197.88,13160150081.98
Healthcare Support Occupations,25.10,2405440.06,92312817314.83,31.02,2713512.15,104631263375.38,5.91,308072.09,12318446060.55
Building and Grounds Cleaning and Maintenance Occupations,18.46,476603.66,19088938187.05,24.24,780092.67,30746636653.79,5.79,303489.01,11657698466.74
Personal Care and Service Occupations,34.27,1138612.05,41285161914.16,41.78,1431845.45,52152300426.80,7.50,293233.40,10867138512.64
Construction and Extraction Occupations,13.88,1338971.01,85605981839.16,16.97,1504296.23,96325626401.85,3.09,165325.23,10719644562.69
"Arts, Design, Entertainment, Sports, and Media Occupations",47.59,1176721.97,76028144251.40,58.64,1349234.46,86320312214.34,11.06,172512.49,10292167962.95
Legal Occupations,48.28,521711.86,60787696848.72,54.52,619404.51,70562918908.71,6.24,97692.65,9775222059.98
Community and Social Service Occupations,47.26,961319.91,56006098808.93,53.32,1085063.21,63030135342.22,6.06,123743.30,7024036533.29
"Farming, Fishing, and Forestry Occupations",13.72,41214.17,1662419115.89,19.36,66055.22,2672320968.10,5.64,24841.05,1009901852.21
