category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Top Executives,39.74,1111807.90,124078005999.92,51.98,2007226.40,218170649901.85,12.24,895418.50,94092643901.93
Material Moving Workers,11.67,1072056.44,40757480941.90,28.69,2861962.95,111892252624.00,17.02,1789906.51,71134771682.10
Computer Occupations,64.61,3013574.10,300217650606.65,78.01,3634239.36,367159988750.01,13.40,620665.26,66942338143.35
Other Management Occupations,35.26,1533160.79,162569972568.85,51.13,2060541.44,219566450090.42,15.87,527380.65,56996477521.57
Business Operations Specialists,52.23,4226368.91,338208290461.56,62.24,4862779.94,390216737114.84,10.01,636411.04,52008446653.28
"Sales Representatives, Services",48.74,1017319.94,66119975271.43,73.68,1660175.05,110486318616.61,24.95,642855.12,44366343345.18
Operations Specialties Managers,33.20,1490716.50,230694616357.67,49.36,1823847.38,272657693626.48,16.16,333130.88,41963077268.80
Retail Sales Workers,51.32,4067798.91,137121698656.76,67.64,5279020.66,177057055787.60,16.32,1211221.75,39935357130.84
Secretaries and Administrative Assistants,49.79,1924134.27,97619295280.78,80.81,2716104.48,137200320721.03,31.02,791970.21,39581025440.25
Financial Specialists,48.09,1238901.73,105489841122.60,62.28,1675666.60,142234470111.00,14.20,436764.88,36744628988.40
Healthcare Diagnosing or Treating Practitioners,30.89,2358436.28,271010727503.05,35.32,2617772.51,303240424443.24,4.43,259336.23,32229696940.18
Motor Vehicle Operators,18.18,802258.66,40914587522.17,30.27,1301796.27,64200288917.82,12.09,499537.61,23285701395.65
"Material Recording, Scheduling, Dispatching, and Distributing Workers",39.38,798614.53,40220385313.74,56.60,1257353.65,62946709988.74,17.22,458739.12,22726324674.99
Financial Clerks,50.24,1571627.37,75563494746.19,68.67,2026293.59,96937057116.36,18.43,454666.22,21373562370.17
Other Office and Administrative Support Workers,52.60,2026903.93,88564497451.48,68.36,2418647.61,105920539482.57,15.76,391743.69,17356042031.09
Information and Record Clerks,56.91,3839153.74,161926458707.69,72.15,4213792.55,177751064904.26,15.25,374638.82,15824606196.57
Health Technologists and Technicians,26.71,919483.17,51283897416.33,34.51,1176587.94,66259472782.95,7.80,257104.77,14975575366.61
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",46.85,2434564.44,149066679782.65,52.74,2666577.65,163142482042.14,5.89,232013.21,14075802259.49
Engineers,42.40,785451.08,86401202801.90,49.67,907937.49,99962285647.43,7.27,122486.41,13561082845.54
Food and Beverage Serving Workers,35.07,2653873.41,84761461979.61,41.01,3045783.52,97369439664.28,5.94,391910.11,12607977684.67
Other Production Occupations,18.09,433932.12,20945891743.90,28.29,708095.77,33238765878.94,10.19,274163.66,12292874135.04
"Other Installation, Maintenance, and Repair Occupations",23.94,780229.05,43939458677.63,29.86,979542.73,55060293202.60,5.92,199313.67,11120834524.97
Supervisors of Sales Workers,67.41,896606.06,47903299111.99,81.68,1087661.34,58067184990.99,14.27,191055.28,10163885879.00
Supervisors of Food Preparation and Serving Workers,39.31,514414.86,23159184446.92,51.97,726447.19,32201720316.43,12.66,212032.32,9042535869.50
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",46.55,651754.94,96507731701.98,61.95,716897.88,105378260483.03,15.40,65142.94,8870528781.05
Supervisors of Office and Administrative Support Workers,68.43,1023367.28,67685511818.04,75.47,1128732.29,74654353675.11,7.05,105365.01,6968841857.06
"Counselors, Social Workers, and Other Community and Social Service Specialists",45.36,906492.65,52748734465.05,51.77,1028774.86,59687143130.30,6.41,122282.21,6938408665.25
Supervisors of Protective Service Workers,19.42,60932.36,5274481399.05,36.32,135315.19,12002330104.67,16.90,74382.83,6727848705.62
Postsecondary Teachers,71.49,870281.73,77596230929.04,78.47,950217.36,84322689430.92,6.98,79935.63,6726458501.88
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",18.10,1686302.07,59866506718.79,21.67,1866945.95,66443672469.97,3.57,180643.87,6577165751.18
"Lawyers, Judges, and Related Workers",41.89,337117.10,49717807382.45,46.70,381245.31,56245756318.80,4.81,44128.21,6527948936.35
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",15.64,327756.13,18222554346.54,19.62,444343.61,24506776555.20,3.98,116587.48,6284222208.66
Supervisors of Production Workers,32.67,223843.33,15935406585.35,45.40,311051.96,22143788800.06,12.73,87208.63,6208382214.71
Building Cleaning and Pest Control Workers,13.85,305802.00,11241864601.48,18.05,478395.84,17377477739.49,4.20,172593.85,6135613138.00
Air Transportation Workers,28.62,88143.33,9528610794.26,41.74,122701.48,15491208389.43,13.11,34558.15,5962597595.18
Cooks and Food Preparation Workers,40.35,1410975.35,49200747452.17,44.96,1578736.40,55033062980.94,4.61,167761.05,5832315528.77
Law Enforcement Workers,32.63,413910.09,31316342315.05,40.32,493341.38,36796375868.75,7.69,79431.28,5480033553.70
Construction Trades Workers,16.47,844052.65,48745941306.96,17.69,935280.08,54108074223.29,1.22,91227.43,5362132916.33
Other Teachers and Instructors,41.07,403112.44,16515918031.36,52.84,529952.48,21807794258.66,11.77,126840.04,5291876227.29
Other Healthcare Support Occupations,32.08,691094.08,30760789401.09,38.79,805852.09,35772354194.02,6.71,114758.01,5011564792.93
"Drafters, Engineering Technicians, and Mapping Technicians",38.40,233867.44,15982041206.85,48.78,305508.31,20658126238.63,10.38,71640.87,4676085031.78
