category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
General and Operations Managers,27.87,999093.32,102856656979.21,52.31,1875106.72,193042237156.46,24.44,876013.41,90185580177.25
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",38.31,455594.48,30187690497.43,72.98,867966.14,57511436723.72,34.67,412371.66,27323746226.28
Stockers and Order Fillers,23.26,646480.80,23977972713.46,44.66,1241241.34,46037641144.32,21.40,594760.54,22059668430.86
Software Quality Assurance Analysts and Testers,49.63,360283.98,40939451965.53,75.24,546177.09,62062683863.72,25.61,185893.11,21123231898.19
Cashiers,46.94,1477540.91,46084501118.56,68.24,2148107.83,66999483179.98,21.30,670566.91,20914982061.41
Accountants and Auditors,28.09,406788.64,33226496491.62,43.59,631369.97,51570298906.80,15.51,224581.32,18343802415.18
"Laborers and Freight, Stock, and Material Movers, Hand",5.97,178081.92,6934510155.93,20.71,617811.81,24057591884.78,14.74,439729.89,17123081728.85
Software Developers,45.16,327857.15,37254756564.89,64.68,469541.70,53354522704.87,19.52,141684.55,16099766139.98
Project Management Specialists,24.05,134875.66,12128092008.79,55.58,311668.34,28025385709.70,31.53,176792.68,15897293700.92
Recycling and Reclamation Workers,0.00,0.00,0.00,13.56,404313.00,15743948050.03,13.56,404313.00,15743948050.03
Medical Secretaries and Administrative Assistants,31.36,260566.70,11631697449.06,73.25,608508.61,27163824298.54,41.88,347941.91,15532126849.48
Retail Salespersons,57.36,2179886.98,75380491682.11,69.00,2622196.64,90675559889.75,11.64,442309.66,15295068207.63
"Securities, Commodities, and Financial Services Sales Agents",29.00,136979.21,10703555742.56,67.48,318731.51,24905680085.60,38.48,181752.30,14202124343.04
Industrial Truck and Tractor Operators,5.43,43777.08,2030818594.71,39.37,317212.20,14715473817.66,33.93,273435.12,12684655222.95
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",75.10,1305154.98,60415624181.77,90.87,1579176.43,73100076739.57,15.77,274021.44,12684452557.80
"Office Clerks, General",71.37,1791660.63,78170153362.97,82.44,2069678.99,90300094127.05,11.07,278018.35,12129940764.08
Medical and Health Services Managers,47.27,267480.24,31551968799.74,65.06,368154.77,43427537248.36,17.79,100674.54,11875568448.62
"Bookkeeping, Accounting, and Auditing Clerks",69.59,1013026.79,49851048430.02,82.82,1205693.98,59332200900.88,13.23,192667.19,9481152470.86
Heavy and Tractor-Trailer Truck Drivers,21.53,445791.35,25606255274.51,29.40,608734.10,34965686776.13,7.87,162942.75,9359431501.63
"Shipping, Receiving, and Inventory Clerks",25.81,221355.21,9560331730.44,51.03,437688.09,18903748746.06,25.22,216332.88,9343417015.62
First-Line Supervisors of Food Preparation and Serving Workers,36.45,432822.87,18182888890.75,53.71,637739.38,26791431550.39,17.26,204916.51,8608542659.65
Executive Secretaries and Executive Administrative Assistants,64.84,306536.60,22763407867.54,87.55,413906.11,30736667905.74,22.71,107369.51,7973260038.20
Treasurers and Controllers,47.63,136491.96,22070750235.64,64.19,183938.05,29742782695.97,16.56,47446.09,7672032460.34
First-Line Supervisors of Retail Sales Workers,67.18,747844.83,35388017512.09,81.60,908388.03,42984921619.19,14.42,160543.20,7596904107.11
"Entertainment and Recreation Managers, Except Gambling",39.76,222948.84,20047680499.91,54.73,306876.04,27594459120.87,14.97,83927.19,7546778620.96
Human Resources Specialists,75.84,695759.72,50727841250.31,86.37,792364.65,57771306499.32,10.53,96604.93,7043465249.01
First-Line Supervisors of Office and Administrative Support Workers,68.43,1023367.28,67685511818.04,75.47,1128732.29,74654353675.11,7.05,105365.01,6968841857.06
Facilities Managers,7.55,13922.37,1489506500.07,41.14,75909.48,8121293265.45,33.60,61987.11,6631786765.38
Lawyers,41.80,312592.71,47251513890.22,47.39,354359.80,53565026778.48,5.59,41767.09,6313512888.25
First-Line Supervisors of Production and Operating Workers,32.67,223843.33,15935406585.35,45.40,311051.96,22143788800.06,12.73,87208.63,6208382214.71
Financial Risk Specialists,33.64,63347.17,6578037633.52,64.82,122046.21,12673409572.25,31.17,58699.05,6095371938.73
Billing and Posting Clerks,36.77,153517.97,7241442843.95,66.60,278042.82,13115279680.47,29.83,124524.84,5873836836.52
Light Truck Drivers,15.34,152538.27,6733039395.09,27.47,273137.16,12056274114.48,12.13,120598.88,5323234719.39
"Education Administrators, Kindergarten through Secondary",22.43,71677.68,7459495979.12,38.18,122036.40,12700327737.17,15.76,50358.72,5240831758.05
Driver/Sales Workers,18.31,76418.13,2837405160.77,50.33,210099.29,7800986707.92,32.03,133681.16,4963581547.15
Administrative Services Managers,21.21,39126.36,4185993955.43,46.12,85085.45,9102998947.72,24.91,45959.09,4917004992.28
Construction Managers,42.49,148017.55,15834917969.56,55.65,193840.16,20737020338.19,13.15,45822.61,4902102368.63
Waiters and Waitresses,39.41,907500.77,30637225915.91,45.07,1037900.67,35039526727.19,5.66,130399.91,4402300811.27
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",11.34,249546.90,8966220074.85,16.79,369458.76,13274653382.52,5.45,119911.86,4308433307.67
"Production, Planning, and Expediting Clerks",46.06,177340.70,10244972523.58,65.36,251620.73,14536129764.05,19.29,74280.03,4291157240.47
Loss Prevention Managers,16.16,26530.43,3622729781.92,35.18,57758.35,7886902197.19,19.02,31227.92,4264172415.27
Regulatory Affairs Managers,46.00,89494.15,12220426757.35,61.99,120619.59,16470604615.38,16.00,31125.43,4250177858.03
"Airline Pilots, Copilots, and Flight Engineers",14.89,14786.48,3350615833.08,33.76,33519.88,7595604956.37,18.87,18733.40,4244989123.29
Computer Systems Analysts,70.69,285190.50,29599922217.58,80.71,325592.31,33793226211.67,10.01,40401.81,4193303994.09
Management Analysts,69.24,618935.48,62630080896.98,73.77,659462.28,66730988079.74,4.53,40526.80,4100907182.77
First-Line Supervisors of Police and Detectives,18.41,28194.40,2988042585.05,42.62,65260.32,6916288708.25,24.21,37065.92,3928246123.21
Advanced Practice Psychiatric Nurses,47.35,488433.72,45717396197.41,51.38,529962.18,49604460343.85,4.03,41528.46,3887064146.44
Supply Chain Managers,37.24,55242.73,5635311255.18,62.92,93344.66,9522089126.03,25.68,38101.93,3886777870.84
Receptionists and Information Clerks,73.83,712141.63,26513032975.50,84.57,815674.39,30367557375.49,10.73,103532.75,3854524399.99
Security Management Specialists,49.70,240075.27,19510916823.64,59.51,287414.69,23358191516.39,9.80,47339.42,3847274692.75
