category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap,emp_nat,median_wage,major
General and Operations Managers,27.87,999093.32,102856656979.21,52.31,1875106.72,193042237156.46,24.44,876013.41,90185580177.25,3584420.00,102950.00,Management Occupations
Software Quality Assurance Analysts and Testers,49.63,360283.98,40939451965.53,75.24,546177.09,62062683863.72,25.61,185893.11,21123231898.19,725946.38,113631.06,Computer and Mathematical Occupations
Software Developers,45.16,327857.15,37254756564.89,64.68,469541.70,53354522704.87,19.52,141684.55,16099766139.98,725946.38,113631.06,Computer and Mathematical Occupations
Medical and Health Services Managers,47.27,267480.24,31551968799.74,65.06,368154.77,43427537248.36,17.79,100674.54,11875568448.62,565840.00,117960.00,Management Occupations
Treasurers and Controllers,47.63,136491.96,22070750235.64,64.19,183938.05,29742782695.97,16.56,47446.09,7672032460.34,286560.00,161700.00,Management Occupations
Facilities Managers,7.55,13922.37,1489506500.07,41.14,75909.48,8121293265.45,33.60,61987.11,6631786765.38,184500.52,106986.55,Management Occupations
Financial Risk Specialists,33.64,63347.17,6578037633.52,64.82,122046.21,12673409572.25,31.17,58699.05,6095371938.73,188297.86,103841.07,Business and Financial Operations Occupations
"Education Administrators, Kindergarten through Secondary",22.43,71677.68,7459495979.12,38.18,122036.40,12700327737.17,15.76,50358.72,5240831758.05,319630.00,104070.00,Management Occupations
Administrative Services Managers,21.21,39126.36,4185993955.43,46.12,85085.45,9102998947.72,24.91,45959.09,4917004992.28,184500.52,106986.55,Management Occupations
Construction Managers,42.49,148017.55,15834917969.56,55.65,193840.16,20737020338.19,13.15,45822.61,4902102368.63,348330.00,106980.00,Management Occupations
Loss Prevention Managers,16.16,26530.43,3622729781.92,35.18,57758.35,7886902197.19,19.02,31227.92,4264172415.27,164169.00,136550.00,Management Occupations
Regulatory Affairs Managers,46.00,89494.15,12220426757.35,61.99,120619.59,16470604615.38,16.00,31125.43,4250177858.03,194569.00,136550.00,Management Occupations
"Airline Pilots, Copilots, and Flight Engineers",14.89,14786.48,3350615833.08,33.76,33519.88,7595604956.37,18.87,18733.40,4244989123.29,99300.00,226600.00,Transportation and Material Moving Occupations
First-Line Supervisors of Police and Detectives,18.41,28194.40,2988042585.05,42.62,65260.32,6916288708.25,24.21,37065.92,3928246123.21,153130.00,105980.00,Protective Service Occupations
Supply Chain Managers,37.24,55242.73,5635311255.18,62.92,93344.66,9522089126.03,25.68,38101.93,3886777870.84,148351.00,102010.00,Management Occupations
Human Resources Managers,52.33,112779.67,15792536636.02,64.92,139914.87,19592279345.16,12.59,27135.20,3799742709.13,215520.00,140030.00,Management Occupations
Computer Systems Engineers/Architects,61.79,120877.39,13172009053.11,78.42,153401.72,16716185359.38,16.63,32524.33,3544176306.27,195620.00,108970.00,Computer and Mathematical Occupations
Financial and Investment Analysts,50.47,95025.83,9867583805.02,64.67,121763.09,12644009566.96,14.20,26737.26,2776425761.94,188297.86,103841.07,Business and Financial Operations Occupations
Fundraising Managers,11.92,6991.95,921787114.92,42.87,25149.33,3315575316.79,30.95,18157.38,2393788201.86,58664.44,131835.56,Management Occupations
Geographic Information Systems Technologists and Technicians,47.21,40709.84,4436151544.33,71.61,61756.31,6729584898.98,24.40,21046.47,2293433354.65,86239.00,108970.00,Computer and Mathematical Occupations
Wind Energy Operations Managers,18.02,10245.88,1399074863.05,40.39,22957.73,3134878138.03,22.36,12711.85,1735803274.99,56843.00,136550.00,Management Occupations
Clinical Data Managers,58.62,61014.53,6869626138.97,73.34,76337.99,8594893985.04,14.72,15323.46,1725267846.07,104082.00,112590.00,Computer and Mathematical Occupations
Public Relations Managers,26.43,15505.14,2044128701.81,48.52,28462.24,3752335195.44,22.09,12957.10,1708206493.63,58664.44,131835.56,Management Occupations
