category,pct_human_conv,workers_human_conv,pct_all_confirmed,workers_all_confirmed,pct_all_ceiling,workers_all_ceiling,delta_api,delta_mcp
Architecture and Engineering Occupations,38.74,1042978.35,40.43,1119726.49,50.33,1340764.04,1.69,9.90
"Arts, Design, Entertainment, Sports, and Media Occupations",43.62,1058951.37,47.59,1176721.97,58.64,1349234.46,3.97,11.06
Building and Grounds Cleaning and Maintenance Occupations,16.00,451049.50,18.46,476603.66,24.24,780092.67,2.46,5.79
Business and Financial Operations Occupations,43.43,4833941.83,50.73,5465270.63,62.25,6538446.55,7.30,11.52
Community and Social Service Occupations,41.28,883987.51,47.26,961319.91,53.32,1085063.21,5.98,6.06
Computer and Mathematical Occupations,55.08,2713678.91,65.70,3305671.69,78.38,3957634.66,10.62,12.68
Construction and Extraction Occupations,13.01,1146201.42,13.88,1338971.01,16.97,1504296.23,0.87,3.09
Educational Instruction and Library Occupations,48.18,3849226.25,53.58,4231451.71,60.83,4804818.59,5.40,7.25
"Farming, Fishing, and Forestry Occupations",13.43,40866.85,13.72,41214.17,19.36,66055.22,0.29,5.64
Food Preparation and Serving Related Occupations,33.71,4712073.95,35.56,4905325.38,41.10,5708987.91,1.85,5.53
Healthcare Practitioners and Technical Occupations,24.76,2690466.62,29.25,3345832.72,34.87,3893860.86,4.48,5.63
Healthcare Support Occupations,20.19,2087489.37,25.10,2405440.06,31.02,2713512.15,4.91,5.91
"Installation, Maintenance, and Repair Occupations",22.31,1536268.46,23.91,1587023.87,29.44,1963304.12,1.60,5.53
Legal Occupations,42.93,490206.41,48.28,521711.86,54.52,619404.51,5.35,6.24
"Life, Physical, and Social Science Occupations",36.57,549958.75,41.77,614566.92,51.99,780764.80,5.20,10.22
Management Occupations,30.13,3994913.56,35.52,4787440.12,51.26,6608513.10,5.39,15.74
Office and Administrative Support Occupations,44.20,9741780.69,51.05,11211805.50,68.35,13793013.13,6.86,17.30
Personal Care and Service Occupations,31.11,1034656.75,34.27,1138612.05,41.78,1431845.45,3.16,7.50
Production Occupations,17.62,1508793.96,18.31,1577975.29,27.14,2275648.44,0.69,8.83
Protective Service Occupations,30.62,1186857.32,33.27,1370571.58,43.16,1651253.82,2.65,9.89
Sales and Related Occupations,49.76,6510319.58,59.53,7574293.67,74.50,9712322.92,9.78,14.97
Transportation and Material Moving Occupations,16.64,2020607.16,17.58,2141407.07,29.88,4544620.49,0.94,12.30
