category,pct_human_conv,pct_all_confirmed
Real Estate Brokers,51.44,90.16
Curators,50.36,84.17
Information Security Analysts,55.47,83.84
Telemarketers,49.63,83.26
Economists,57.48,82.53
"Human Resources Assistants, Except Payroll and Timekeeping",56.21,82.15
Computer User Support Specialists,53.79,81.76
Computer Network Support Specialists,55.75,81.36
Patient Representatives,56.99,80.85
Computer and Information Systems Managers,54.73,77.59
Marketing Managers,59.80,76.80
Document Management Specialists,58.59,76.79
Solar Sales Representatives and Assessors,55.50,74.57
Network and Computer Systems Administrators,56.11,73.68
Political Scientists,53.65,72.79
"Switchboard Operators, Including Answering Service",55.34,72.58
Astronomers,50.07,72.49
Bioinformatics Scientists,59.06,72.19
Film and Video Editors,54.78,72.00
Bill and Account Collectors,52.28,71.85
Statisticians,59.35,71.76
Computer Network Architects,57.05,71.56
"Dispatchers, Except Police, Fire, and Ambulance",41.12,71.51
Mathematicians,59.52,71.19
Logistics Analysts,37.22,70.71
Computer Systems Analysts,57.53,70.69
Sociologists,59.14,70.51
"Recreation and Fitness Studies Teachers, Postsecondary",56.68,69.59
"Bookkeeping, Accounting, and Auditing Clerks",59.22,69.59
"Interviewers, Except Eligibility and Loan",59.68,68.81
Database Architects,53.37,68.69
"Fraud Examiners, Investigators and Analysts",45.21,68.45
First-Line Supervisors of Office and Administrative Support Workers,54.62,68.43
"Mathematical Science Teachers, Postsecondary",58.46,68.09
Telecommunications Engineering Specialists,47.87,67.97
"Fine Artists, Including Painters, Sculptors, and Illustrators",56.57,67.94
First-Line Supervisors of Non-Retail Sales Workers,46.04,67.92
Information Technology Project Managers,46.10,67.85
First-Line Supervisors of Retail Sales Workers,56.92,67.18
Industrial-Organizational Psychologists,48.73,66.61
"Title Examiners, Abstractors, and Searchers",52.69,66.18
"Chemistry Teachers, Postsecondary",56.42,65.95
Data Entry Keyers,52.01,65.89
Concierges,57.50,65.83
Pharmacists,42.36,64.86
Executive Secretaries and Executive Administrative Assistants,58.29,64.84
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",54.94,64.56
Insurance Sales Agents,49.96,64.14
"Architects, Except Landscape and Naval",53.15,63.87
"Middle School Teachers, Except Special and Career/Technical Education",56.74,63.59
Editors,53.93,63.22
"Elementary School Teachers, Except Special Education",56.49,63.21
Order Clerks,45.08,62.94
Tax Preparers,52.28,62.90
Art Directors,57.44,62.54
Computer Systems Engineers/Architects,54.50,61.79
"Property, Real Estate, and Community Association Managers",57.07,61.50
"Meeting, Convention, and Event Planners",51.29,60.62
Private Detectives and Investigators,56.83,60.57
Photographers,54.72,60.56
Survey Researchers,52.70,60.41
Video Game Designers,57.35,60.30
Training and Development Specialists,51.39,60.20
"Directors, Religious Activities and Education",54.69,60.18
