category,pct_all_confirmed,pct_all_ceiling
Spa Managers,46.13,81.10
Web and Digital Interface Designers,51.24,78.00
Credit Analysts,54.05,78.00
Data Scientists,46.04,76.82
Loan Interviewers and Clerks,59.14,76.27
New Accounts Clerks,46.31,75.46
Software Quality Assurance Analysts and Testers,49.63,75.24
File Clerks,56.14,74.95
Biostatisticians,59.69,74.85
Legal Secretaries and Administrative Assistants,33.57,74.10
Payroll and Timekeeping Clerks,54.70,73.89
Clinical Data Managers,58.62,73.34
Medical Secretaries and Administrative Assistants,31.36,73.25
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",38.31,72.98
Telephone Operators,52.49,71.71
Biological Technicians,50.27,71.71
Geographic Information Systems Technologists and Technicians,47.21,71.61
Tellers,45.63,71.25
Correspondence Clerks,50.43,71.06
Sound Engineering Technicians,28.35,70.50
Mechanical Drafters,50.12,69.62
Insurance Claims and Policy Processing Clerks,36.27,69.60
Demonstrators and Product Promoters,57.43,69.12
Retail Salespersons,57.36,69.00
Fundraisers,56.91,69.00
Advertising and Promotions Managers,53.17,68.99
Social Science Research Assistants,53.47,68.89
Atmospheric and Space Scientists,58.78,68.49
Reservation and Transportation Ticket Agents and Travel Clerks,50.48,68.47
Penetration Testers,50.76,68.24
Cashiers,46.94,68.24
"Eligibility Interviewers, Government Programs",55.87,68.18
Freight Forwarders,51.92,68.18
Library Technicians,58.86,68.01
"Hotel, Motel, and Resort Desk Clerks",55.30,67.80
Lodging Managers,56.23,67.79
"Securities, Commodities, and Financial Services Sales Agents",29.00,67.48
Architectural and Engineering Managers,57.38,67.44
Compensation and Benefits Managers,55.61,66.71
Medical Records Specialists,38.67,66.64
Billing and Posting Clerks,36.77,66.60
Cargo and Freight Agents,51.94,66.58
Credit Counselors,57.22,66.54
Chemists,59.71,66.33
Remote Sensing Scientists and Technologists,39.16,66.30
Pharmacy Aides,50.04,66.05
Logistics Engineers,50.68,65.76
Museum Technicians and Conservators,57.94,65.40
"Production, Planning, and Expediting Clerks",46.06,65.36
Pharmacy Technicians,50.59,65.11
Medical and Health Services Managers,47.27,65.06
Logisticians,58.84,65.04
Digital Forensics Analysts,45.34,64.98
"Secondary School Teachers, Except Special and Career/Technical Education",59.76,64.94
Human Resources Managers,52.33,64.92
Marriage and Family Therapists,54.21,64.88
Financial Risk Specialists,33.64,64.82
"Electronics Engineers, Except Computer",59.87,64.69
Software Developers,45.16,64.68
Financial and Investment Analysts,50.47,64.67
"Court, Municipal, and License Clerks",40.28,64.37
Robotics Engineers,57.70,64.19
Treasurers and Controllers,47.63,64.19
Precision Agriculture Technicians,37.75,64.15
Geneticists,47.63,64.10
Proofreaders and Copy Markers,54.18,64.10
Blockchain Engineers,48.02,64.02
Remote Sensing Technicians,29.17,63.81
"Nursing Instructors and Teachers, Postsecondary",59.60,63.58
Compliance Managers,55.62,63.43
Coaches and Scouts,55.07,63.35
Budget Analysts,53.93,63.33
"Agents and Business Managers of Artists, Performers, and Athletes",53.06,63.29
Automotive Engineering Technicians,49.03,63.28
"Career/Technical Education Teachers, Middle School",58.59,63.27
Mental Health Counselors,57.59,63.13
Manufacturing Engineers,53.38,63.02
Supply Chain Managers,37.24,62.92
Architectural and Civil Drafters,45.47,62.79
Commercial and Industrial Designers,58.71,62.74
Parts Salespersons,45.85,62.45
Transportation Planners,57.57,62.43
Radio Frequency Identification Device Specialists,50.09,62.28
Postmasters and Mail Superintendents,17.28,62.17
Health Informatics Specialists,52.85,62.10
Computer Numerically Controlled Tool Programmers,53.08,62.09
Writers and Authors,49.27,62.06
Regulatory Affairs Managers,46.00,61.99
Health Information Technologists and Medical Registrars,38.11,61.96
Gambling Surveillance Officers and Gambling Investigators,37.15,61.84
Dietetic Technicians,52.44,61.71
Computer Hardware Engineers,54.59,61.46
Insurance Underwriters,52.72,61.44
"Kindergarten Teachers, Except Special Education",56.91,61.39
Mechatronics Engineers,50.77,61.27
First-Line Supervisors of Construction Trades and Extraction Workers,57.06,61.23
Molecular and Cellular Biologists,48.60,61.14
Chief Executives,50.67,61.10
Transportation Engineers,57.51,61.06
Fashion Designers,55.70,60.91
Photonics Engineers,54.71,60.71
Cartographers and Photogrammetrists,39.70,60.56
Security Guards,54.66,60.43
Clinical Research Coordinators,46.49,60.10
