category,pct_human_conv,workers_human_conv,tier_human_conv,pct_all_confirmed,workers_all_confirmed,tier_all_confirmed,pct_all_ceiling,workers_all_ceiling,tier_all_ceiling
Interpreters and Translators,84.04,44845.28,High,87.05,46448.45,High,87.70,46794.32,High
Market Research Analysts and Marketing Specialists,80.41,346241.35,High,89.50,385373.12,High,92.71,399192.59,High
Search Marketing Strategists,79.95,344247.97,High,89.65,385996.45,High,92.03,396266.47,High
"Poets, Lyricists and Creative Writers",78.65,35405.34,High,87.44,39364.63,High,88.54,39856.61,High
Bioinformatics Technicians,77.29,3601.50,High,87.67,4085.44,High,89.38,4164.94,High
Training and Development Managers,76.89,34571.75,High,85.71,38536.10,High,88.25,39679.15,High
Graphic Designers,74.28,159159.59,High,81.02,173598.54,High,87.30,187045.67,High
Statistical Assistants,73.56,4339.82,High,84.01,4956.30,High,86.25,5088.50,High
Word Processors and Typists,72.28,26041.92,High,75.09,27054.37,High,90.66,32665.28,High
"Engineering Teachers, Postsecondary",71.79,28651.57,High,82.86,33070.10,High,85.91,34285.23,High
"Business Teachers, Postsecondary",71.74,58671.79,High,80.38,65731.58,High,81.60,66728.83,High
"Communications Teachers, Postsecondary",71.62,20954.84,High,78.83,23064.21,High,87.16,25504.14,High
Public Relations Specialists,71.32,200116.08,High,83.21,233478.07,High,90.67,254407.75,High
Customer Service Representatives,71.00,1935395.84,High,84.08,2292070.98,High,85.86,2340529.84,High
"Education Teachers, Postsecondary",70.72,41788.19,High,83.15,49132.12,High,88.37,52217.77,High
Technical Writers,70.70,39258.48,High,85.76,47620.88,High,85.88,47690.01,High
Web Developers,70.51,47298.07,High,84.52,56700.48,High,90.77,60893.86,High
Archivists,69.98,4933.69,High,86.73,6114.12,High,86.87,6124.54,High
"Economics Teachers, Postsecondary",69.69,8655.01,High,81.89,10171.27,High,85.29,10592.48,High
"Computer Science Teachers, Postsecondary",69.59,25220.10,High,79.16,28687.19,High,80.92,29323.62,High
"Library Science Teachers, Postsecondary",68.87,2823.76,High,77.66,3184.25,High,83.47,3422.17,High
"History Teachers, Postsecondary",68.80,13663.31,High,79.93,15873.42,High,86.42,17162.12,High
Management Analysts,68.72,614331.22,High,69.24,618935.48,High,73.77,659462.28,High
"Health Specialties Teachers, Postsecondary",68.60,157585.17,High,76.86,176561.47,High,83.05,190771.62,High
Online Merchants,68.55,216907.21,High,84.04,265915.56,High,96.90,306617.16,High
"Physics Teachers, Postsecondary",67.65,9193.27,High,80.44,10931.36,High,86.07,11697.02,High
Geographers,67.38,929.84,High,67.97,938.03,High,71.84,991.33,High
Database Administrators,67.29,33283.56,High,75.35,37271.99,High,84.09,41593.68,High
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",67.23,1168389.70,High,75.10,1305154.98,High,90.87,1579176.43,High
Tutors,67.17,117327.13,High,71.38,124666.70,High,77.21,134861.40,High
"Architecture Teachers, Postsecondary",67.16,6124.78,High,77.55,7072.33,High,84.28,7685.95,High
"Political Science Teachers, Postsecondary",66.64,11441.53,High,79.99,13734.52,High,85.40,14662.90,High
"Philosophy and Religion Teachers, Postsecondary",66.41,13839.16,High,75.68,15771.11,High,83.55,17410.86,High
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",66.18,838430.49,High,81.81,1036422.58,High,85.70,1085749.19,High
"Biological Science Teachers, Postsecondary",66.04,35165.66,High,74.81,39836.03,High,81.60,43450.58,High
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",65.95,107030.09,High,71.60,116213.73,High,81.95,133007.92,High
"Social Work Teachers, Postsecondary",65.36,8725.01,High,75.98,10143.72,High,80.86,10794.88,High
"Office Clerks, General",65.33,1640134.76,High,71.37,1791660.63,High,82.44,2069678.99,High
Financial Quantitative Analysts,65.29,60875.75,High,84.89,79157.44,High,85.89,80092.67,High
Advertising Sales Agents,65.16,63513.28,High,83.62,81500.27,High,83.84,81718.38,High
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",65.15,7446.45,High,76.37,8728.72,High,81.95,9366.95,High
Brokerage Clerks,64.96,26044.25,High,71.34,28602.14,High,83.73,33567.86,High
Data Warehousing Specialists,64.77,20974.77,High,88.71,28729.65,High,91.95,29777.14,High
"Environmental Science Teachers, Postsecondary",64.42,4593.29,High,72.77,5188.57,High,81.07,5780.44,High
"Agricultural Sciences Teachers, Postsecondary",64.33,5596.75,High,75.45,6564.47,High,80.47,7001.16,High
Receptionists and Information Clerks,64.28,619958.74,High,73.83,712141.63,High,84.57,815674.39,High
Business Intelligence Analysts,64.12,78519.41,High,92.34,113079.83,High,95.60,117065.06,High
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",64.04,151280.30,High,76.76,181321.95,High,81.38,192251.42,High
"Geography Teachers, Postsecondary",63.75,2097.53,High,73.45,2416.51,High,80.73,2655.89,High
Real Estate Sales Agents,63.65,121318.81,High,78.11,148886.99,High,82.72,157668.65,High
Historians,63.59,1996.75,High,76.04,2387.71,High,78.79,2474.16,High
Computer and Information Research Scientists,63.59,24468.01,High,75.93,29217.43,High,79.64,30645.83,High
"Forestry and Conservation Science Teachers, Postsecondary",63.40,830.57,High,73.62,964.40,High,80.90,1059.81,High
Desktop Publishers,63.36,2534.46,High,69.89,2795.73,High,80.07,3202.77,High
Travel Agents,63.33,37457.81,High,71.20,42117.17,High,85.62,50646.14,High
Computer Programmers,63.25,69490.59,High,78.84,86622.88,High,83.88,92156.88,High
Actors,63.20,24521.02,High,79.37,30794.92,High,79.63,30896.65,High
"Psychology Teachers, Postsecondary",63.09,26251.70,High,75.88,31574.66,High,79.19,32952.43,High
Judicial Law Clerks,62.97,8324.52,High,62.97,8324.52,High,70.16,9275.51,High
Clergy,62.64,36379.42,High,72.16,41912.64,High,73.75,42832.66,High
"Foreign Language and Literature Teachers, Postsecondary",62.64,13259.83,High,70.20,14862.06,High,81.98,17355.83,High
Medical Transcriptionists,62.52,26927.55,High,75.29,32429.42,High,82.69,35613.29,High
Intelligence Analysts,62.38,46214.62,High,76.15,56422.10,High,77.46,57392.25,High
Operations Research Analysts,62.27,67101.52,High,70.69,76177.41,High,74.82,80626.55,High
Web Administrators,62.12,117611.53,High,69.77,132100.56,High,82.27,155772.00,High
"Sociology Teachers, Postsecondary",61.82,7653.35,High,72.41,8964.71,High,80.41,9955.24,High
"Law Teachers, Postsecondary",61.74,14076.27,High,75.25,17157.54,High,81.71,18630.93,High
Procurement Clerks,61.70,36959.74,High,69.39,41564.85,High,77.32,46315.56,High
Investment Fund Managers,61.65,316393.21,High,89.34,458481.38,High,92.45,474453.44,High
Personal Financial Advisors,61.54,166453.19,High,79.29,214469.88,High,81.92,221585.14,High
"English Language and Literature Teachers, Postsecondary",61.41,36594.85,High,71.86,42819.71,High,81.79,48740.31,High
Craft Artists,61.19,2673.95,High,65.47,2860.96,High,69.94,3056.25,High
"Criminal Justice and Law Enforcement Teachers, Postsecondary",60.89,8256.42,High,71.01,9628.94,High,80.29,10887.71,High
Physicists,60.82,12977.99,High,64.12,13684.23,High,70.15,14970.75,High
Sales Engineers,60.56,34331.80,High,72.01,40822.69,High,78.04,44238.08,High
"Anthropology and Archeology Teachers, Postsecondary",60.49,3181.89,High,70.86,3727.12,High,77.58,4080.88,High
Counter and Rental Clerks,60.46,240997.04,High,70.76,282061.63,High,83.28,331967.70,High
"Art, Drama, and Music Teachers, Postsecondary",60.40,59120.76,High,72.25,70720.81,High,79.59,77906.63,High
Sustainability Specialists,60.25,67186.51,High,75.53,84223.86,High,75.53,84223.86,High
"Wholesale and Retail Buyers, Except Farm Products",60.23,97759.23,High,66.18,107409.16,High,72.85,118231.10,High
Human Resources Specialists,60.20,552275.36,High,75.84,695759.72,High,86.37,792364.65,High
Marketing Managers,59.80,230233.37,Moderate,76.80,295646.35,High,78.01,300332.30,High
"Interviewers, Except Eligibility and Loan",59.68,93886.06,Moderate,68.81,108241.73,High,76.14,119769.99,High
Mathematicians,59.52,1321.34,Moderate,71.19,1580.52,High,76.41,1696.37,High
Statisticians,59.35,11078.91,Moderate,71.76,13395.76,High,84.65,15801.99,High
"Bookkeeping, Accounting, and Auditing Clerks",59.22,862141.91,Moderate,69.59,1013026.79,High,82.82,1205693.98,High
Sociologists,59.14,1744.49,Moderate,70.51,2079.98,High,71.20,2100.46,High
Bioinformatics Scientists,59.06,16005.96,Moderate,72.19,19562.33,High,78.79,21350.44,High
Document Management Specialists,58.59,72752.82,Moderate,76.79,95345.92,High,86.01,106795.24,High
"Mathematical Science Teachers, Postsecondary",58.46,28541.38,Moderate,68.09,33242.89,High,79.60,38858.43,High
Logisticians,58.40,40563.10,Moderate,58.84,40867.68,Moderate,65.04,45171.05,High
Commercial and Industrial Designers,58.31,17640.27,Moderate,58.71,17760.43,Moderate,62.74,18978.69,High
Executive Secretaries and Executive Administrative Assistants,58.29,275563.99,Moderate,64.84,306536.60,High,87.55,413906.11,High
Computer Systems Analysts,57.53,232069.60,Moderate,70.69,285190.50,High,80.71,325592.31,High
Concierges,57.50,25416.60,Moderate,65.83,29094.74,High,75.09,33187.92,High
Economists,57.48,5894.23,Moderate,82.53,8463.95,High,82.74,8485.15,High
Art Directors,57.44,28931.03,Moderate,62.54,31499.89,High,62.92,31690.36,High
Museum Technicians and Conservators,57.36,7496.52,Moderate,57.94,7573.24,Moderate,65.40,8548.00,High
Video Game Designers,57.35,31942.51,Moderate,60.30,33588.10,High,63.62,35438.40,High
"Property, Real Estate, and Community Association Managers",57.07,169288.81,Moderate,61.50,182443.82,High,68.54,203326.00,High
Computer Network Architects,57.05,55064.62,Moderate,71.56,69067.63,High,79.00,76249.10,High
Patient Representatives,56.99,66757.76,Moderate,80.85,94716.83,High,80.85,94716.83,High
First-Line Supervisors of Retail Sales Workers,56.92,633664.75,Moderate,67.18,747844.83,High,81.60,908388.03,High
Private Detectives and Investigators,56.83,21993.76,Moderate,60.57,23438.69,High,66.41,25700.62,High
"Middle School Teachers, Except Special and Career/Technical Education",56.74,351978.95,Moderate,63.59,394502.78,High,71.70,444793.51,High
"Recreation and Fitness Studies Teachers, Postsecondary",56.68,7186.73,Moderate,69.59,8824.34,High,77.02,9766.51,High
"Fine Artists, Including Painters, Sculptors, and Illustrators",56.57,5656.93,Moderate,67.94,6793.98,High,70.70,7069.92,High
"Elementary School Teachers, Except Special Education",56.49,787015.35,Moderate,63.21,880769.62,High,67.10,934965.29,High
"Chemistry Teachers, Postsecondary",56.42,11503.70,Moderate,65.95,13447.17,High,72.80,14844.54,High
"Human Resources Assistants, Except Payroll and Timekeeping",56.21,52038.06,Moderate,82.15,76056.39,High,89.79,83132.02,High
Models,56.20,3006.80,Moderate,56.20,3006.80,Moderate,57.81,3092.63,Moderate
Network and Computer Systems Administrators,56.11,178746.40,Moderate,73.68,234714.64,High,85.55,272541.99,High
Computer Network Support Specialists,55.75,81651.66,Moderate,81.36,119146.67,High,89.65,131286.88,High
Solar Sales Representatives and Assessors,55.50,32021.88,Moderate,74.57,43022.14,High,78.13,45080.44,High
Information Security Analysts,55.47,99536.08,Moderate,83.84,150441.52,High,85.91,154140.55,High
"Switchboard Operators, Including Answering Service",55.34,19772.78,Moderate,72.58,25931.14,High,81.88,29256.27,High
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",54.94,6307.02,Moderate,64.56,7411.74,High,74.27,8526.69,High
Atmospheric and Space Scientists,54.80,4811.59,Moderate,58.78,5161.19,Moderate,68.49,6013.74,High
Film and Video Editors,54.78,15808.11,Moderate,72.00,20778.68,High,79.84,23042.73,High
Transportation Planners,54.75,20240.69,Moderate,57.57,21281.97,Moderate,62.43,23082.11,High
Computer and Information Systems Managers,54.73,353568.46,Moderate,77.59,501187.58,High,79.70,514841.82,High
Photographers,54.72,28031.94,Moderate,60.56,31023.68,High,69.88,35797.01,High
"Directors, Religious Activities and Education",54.69,11735.61,Moderate,60.18,12914.62,High,62.70,13455.68,High
First-Line Supervisors of Office and Administrative Support Workers,54.62,816849.47,Moderate,68.43,1023367.28,High,75.47,1128732.29,High
Fashion Designers,54.52,11400.26,Moderate,55.70,11647.66,Moderate,60.91,12736.45,High
Computer Systems Engineers/Architects,54.50,106619.00,Moderate,61.79,120877.39,High,78.42,153401.72,High
Cost Estimators,54.30,119196.69,Moderate,56.37,123753.07,Moderate,59.14,129819.41,Moderate
Budget Analysts,53.93,25440.97,Moderate,53.93,25440.97,Moderate,63.33,29873.85,High
Editors,53.93,51493.82,Moderate,63.22,60362.64,High,69.05,65932.40,High
Computer User Support Specialists,53.79,375032.04,Moderate,81.76,570020.16,High,85.45,595780.13,High
