category,pct_human_conv,pct_all_confirmed,pct_all_ceiling
Adjust equipment to ensure adequate performance.,55.42,56.27,56.98
Adjust medical equipment to ensure adequate performance.,3.79,10.59,10.59
Administer basic health care or medical treatments.,6.95,8.52,10.65
Administer diagnostic tests to assess patient health.,5.62,7.85,14.72
Administer emergency medical treatment.,0.68,1.18,2.76
Administer therapeutic treatments.,3.65,6.66,8.58
Advise others on business or operational matters.,57.55,61.01,61.79
Advise others on educational or vocational matters.,64.78,69.04,69.04
Advise others on environmental sustainability or green practices.,46.89,48.23,48.32
Advise others on financial matters.,57.05,73.44,76.36
Advise others on healthcare or wellness issues.,48.46,49.89,50.34
Advise others on legal or regulatory matters.,51.02,55.14,55.14
Advise others on products or services.,64.68,75.82,75.94
Advise others on the design or use of technologies.,53.78,67.61,71.57
Advise others on workplace health or safety issues.,47.31,47.31,47.78
Advise patients or clients on medical issues.,49.41,62.86,63.11
Advocate for individual or community needs.,45.02,45.02,45.24
Alter audio or video recordings.,35.63,50.94,84.98
Analyze biological or chemical substances or related data.,55.00,65.14,66.99
Analyze business or financial data.,63.74,69.26,77.07
Analyze business or financial risks.,34.73,43.05,69.99
Analyze data to improve operations.,36.26,40.74,74.56
Analyze environmental or geospatial data.,10.92,16.58,56.57
Analyze health or medical data.,54.21,63.08,65.63
Analyze market or industry conditions.,66.82,76.51,83.52
Analyze performance of systems or equipment.,56.11,63.78,67.28
Analyze scientific or applied data using mathematical principles.,59.23,79.42,88.19
Apply decorative finishes.,51.61,51.61,52.87
Apply hygienic or cosmetic agents to skin or hair.,5.53,10.88,10.88
Apply materials to fill gaps or imperfections.,10.72,10.72,10.72
Apply protective solutions or coatings.,3.85,3.85,3.85
Arrange displays or decorations.,58.99,61.34,61.34
Assemble equipment or components.,8.07,8.07,9.21
Assemble products or work aids.,0.87,0.87,2.58
Assess characteristics of land or property.,4.68,5.53,29.14
Assess characteristics or impacts of regulations or policies.,65.07,65.61,67.06
Assess compliance with environmental standards or regulations.,19.20,19.85,22.92
"Assess living, work, or social needs or status of individuals or communities.",46.38,46.53,46.53
"Assess student capabilities, needs, or performance.",63.08,67.46,77.25
Assign work to others.,25.60,27.81,75.29
Assist healthcare practitioners during medical procedures.,6.64,11.02,11.48
Assist individuals with paperwork.,67.07,67.98,67.98
Assist individuals with special needs.,6.17,7.54,18.07
Assist others to access additional services or resources.,50.82,55.90,56.94
"Assist scientists, scholars, or technical specialists with projects or research.",54.99,62.96,62.96
Authorize business activities or transactions.,28.73,42.20,60.84
Build structures.,1.42,1.47,1.75
Calculate financial data.,64.06,64.87,75.52
Care for plants or animals.,54.50,54.50,54.50
Clean medical equipment or facilities.,0.77,6.53,7.23
"Clean tools, equipment, facilities, or work areas.",3.35,3.35,3.51
"Clean workpieces, finished products, or other objects.",3.28,3.28,3.28
Climb equipment or structures.,0.00,0.00,0.00
Coach others.,55.23,67.15,67.15
Collaborate in the development of educational programs.,37.99,38.22,47.05
Collect data about consumer needs or opinions.,40.72,54.01,71.12
Collect environmental or biological samples.,11.30,14.86,20.37
Collect fares or payments.,13.75,14.06,54.03
Collect information about patients or clients.,19.36,29.11,36.79
Collect samples of products or materials.,7.67,13.67,19.66
Communicate environmental or sustainability information.,53.79,53.79,54.05
Communicate with others about business strategies.,59.09,62.48,63.44
Communicate with others about operational plans or activities.,55.04,57.75,60.59
Communicate with others about specifications or project details.,58.19,62.87,63.00
"Compile records, documentation, or other data.",67.72,72.51,79.64
Conduct amusement or gaming activities.,54.92,54.92,59.43
Confer with clients to determine needs or order specifications.,50.02,57.20,57.33
Confer with healthcare or other professionals about patient care.,14.49,16.95,20.61
Connect components or supply lines to equipment or tools.,55.16,55.16,55.29
Consult legal materials or public records.,63.42,73.34,73.45
"Coordinate activities with clients, agencies, or organizations.",27.23,33.80,46.36
Coordinate artistic or entertainment activities.,22.76,24.36,35.71
"Coordinate group, community, or public activities.",31.72,35.26,51.90
Coordinate regulatory compliance activities.,12.88,14.07,39.25
Coordinate with others to resolve problems.,53.12,56.73,57.43
Counsel others about personal matters.,49.90,50.39,50.39
Create artistic designs or performances.,53.14,54.86,60.92
Create decorative objects or parts of objects.,55.66,59.74,59.74
Create visual designs or displays.,58.00,61.16,75.39
Cut materials.,7.48,7.48,8.00
Cut trees or other vegetation.,5.25,5.25,6.67
Design computer or information systems or applications.,65.96,73.78,82.01
Design databases.,43.25,55.00,89.34
Design electrical or electronic systems or equipment.,33.80,36.96,47.16
Design industrial systems or equipment.,15.96,16.00,40.21
Design materials or devices.,51.12,51.90,55.99
Design structures or facilities.,32.30,35.46,42.32
Determine operational methods or procedures.,60.05,62.85,63.28
Determine resource needs of projects or operations.,51.84,54.36,58.82
Determine values or prices of goods or services.,63.60,65.47,76.00
Develop business or marketing plans.,46.96,58.58,72.22
Develop contingency or emergency response plans.,9.15,9.15,30.86
"Develop educational programs, plans, or procedures.",32.34,36.69,41.53
Develop financial or business plans.,36.25,46.27,62.40
Develop health assessment methods or programs.,2.63,2.63,8.77
Develop marketing or promotional materials.,75.16,85.16,86.03
"Develop models of systems, processes, or products.",57.46,61.32,70.91
"Develop news, entertainment, or artistic content.",62.15,67.64,69.59
Develop operational or technical procedures or standards.,59.56,66.44,70.95
Develop organizational or program goals or objectives.,37.50,44.15,50.78
"Develop organizational policies, systems, or processes.",32.28,36.62,54.25
Develop patient or client care or treatment plans.,43.00,48.22,54.83
Develop plans for managing or preserving natural resources.,4.14,4.14,4.14
Develop professional relationships or networks.,55.98,59.56,62.84
Develop public or community health programs.,30.17,31.16,31.16
Develop recipes or menus.,62.86,62.86,63.43
Develop research plans or methodologies.,35.15,43.62,53.19
"Develop safety standards, policies, or procedures.",6.32,7.76,8.60
Develop scientific or mathematical theories or models.,57.98,66.02,72.34
Develop sustainable organizational or business policies or practices.,20.98,20.98,27.20
Develop systems or practices to mitigate or resolve environmental problems.,7.73,8.21,9.92
Develop technical specifications for products or operations.,62.26,64.53,69.50
