category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,rank_human_conv,intop_human_conv,rank_aei_api,intop_aei_api,rank_microsoft,intop_microsoft,rank_mcp,intop_mcp,confidence_count,confidence_tier
Accountants and Auditors,28.09,46.01,28.09,35.32,239.00,0,54.00,0,171.00,0,123.00,0,0,None (0/4)
"Actors, Producers, and Directors",33.82,31.38,21.91,23.54,200.00,0,101.00,0,239.00,0,209.00,0,0,None (0/4)
Actuaries,41.57,1.54,27.11,19.31,138.00,0,336.00,0,182.00,0,250.00,0,0,None (0/4)
Administrative Services and Facilities Managers,19.75,1.25,14.04,33.07,316.00,0,340.00,0,337.00,0,137.00,0,0,None (0/4)
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,51.00,24.89,22.02,268.00,0,38.00,0,205.00,0,231.00,0,0,None (0/4)
Advertising Sales Agents,65.16,44.12,50.03,52.27,13.00,1,56.00,0,4.00,1,50.00,0,2,Low (2/4)
Advertising and Promotions Managers,41.12,42.68,33.14,42.67,140.00,0,60.00,0,114.00,0,83.00,0,0,None (0/4)
Aerospace Engineers,26.61,2.54,24.41,23.15,252.00,0,315.00,0,210.00,0,213.00,0,0,None (0/4)
"Agents and Business Managers of Artists, Performers, and Athletes",47.46,33.71,28.24,33.41,94.00,0,88.00,0,170.00,0,132.00,0,0,None (0/4)
Agricultural Engineers,38.39,0.00,30.44,22.98,161.00,0,346.00,0,150.00,0,215.00,0,0,None (0/4)
Agricultural Inspectors,25.14,6.78,12.02,8.46,264.00,0,255.00,0,366.00,0,365.00,0,0,None (0/4)
Agricultural and Food Science Technicians,31.95,13.77,18.30,27.35,209.00,0,189.00,0,284.00,0,180.00,0,0,None (0/4)
Agricultural and Food Scientists,38.17,16.91,29.75,15.28,164.00,0,168.00,0,157.00,0,288.00,0,0,None (0/4)
Air Traffic Controllers and Airfield Operations Specialists,29.59,4.78,26.01,23.78,225.00,0,286.00,0,196.00,0,208.00,0,0,None (0/4)
Aircraft Mechanics and Service Technicians,14.03,0.00,14.03,9.01,366.00,0,346.00,0,338.00,0,362.00,0,0,None (0/4)
Aircraft Pilots and Flight Engineers,18.51,3.02,18.08,23.97,325.00,0,310.00,0,288.00,0,205.00,0,0,None (0/4)
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",11.28,5.54,10.52,1.31,389.00,0,275.00,0,387.00,0,424.00,0,0,None (0/4)
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,0.00,0.54,3.84,435.00,0,346.00,0,435.00,0,408.00,0,0,None (0/4)
Animal Breeders,47.23,0.00,42.89,13.04,96.00,0,346.00,0,22.00,0,310.00,0,0,None (0/4)
Animal Caretakers,39.56,7.98,39.56,22.69,150.00,0,242.00,0,59.00,0,222.00,0,0,None (0/4)
Animal Control Workers,47.12,15.54,40.37,13.92,98.00,0,176.00,0,50.00,0,303.00,0,0,None (0/4)
Animal Trainers,10.84,3.09,5.59,6.63,395.00,0,309.00,0,416.00,0,383.00,0,0,None (0/4)
"Architects, Except Naval",50.03,37.01,31.51,36.30,78.00,0,76.00,0,140.00,0,116.00,0,0,None (0/4)
Architectural and Engineering Managers,25.33,15.66,16.77,18.93,262.00,0,173.00,0,309.00,0,253.00,0,0,None (0/4)
"Archivists, Curators, and Museum Technicians",62.18,25.53,38.49,35.00,29.00,0,122.00,0,66.00,0,125.00,0,0,None (0/4)
Artists and Related Workers,53.57,35.53,39.97,37.69,61.00,0,82.00,0,58.00,0,107.00,0,0,None (0/4)
"Arts, Communications, History, and Humanities Teachers, Postsecondary",64.64,54.97,31.75,30.50,16.00,1,22.00,0,136.00,0,154.00,0,1,Single-source (1/4)
Astronomers and Physicists,57.51,12.02,35.37,35.33,42.00,0,204.00,0,95.00,0,122.00,0,0,None (0/4)
"Athletes, Coaches, Umpires, and Related Workers",36.06,15.61,24.37,19.17,186.00,0,174.00,0,213.00,0,251.00,0,0,None (0/4)
Atmospheric and Space Scientists,54.80,16.99,32.43,55.89,53.00,0,167.00,0,124.00,0,38.00,0,0,None (0/4)
Audiologists,21.24,0.00,20.68,7.48,296.00,0,346.00,0,257.00,0,376.00,0,0,None (0/4)
Automotive Technicians and Repairers,11.89,2.09,11.89,6.33,382.00,0,326.00,0,369.00,0,384.00,0,0,None (0/4)
"Baggage Porters, Bellhops, and Concierges",38.28,22.80,32.19,41.99,163.00,0,136.00,0,131.00,0,87.00,0,0,None (0/4)
"Bailiffs, Correctional Officers, and Jailers",22.11,6.04,21.11,12.87,291.00,0,268.00,0,252.00,0,311.00,0,0,None (0/4)
Bakers,25.05,0.00,19.84,22.22,266.00,0,346.00,0,266.00,0,228.00,0,0,None (0/4)
"Barbers, Hairdressers, Hairstylists and Cosmetologists",22.00,15.56,12.53,18.03,293.00,0,175.00,0,357.00,0,263.00,0,0,None (0/4)
Bartenders,26.49,7.90,21.63,12.71,254.00,0,244.00,0,242.00,0,313.00,0,0,None (0/4)
Bill and Account Collectors,52.28,54.00,26.84,42.83,69.00,0,25.00,0,185.00,0,82.00,0,0,None (0/4)
