category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,rank_human_conv,intop_human_conv,rank_aei_api,intop_aei_api,rank_microsoft,intop_microsoft,rank_mcp,intop_mcp,confidence_count,confidence_tier
Architecture and Engineering Occupations,38.74,12.16,33.88,33.58,9.00,1,12.00,0,4.00,1,6.00,1,3,Moderate (3/4)
"Arts, Design, Entertainment, Sports, and Media Occupations",43.62,27.08,32.52,36.93,5.00,1,6.00,1,5.00,1,5.00,1,4,High (4/4)
Building and Grounds Cleaning and Maintenance Occupations,16.00,7.21,10.88,10.49,20.00,0,17.00,0,22.00,0,20.00,0,0,None (0/4)
Business and Financial Operations Occupations,43.43,31.88,31.37,40.82,6.00,1,4.00,1,6.00,1,4.00,1,4,High (4/4)
Community and Social Service Occupations,41.28,21.97,30.83,21.74,8.00,1,8.00,1,7.00,1,12.00,0,3,Moderate (3/4)
Computer and Mathematical Occupations,55.08,43.93,43.40,65.33,1.00,1,1.00,1,1.00,1,1.00,1,4,High (4/4)
Construction and Extraction Occupations,13.01,3.24,11.11,5.61,22.00,0,20.00,0,21.00,0,22.00,0,0,None (0/4)
Educational Instruction and Library Occupations,48.18,33.51,28.81,22.88,3.00,1,3.00,1,9.00,1,11.00,0,3,Moderate (3/4)
"Farming, Fishing, and Forestry Occupations",13.43,1.26,11.85,7.38,21.00,0,22.00,0,20.00,0,21.00,0,0,None (0/4)
Food Preparation and Serving Related Occupations,33.71,7.23,29.31,16.57,11.00,0,16.00,0,8.00,1,16.00,0,1,Single-source (1/4)
Healthcare Practitioners and Technical Occupations,24.76,12.43,17.10,14.08,15.00,0,11.00,0,16.00,0,17.00,0,0,None (0/4)
Healthcare Support Occupations,20.19,9.65,11.95,16.65,17.00,0,15.00,0,19.00,0,15.00,0,0,None (0/4)
"Installation, Maintenance, and Repair Occupations",22.31,4.77,20.51,11.03,16.00,0,18.00,0,14.00,0,19.00,0,0,None (0/4)
Legal Occupations,42.93,26.85,22.80,24.15,7.00,1,7.00,1,13.00,0,9.00,1,3,Moderate (3/4)
"Life, Physical, and Social Science Occupations",36.57,18.40,27.68,27.34,10.00,1,10.00,1,10.00,1,8.00,1,4,High (4/4)
Management Occupations,30.13,19.56,20.44,31.79,14.00,0,9.00,1,15.00,0,7.00,1,2,Low (2/4)
Office and Administrative Support Occupations,44.20,29.02,34.50,54.40,4.00,1,5.00,1,3.00,1,2.00,1,4,High (4/4)
Personal Care and Service Occupations,31.11,9.93,26.45,23.96,12.00,0,14.00,0,12.00,0,10.00,1,1,Single-source (1/4)
Production Occupations,17.62,2.62,15.75,13.24,18.00,0,21.00,0,17.00,0,18.00,0,0,None (0/4)
Protective Service Occupations,30.62,10.43,26.46,19.44,13.00,0,13.00,0,11.00,0,13.00,0,0,None (0/4)
Sales and Related Occupations,49.76,40.45,36.75,54.18,2.00,1,2.00,1,2.00,1,3.00,1,4,High (4/4)
Transportation and Material Moving Occupations,16.64,3.96,15.24,17.98,19.00,0,19.00,0,18.00,0,14.00,0,0,None (0/4)
