category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,rank_human_conv,intop_human_conv,rank_aei_api,intop_aei_api,rank_microsoft,intop_microsoft,rank_mcp,intop_mcp,confidence_count,confidence_tier
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",36.44,36.25,26.64,39.70,39.00,0,12.00,1,38.00,0,20.00,1,2,Low (2/4)
Agricultural Workers,19.21,2.60,15.12,7.71,70.00,0,80.00,0,73.00,0,87.00,0,0,None (0/4)
Air Transportation Workers,27.88,4.21,25.29,21.01,56.00,0,69.00,0,44.00,0,49.00,0,0,None (0/4)
Animal Care and Service Workers,26.89,5.82,24.57,15.60,57.00,0,62.00,0,45.00,0,65.00,0,0,None (0/4)
"Architects, Surveyors, and Cartographers",39.32,14.80,28.91,42.92,30.00,0,42.00,0,34.00,0,13.00,1,1,Single-source (1/4)
Art and Design Workers,52.63,22.08,39.06,38.74,11.00,1,29.00,0,9.00,1,21.00,0,2,Low (2/4)
Assemblers and Fabricators,13.27,3.50,11.38,6.34,85.00,0,73.00,0,84.00,0,90.00,0,0,None (0/4)
"Baggage Porters, Bellhops, and Concierges",38.28,22.80,32.19,41.99,35.00,0,26.00,0,23.00,0,16.00,1,1,Single-source (1/4)
Building Cleaning and Pest Control Workers,12.42,5.49,6.20,11.14,88.00,0,64.00,0,94.00,0,78.00,0,0,None (0/4)
Business Operations Specialists,44.78,32.64,29.74,39.97,20.00,1,16.00,1,33.00,0,19.00,1,3,Moderate (3/4)
Communications Equipment Operators,52.98,27.90,43.27,66.22,10.00,1,21.00,0,3.00,1,3.00,1,3,Moderate (3/4)
Computer Occupations,54.16,42.87,43.54,66.47,6.00,1,8.00,1,2.00,1,2.00,1,4,High (4/4)
Construction Trades Workers,15.36,4.55,12.86,4.81,80.00,0,67.00,0,77.00,0,92.00,0,0,None (0/4)
Cooks and Food Preparation Workers,40.34,1.75,32.60,11.04,26.00,0,84.00,0,22.00,0,79.00,0,0,None (0/4)
"Counselors, Social Workers, and Other Community and Social Service Specialists",39.62,22.79,30.02,22.24,29.00,0,27.00,0,32.00,0,44.00,0,0,None (0/4)
"Drafters, Engineering Technicians, and Mapping Technicians",38.13,12.04,35.84,35.45,36.00,0,50.00,0,16.00,1,27.00,0,1,Single-source (1/4)
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",29.70,13.69,27.31,17.60,53.00,0,45.00,0,37.00,0,58.00,0,0,None (0/4)
Engineers,39.29,11.67,32.85,29.28,31.00,0,52.00,0,21.00,0,31.00,0,0,None (0/4)
"Entertainers and Performers, Sports and Related Workers",32.06,18.50,24.37,21.70,48.00,0,36.00,0,46.00,0,45.00,0,0,None (0/4)
Entertainment Attendants and Related Workers,38.87,5.61,36.66,36.51,34.00,0,63.00,0,13.00,1,25.00,0,1,Single-source (1/4)
Extraction Workers,8.08,0.09,8.08,5.73,93.00,0,89.00,0,92.00,0,91.00,0,0,None (0/4)
Financial Clerks,44.81,24.38,36.41,54.99,19.00,1,23.00,0,15.00,1,9.00,1,3,Moderate (3/4)
Financial Specialists,41.04,30.54,34.26,42.33,25.00,0,18.00,1,18.00,1,15.00,1,3,Moderate (3/4)
Firefighting and Prevention Workers,15.88,0.00,14.68,14.60,78.00,0,90.00,0,74.00,0,69.00,0,0,None (0/4)
Fishing and Hunting Workers,5.81,0.00,5.81,4.30,95.00,0,90.00,0,95.00,0,93.00,0,0,None (0/4)
Food Processing Workers,24.73,0.00,19.70,15.26,60.00,0,90.00,0,59.00,0,68.00,0,0,None (0/4)
Food and Beverage Serving Workers,33.64,9.49,30.88,19.46,43.00,0,56.00,0,31.00,0,52.00,0,0,None (0/4)
"Forest, Conservation, and Logging Workers",11.74,0.00,11.74,7.03,90.00,0,90.00,0,82.00,0,88.00,0,0,None (0/4)
Funeral Service Workers,21.48,4.32,19.36,11.66,68.00,0,68.00,0,61.00,0,76.00,0,0,None (0/4)
Grounds Maintenance Workers,9.45,0.00,9.45,3.42,92.00,0,90.00,0,90.00,0,94.00,0,0,None (0/4)
Health Technologists and Technicians,23.85,8.87,18.63,17.74,61.00,0,58.00,0,64.00,0,56.00,0,0,None (0/4)
Healthcare Diagnosing or Treating Practitioners,25.36,14.34,16.14,12.01,58.00,0,43.00,0,70.00,0,75.00,0,0,None (0/4)
"Helpers, Construction Trades",11.75,0.00,10.97,1.48,89.00,0,90.00,0,85.00,0,95.00,0,0,None (0/4)
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",17.45,2.73,10.96,9.54,74.00,0,79.00,0,86.00,0,83.00,0,0,None (0/4)
Information and Record Clerks,49.23,33.42,36.89,55.45,14.00,1,14.00,1,12.00,1,8.00,1,4,High (4/4)
Law Enforcement Workers,29.98,14.06,25.97,17.60,52.00,0,44.00,0,40.00,0,57.00,0,0,None (0/4)
"Lawyers, Judges, and Related Workers",39.12,21.90,20.77,16.73,32.00,0,30.00,0,58.00,0,61.00,0,0,None (0/4)
Legal Support Workers,49.81,35.78,26.46,37.55,13.00,1,13.00,1,39.00,0,23.00,0,2,Low (2/4)
"Librarians, Curators, and Archivists",52.28,24.96,39.63,40.25,12.00,1,22.00,0,7.00,1,18.00,1,3,Moderate (3/4)
Life Scientists,39.03,18.76,32.04,21.62,33.00,0,32.00,0,26.00,0,46.00,0,0,None (0/4)
"Life, Physical, and Social Science Technicians",31.22,13.07,22.83,29.09,49.00,0,46.00,0,52.00,0,32.00,0,0,None (0/4)
Material Moving Workers,10.74,3.22,10.12,19.39,91.00,0,75.00,0,89.00,0,53.00,0,0,None (0/4)
"Material Recording, Scheduling, Dispatching, and Distributing Workers",30.73,17.50,25.83,42.82,50.00,0,38.00,0,42.00,0,14.00,1,1,Single-source (1/4)
Mathematical Science Occupations,59.27,48.76,42.77,60.14,4.00,1,4.00,1,4.00,1,4.00,1,4,High (4/4)
Media and Communication Equipment Workers,40.25,29.58,25.85,41.61,27.00,0,19.00,1,41.00,0,17.00,1,2,Low (2/4)
Media and Communication Workers,53.90,39.22,43.65,49.89,7.00,1,9.00,1,1.00,1,12.00,1,4,High (4/4)
Metal Workers and Plastic Workers,19.11,1.90,18.35,11.28,71.00,0,83.00,0,66.00,0,77.00,0,0,None (0/4)
Motor Vehicle Operators,17.71,6.32,15.72,19.48,72.00,0,61.00,0,71.00,0,51.00,0,0,None (0/4)
Occupational Health and Safety Specialists and Technicians,20.52,6.49,18.08,17.28,69.00,0,60.00,0,67.00,0,59.00,0,0,None (0/4)
Occupational Therapy and Physical Therapist Assistants and Aides,15.01,2.88,12.47,9.35,81.00,0,76.00,0,78.00,0,84.00,0,0,None (0/4)
Operations Specialties Managers,28.23,18.74,17.54,32.53,55.00,0,33.00,0,68.00,0,28.00,0,0,None (0/4)
Other Construction and Related Workers,13.34,2.81,10.21,10.57,84.00,0,77.00,0,88.00,0,81.00,0,0,None (0/4)
Other Educational Instruction and Library Occupations,32.78,18.41,32.16,23.14,46.00,0,37.00,0,24.00,0,38.00,0,0,None (0/4)
Other Food Preparation and Serving Related Workers,24.74,8.57,23.44,16.24,59.00,0,59.00,0,49.00,0,62.00,0,0,None (0/4)
Other Healthcare Practitioners and Technical Occupations,23.14,12.56,19.15,15.27,65.00,0,48.00,0,63.00,0,67.00,0,0,None (0/4)
Other Healthcare Support Occupations,23.57,15.36,12.11,22.67,63.00,0,40.00,0,80.00,0,41.00,0,0,None (0/4)
"Other Installation, Maintenance, and Repair Occupations",23.01,2.54,21.61,10.65,66.00,0,81.00,0,56.00,0,80.00,0,0,None (0/4)
Other Management Occupations,30.08,18.65,21.28,31.02,51.00,0,34.00,0,57.00,0,30.00,0,0,None (0/4)
Other Office and Administrative Support Workers,48.46,33.11,36.96,57.24,15.00,1,15.00,1,11.00,1,6.00,1,4,High (4/4)
Other Personal Care and Service Workers,35.46,10.37,28.56,15.58,40.00,0,54.00,0,35.00,0,66.00,0,0,None (0/4)
Other Production Occupations,16.74,3.62,15.38,14.48,77.00,0,70.00,0,72.00,0,71.00,0,0,None (0/4)
Other Protective Service Workers,38.03,10.97,32.14,21.25,37.00,0,53.00,0,25.00,0,48.00,0,0,None (0/4)
Other Sales and Related Workers,53.61,52.72,36.58,54.71,8.00,1,3.00,1,14.00,1,10.00,1,4,High (4/4)
Other Teachers and Instructors,40.00,30.66,31.17,26.24,28.00,0,17.00,1,29.00,0,35.00,0,1,Single-source (1/4)
Other Transportation Workers,14.83,4.90,14.29,17.10,82.00,0,66.00,0,76.00,0,60.00,0,0,None (0/4)
Personal Appearance Workers,17.62,9.95,9.03,12.97,73.00,0,55.00,0,91.00,0,74.00,0,0,None (0/4)
Physical Scientists,41.23,17.35,27.43,37.98,23.00,0,39.00,0,36.00,0,22.00,0,0,None (0/4)
Plant and System Operators,16.81,3.53,10.94,21.27,76.00,0,72.00,0,87.00,0,47.00,0,0,None (0/4)
Postsecondary Teachers,61.80,54.14,31.93,28.45,2.00,1,2.00,1,27.00,0,33.00,0,2,Low (2/4)
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",42.79,24.37,24.24,16.02,22.00,0,24.00,0,47.00,0,63.00,0,0,None (0/4)
Printing Workers,22.30,3.60,18.40,26.38,67.00,0,71.00,0,65.00,0,34.00,0,0,None (0/4)
Rail Transportation Workers,13.86,1.29,12.36,10.44,83.00,0,86.00,0,79.00,0,82.00,0,0,None (0/4)
Religious Workers,61.47,12.06,40.61,15.64,3.00,1,49.00,0,6.00,1,64.00,0,2,Low (2/4)
Retail Sales Workers,46.36,24.18,39.08,54.13,18.00,1,25.00,0,8.00,1,11.00,1,3,Moderate (3/4)
"Sales Representatives, Services",42.84,46.30,34.40,58.43,21.00,0,6.00,1,17.00,1,5.00,1,3,Moderate (3/4)
"Sales Representatives, Wholesale and Manufacturing",62.97,56.92,40.80,56.06,1.00,1,1.00,1,5.00,1,7.00,1,4,High (4/4)
Secretaries and Administrative Assistants,46.45,45.18,37.11,71.62,17.00,1,7.00,1,10.00,1,1.00,1,4,High (4/4)
Social Scientists and Related Workers,41.21,29.51,32.86,22.43,24.00,0,20.00,1,20.00,1,43.00,0,2,Low (2/4)
Supervisors of Building and Grounds Cleaning and Maintenance Workers,29.09,18.53,19.18,18.34,54.00,0,35.00,0,62.00,0,54.00,0,0,None (0/4)
Supervisors of Construction and Extraction Workers,33.04,36.61,19.63,14.00,45.00,0,11.00,1,60.00,0,72.00,0,1,Single-source (1/4)
"Supervisors of Farming, Fishing, and Forestry Workers",7.87,3.23,7.87,13.34,94.00,0,74.00,0,93.00,0,73.00,0,0,None (0/4)
Supervisors of Food Preparation and Serving Workers,33.35,11.89,25.63,22.44,44.00,0,51.00,0,43.00,0,42.00,0,0,None (0/4)
"Supervisors of Installation, Maintenance, and Repair Workers",47.44,22.17,23.24,18.13,16.00,1,28.00,0,50.00,0,55.00,0,1,Single-source (1/4)
Supervisors of Office and Administrative Support Workers,54.62,38.90,23.83,36.39,5.00,1,10.00,1,48.00,0,26.00,0,2,Low (2/4)
Supervisors of Personal Care and Service Workers,34.49,18.83,34.21,23.04,42.00,0,31.00,0,19.00,1,39.00,0,1,Single-source (1/4)
Supervisors of Production Workers,32.25,2.09,31.11,25.05,47.00,0,82.00,0,30.00,0,37.00,0,0,None (0/4)
Supervisors of Protective Service Workers,17.42,5.02,16.52,20.85,75.00,0,65.00,0,69.00,0,50.00,0,0,None (0/4)
Supervisors of Sales Workers,53.56,48.61,23.19,36.72,9.00,1,5.00,1,51.00,0,24.00,0,2,Low (2/4)
Supervisors of Transportation and Material Moving Workers,23.34,9.16,21.63,22.89,64.00,0,57.00,0,55.00,0,40.00,0,0,None (0/4)
"Textile, Apparel, and Furnishings Workers",12.91,1.47,12.02,9.23,86.00,0,85.00,0,81.00,0,85.00,0,0,None (0/4)
Top Executives,35.05,15.02,22.56,26.20,41.00,0,41.00,0,54.00,0,36.00,0,0,None (0/4)
Tour and Travel Guides,37.64,12.73,31.67,32.31,38.00,0,47.00,0,28.00,0,29.00,0,0,None (0/4)
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",15.37,1.18,14.54,6.98,79.00,0,87.00,0,75.00,0,89.00,0,0,None (0/4)
Water Transportation Workers,12.83,0.80,11.49,14.51,87.00,0,88.00,0,83.00,0,70.00,0,0,None (0/4)
Woodworkers,23.69,2.79,22.70,8.30,62.00,0,78.00,0,53.00,0,86.00,0,0,None (0/4)
