category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,rank_human_conv,intop_human_conv,rank_aei_api,intop_aei_api,rank_microsoft,intop_microsoft,rank_mcp,intop_mcp,confidence_count,confidence_tier
Accountants and Auditors,28.09,46.01,28.09,35.32,505.00,0,115.00,0,341.00,0,228.00,0,0,None (0/4)
Actors,63.20,57.76,14.19,10.09,57.00,0,46.00,0,700.00,0,702.00,0,0,None (0/4)
Actuaries,41.57,1.54,27.11,19.31,279.00,0,627.00,0,361.00,0,488.00,0,0,None (0/4)
Acupuncturists,19.67,5.05,7.33,10.04,651.00,0,551.00,0,846.00,0,705.00,0,0,None (0/4)
Acute Care Nurses,29.87,12.74,19.58,10.95,466.00,0,385.00,0,568.00,0,685.00,0,0,None (0/4)
Adapted Physical Education Specialists,33.35,2.74,26.97,6.31,410.00,0,603.00,0,369.00,0,796.00,0,0,None (0/4)
Adhesive Bonding Machine Operators and Tenders,21.57,0.00,19.24,19.56,602.00,0,640.00,0,577.00,0,482.00,0,0,None (0/4)
"Administrative Law Judges, Adjudicators, and Hearing Officers",36.96,18.40,24.41,13.04,355.00,0,315.00,0,431.00,0,634.00,0,0,None (0/4)
Administrative Services Managers,21.21,1.85,21.00,37.83,610.00,0,622.00,0,528.00,0,192.00,0,0,None (0/4)
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,51.00,24.89,22.02,554.00,0,84.00,0,419.00,0,442.00,0,0,None (0/4)
Advanced Practice Psychiatric Nurses,39.46,27.19,14.67,16.00,310.00,0,232.00,0,685.00,0,554.00,0,0,None (0/4)
Advertising Sales Agents,65.16,44.12,50.03,52.27,40.00,0,123.00,0,14.00,1,100.00,0,1,Single-source (1/4)
Advertising and Promotions Managers,41.12,42.68,33.14,42.67,283.00,0,130.00,0,242.00,0,156.00,0,0,None (0/4)
Aerospace Engineering and Operations Technologists and Technicians,36.82,10.75,36.82,27.79,359.00,0,417.00,0,170.00,0,337.00,0,0,None (0/4)
Aerospace Engineers,26.61,2.54,24.41,23.15,524.00,0,608.00,0,432.00,0,417.00,0,0,None (0/4)
"Agents and Business Managers of Artists, Performers, and Athletes",47.46,33.71,28.24,33.41,190.00,0,183.00,0,339.00,0,247.00,0,0,None (0/4)
Agricultural Engineers,38.39,0.00,30.44,22.98,329.00,0,640.00,0,297.00,0,425.00,0,0,None (0/4)
Agricultural Equipment Operators,16.24,0.00,16.24,2.25,714.00,0,640.00,0,638.00,0,864.00,0,0,None (0/4)
Agricultural Inspectors,25.14,6.78,12.02,8.46,549.00,0,511.00,0,757.00,0,748.00,0,0,None (0/4)
"Agricultural Sciences Teachers, Postsecondary",64.33,55.78,33.02,26.08,45.00,0,53.00,0,246.00,0,367.00,0,0,None (0/4)
Agricultural Technicians,20.85,6.49,16.92,10.35,618.00,0,519.00,0,619.00,0,698.00,0,0,None (0/4)
Air Traffic Controllers,30.21,1.83,25.44,26.85,463.00,0,625.00,0,407.00,0,353.00,0,0,None (0/4)
Aircraft Cargo Handling Supervisors,20.85,0.00,20.85,28.74,617.00,0,640.00,0,534.00,0,320.00,0,0,None (0/4)
Aircraft Mechanics and Service Technicians,14.03,0.00,14.03,9.01,768.00,0,640.00,0,704.00,0,737.00,0,0,None (0/4)
Aircraft Service Attendants,14.25,0.00,14.25,2.35,764.00,0,640.00,0,699.00,0,862.00,0,0,None (0/4)
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",11.28,5.54,10.52,1.31,811.00,0,537.00,0,790.00,0,886.00,0,0,None (0/4)
Airfield Operations Specialists,28.38,10.58,27.12,17.78,502.00,0,419.00,0,359.00,0,518.00,0,0,None (0/4)
"Airline Pilots, Copilots, and Flight Engineers",14.75,0.88,14.43,25.26,754.00,0,633.00,0,696.00,0,379.00,0,0,None (0/4)
Allergists and Immunologists,22.01,23.74,13.20,14.89,597.00,0,259.00,0,731.00,0,580.00,0,0,None (0/4)
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,0.00,0.54,3.84,915.00,0,640.00,0,914.00,0,839.00,0,0,None (0/4)
Amusement and Recreation Attendants,40.93,7.49,37.48,38.31,285.00,0,490.00,0,157.00,0,186.00,0,0,None (0/4)
Anesthesiologist Assistants,10.49,0.00,10.13,10.64,828.00,0,640.00,0,799.00,0,689.00,0,0,None (0/4)
Anesthesiologists,5.60,0.39,5.14,5.21,884.00,0,638.00,0,876.00,0,816.00,0,0,None (0/4)
Animal Breeders,47.23,0.00,42.89,13.04,192.00,0,640.00,0,66.00,0,633.00,0,0,None (0/4)
Animal Caretakers,39.56,7.98,39.56,22.69,309.00,0,473.00,0,130.00,0,433.00,0,0,None (0/4)
Animal Control Workers,47.12,15.54,40.37,13.92,195.00,0,345.00,0,112.00,0,614.00,0,0,None (0/4)
Animal Scientists,38.75,0.00,20.90,10.00,322.00,0,640.00,0,530.00,0,708.00,0,0,None (0/4)
Animal Trainers,10.84,3.09,5.59,6.63,821.00,0,598.00,0,868.00,0,791.00,0,0,None (0/4)
Anthropologists and Archeologists,33.15,21.19,33.15,14.56,416.00,0,285.00,0,241.00,0,593.00,0,0,None (0/4)
"Anthropology and Archeology Teachers, Postsecondary",60.49,56.89,32.93,28.46,76.00,0,49.00,0,249.00,0,328.00,0,0,None (0/4)
Appraisers and Assessors of Real Estate,26.63,29.17,26.63,29.84,523.00,0,214.00,0,378.00,0,295.00,0,0,None (0/4)
Appraisers of Personal and Business Property,41.67,0.00,41.67,33.56,275.00,0,640.00,0,88.00,0,245.00,0,0,None (0/4)
"Arbitrators, Mediators, and Conciliators",35.99,20.51,18.40,14.71,372.00,0,291.00,0,592.00,0,587.00,0,0,None (0/4)
"Architects, Except Landscape and Naval",53.15,53.07,29.93,45.89,135.00,0,72.00,0,308.00,0,134.00,0,0,None (0/4)
Architectural and Civil Drafters,45.47,7.15,45.47,56.15,218.00,0,500.00,0,40.00,0,77.00,0,0,None (0/4)
Architectural and Engineering Managers,29.00,38.81,17.32,35.92,490.00,0,145.00,0,611.00,0,214.00,0,0,None (0/4)
"Architecture Teachers, Postsecondary",67.16,58.13,30.41,25.62,31.00,0,45.00,0,299.00,0,373.00,0,0,None (0/4)
Archivists,69.98,37.22,40.59,44.74,18.00,1,156.00,0,106.00,0,138.00,0,1,Single-source (1/4)
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",65.15,58.90,33.29,29.36,41.00,0,43.00,0,236.00,0,309.00,0,0,None (0/4)
Art Directors,57.44,31.33,38.48,34.58,97.00,0,198.00,0,140.00,0,236.00,0,0,None (0/4)
Art Therapists,49.14,4.15,21.03,16.46,177.00,0,575.00,0,527.00,0,547.00,0,0,None (0/4)
"Art, Drama, and Music Teachers, Postsecondary",60.40,49.45,30.88,22.88,78.00,0,91.00,0,293.00,0,428.00,0,0,None (0/4)
