confidence_tier,n,level,pct_of_level
High (4/4),6,major,27.27
Low (2/4),1,major,4.55
Moderate (3/4),4,major,18.18
None (0/4),9,major,40.91
Single-source (1/4),2,major,9.09
High (4/4),8,minor,8.42
Low (2/4),9,minor,9.47
Moderate (3/4),7,minor,7.37
None (0/4),62,minor,65.26
Single-source (1/4),9,minor,9.47
Low (2/4),15,broad,3.42
Moderate (3/4),5,broad,1.14
None (0/4),384,broad,87.47
Single-source (1/4),35,broad,7.97
Low (2/4),19,occ,2.06
Moderate (3/4),8,occ,0.87
None (0/4),838,occ,90.79
Single-source (1/4),58,occ,6.28
