category,pct_human_conv,pct_microsoft,pct_mcp
Adjust equipment to ensure adequate performance.,55.42,54.88,7.12
Adjust medical equipment to ensure adequate performance.,3.79,0.00,0.00
Administer basic health care or medical treatments.,6.95,0.00,3.45
Administer diagnostic tests to assess patient health.,5.62,0.00,7.61
Administer emergency medical treatment.,0.68,0.00,1.58
Administer therapeutic treatments.,3.65,0.00,2.85
Advise others on business or operational matters.,57.55,49.44,25.92
Advise others on educational or vocational matters.,64.78,51.30,6.39
Advise others on environmental sustainability or green practices.,46.89,46.09,4.98
Advise others on financial matters.,57.05,47.16,35.53
Advise others on healthcare or wellness issues.,48.46,50.82,16.14
Advise others on legal or regulatory matters.,51.02,49.44,14.30
Advise others on products or services.,64.68,53.45,44.09
Advise others on the design or use of technologies.,53.78,51.40,54.36
Advise others on workplace health or safety issues.,47.31,40.42,8.72
Advise patients or clients on medical issues.,49.41,44.98,18.30
Advocate for individual or community needs.,45.02,44.98,12.55
Alter audio or video recordings.,35.63,0.00,71.20
Analyze biological or chemical substances or related data.,55.00,49.44,22.26
Analyze business or financial data.,63.74,51.71,66.60
Analyze business or financial risks.,34.73,0.00,56.01
Analyze data to improve operations.,36.26,0.00,66.43
Analyze environmental or geospatial data.,10.92,0.00,52.80
Analyze health or medical data.,54.21,51.30,33.77
Analyze market or industry conditions.,66.82,52.08,70.89
Analyze performance of systems or equipment.,56.11,53.38,47.88
Analyze scientific or applied data using mathematical principles.,59.23,51.30,60.62
Apply decorative finishes.,51.61,47.16,7.87
Apply hygienic or cosmetic agents to skin or hair.,5.53,0.00,0.00
Apply materials to fill gaps or imperfections.,10.72,0.00,0.00
Apply protective solutions or coatings.,3.85,0.00,0.55
Arrange displays or decorations.,58.99,49.44,10.47
Assemble equipment or components.,8.07,0.00,2.14
Assemble products or work aids.,0.87,0.00,2.23
Assess characteristics of land or property.,4.68,0.00,22.48
Assess characteristics or impacts of regulations or policies.,65.07,50.54,30.40
Assess compliance with environmental standards or regulations.,19.20,0.00,9.59
"Assess living, work, or social needs or status of individuals or communities.",46.38,44.98,12.66
"Assess student capabilities, needs, or performance.",63.08,0.00,47.92
Assign work to others.,25.60,0.00,65.95
Assist healthcare practitioners during medical procedures.,6.64,0.00,0.46
Assist individuals with paperwork.,67.07,53.38,26.28
Assist individuals with special needs.,6.17,0.00,12.38
Assist others to access additional services or resources.,50.82,47.16,10.07
"Assist scientists, scholars, or technical specialists with projects or research.",54.99,47.16,29.64
Authorize business activities or transactions.,28.73,0.00,46.60
Build structures.,1.42,0.00,0.55
Calculate financial data.,64.06,53.38,72.23
Care for plants or animals.,54.50,54.92,2.54
Clean medical equipment or facilities.,0.77,0.00,0.98
"Clean tools, equipment, facilities, or work areas.",3.35,0.00,0.56
"Clean workpieces, finished products, or other objects.",3.28,0.00,0.00
Climb equipment or structures.,0.00,0.00,0.00
Coach others.,55.23,42.58,3.96
Collaborate in the development of educational programs.,37.99,0.00,19.46
Collect data about consumer needs or opinions.,40.72,0.00,40.62
Collect environmental or biological samples.,11.30,0.00,11.17
Collect fares or payments.,13.75,0.00,52.40
Collect information about patients or clients.,19.36,0.00,14.57
Collect samples of products or materials.,7.67,0.00,9.99
Communicate environmental or sustainability information.,53.79,53.34,17.91
Communicate with others about business strategies.,59.09,49.44,29.64
Communicate with others about operational plans or activities.,55.04,49.46,24.14
Communicate with others about specifications or project details.,58.19,51.30,17.84
"Compile records, documentation, or other data.",67.72,53.38,59.89
Conduct amusement or gaming activities.,54.92,54.92,45.02
Confer with clients to determine needs or order specifications.,50.02,40.42,18.42
Confer with healthcare or other professionals about patient care.,14.49,0.00,7.06
Connect components or supply lines to equipment or tools.,55.16,54.92,5.63
Consult legal materials or public records.,63.42,47.16,35.41
"Coordinate activities with clients, agencies, or organizations.",27.23,0.00,27.99
Coordinate artistic or entertainment activities.,22.76,0.00,21.85
"Coordinate group, community, or public activities.",31.72,0.00,26.98
Coordinate regulatory compliance activities.,12.88,0.00,30.28
Coordinate with others to resolve problems.,53.12,49.44,21.17
Counsel others about personal matters.,49.90,46.96,20.97
Create artistic designs or performances.,53.14,47.16,34.07
Create decorative objects or parts of objects.,55.66,44.98,10.28
Create visual designs or displays.,58.00,47.16,65.64
Cut materials.,7.48,0.00,3.39
Cut trees or other vegetation.,5.25,0.00,1.42
