category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,mean_pct,std_pct
Data Scientists,46.04,0.00,46.04,72.12,41.05,30.00
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",38.31,0.00,38.31,70.78,36.85,28.95
Actors,63.20,57.76,14.19,10.09,36.31,28.05
Penetration Testers,50.76,0.00,50.76,61.45,40.74,27.62
Blockchain Engineers,48.02,0.00,48.02,58.66,38.68,26.27
Models,56.20,11.74,46.84,4.67,29.86,25.46
Gas Compressor and Gas Pumping Station Operators,0.83,0.00,0.83,51.14,13.20,25.30
Park Naturalists,52.82,0.00,52.26,38.63,35.93,24.83
"Meat, Poultry, and Fish Cutters and Trimmers",45.01,0.00,45.01,4.29,23.58,24.81
Tellers,43.99,4.20,40.87,63.08,38.03,24.60
Clergy,62.64,9.73,42.32,15.70,32.60,24.53
Digital Forensics Analysts,45.34,0.00,45.34,52.49,35.79,24.10
Museum Technicians and Conservators,57.36,0.00,36.93,24.60,29.72,23.98
Commercial and Industrial Designers,58.31,1.45,39.24,40.81,34.95,23.95
Telemarketers,49.63,68.29,35.43,90.13,60.87,23.70
Information Security Engineers,35.06,0.00,35.06,55.56,31.42,23.07
Telephone Operators,49.59,9.05,47.26,62.26,42.04,22.96
Animal Breeders,47.23,0.00,42.89,13.04,25.79,22.95
New Accounts Clerks,42.12,10.79,42.12,66.76,40.44,22.93
"Education Teachers, Postsecondary",70.72,63.85,29.57,26.96,47.77,22.73
Web Developers,70.51,34.07,47.34,84.64,59.14,22.71
Mechanical Drafters,48.69,6.90,44.39,58.60,39.65,22.62
Financial Managers,25.11,72.07,25.11,48.46,42.69,22.47
Patient Representatives,56.99,75.13,41.53,22.41,49.01,22.43
Software Quality Assurance Analysts and Testers,49.63,18.32,49.63,72.37,47.49,22.21
Photographic Process Workers and Processing Machine Operators,20.26,1.53,16.00,53.70,22.87,22.06
"Communications Teachers, Postsecondary",71.62,54.81,26.04,28.47,45.23,21.89
"Health Specialties Teachers, Postsecondary",68.60,54.47,25.94,24.34,43.34,21.80
Architectural and Civil Drafters,45.47,7.15,45.47,56.15,38.56,21.54
Sound Engineering Technicians,23.47,14.45,9.77,56.80,26.12,21.23
Training and Development Managers,76.89,59.78,37.02,30.87,51.14,21.20
Butchers and Meat Cutters,40.59,0.00,40.59,8.91,22.52,21.18
Medical Transcriptionists,62.52,49.88,16.39,59.29,47.02,21.11
"Cooks, Restaurant",46.23,0.40,33.88,10.46,22.74,21.02
Court Reporters and Simultaneous Captioners,19.41,7.11,19.41,55.58,25.37,20.95
Spa Managers,33.04,37.41,9.86,60.95,35.31,20.93
Physicists,60.82,10.02,40.77,36.14,36.94,20.90
Private Detectives and Investigators,56.83,6.26,38.15,34.52,33.94,20.88
"Entertainment and Recreation Managers, Except Gambling",39.76,0.00,39.76,44.57,31.02,20.81
"Economics Teachers, Postsecondary",69.69,63.62,33.90,28.41,48.90,20.77
Investment Fund Managers,61.65,66.18,21.33,56.88,51.51,20.47
Chemical Engineers,45.78,0.00,39.30,34.08,29.79,20.43
"Architecture Teachers, Postsecondary",67.16,58.13,30.41,25.62,45.33,20.42
"Human Resources Assistants, Except Payroll and Timekeeping",56.21,67.30,21.97,61.41,51.72,20.34
"Political Science Teachers, Postsecondary",66.64,62.15,34.49,25.42,47.18,20.31
"Physics Teachers, Postsecondary",67.65,60.03,30.93,27.45,46.52,20.29
Solar Energy Systems Engineers,42.06,0.00,42.06,35.66,29.94,20.19
Project Management Specialists,24.05,0.00,24.05,49.30,24.35,20.13
"Social Work Teachers, Postsecondary",65.36,62.03,31.59,26.66,46.41,20.10
Sustainability Specialists,60.25,18.79,20.08,22.20,30.33,20.00
Political Scientists,53.65,40.71,45.43,8.10,36.97,19.98
Budget Analysts,53.93,7.97,41.32,43.48,36.68,19.91
"Cooks, Fast Food",40.84,0.00,37.29,11.27,22.35,19.90
Appraisers of Personal and Business Property,41.67,0.00,41.67,33.56,29.23,19.86
"Engineering Teachers, Postsecondary",71.79,55.80,32.46,30.29,47.58,19.84
"Computer Science Teachers, Postsecondary",69.59,51.46,31.80,26.17,44.76,19.79
Choreographers,49.37,13.44,37.41,7.56,26.94,19.75
Web and Digital Interface Designers,51.24,26.92,51.24,75.23,51.16,19.73
Mechatronics Engineers,50.59,7.34,23.04,43.34,31.08,19.66
Postmasters and Mail Superintendents,14.87,12.06,12.59,52.38,22.97,19.64
Gambling and Sports Book Writers and Runners,41.19,3.31,41.19,44.73,32.60,19.60
"Insurance Appraisers, Auto Damage",44.79,0.00,34.10,17.47,24.09,19.60
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",42.84,4.19,42.84,15.55,26.35,19.59
Surveyors,33.39,0.04,23.85,46.37,25.91,19.56
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",41.62,0.00,40.69,32.06,28.59,19.54
"Philosophy and Religion Teachers, Postsecondary",66.41,62.34,31.73,29.74,47.55,19.51
Human Resources Specialists,60.20,63.88,22.37,59.13,51.40,19.45
Pharmacy Aides,48.82,13.38,34.04,57.55,38.45,19.33
Radio Frequency Identification Device Specialists,48.75,6.06,41.85,41.13,34.44,19.23
Legislators,45.88,5.73,37.59,13.11,25.58,19.20
"Cooks, Private Household",41.42,7.49,37.61,5.41,22.98,19.17
Interpreters and Translators,84.04,41.43,50.98,47.42,55.97,19.13
Proofreaders and Copy Markers,53.07,12.53,46.09,51.40,40.77,19.06
Art Therapists,49.14,4.15,21.03,16.46,22.69,19.01
"History Teachers, Postsecondary",68.80,60.52,35.30,29.69,48.58,19.01
Talent Directors,49.67,13.51,10.40,11.94,21.38,18.90
Management Analysts,68.72,25.41,50.37,35.26,44.94,18.89
Industrial-Organizational Psychologists,48.73,57.57,36.99,14.01,39.33,18.86
Slaughterers and Meat Packers,32.66,0.00,32.66,0.00,16.33,18.86
"Cooks, Short Order",49.64,8.72,32.42,13.17,25.99,18.83
Atmospheric and Space Scientists,54.80,16.99,32.43,55.89,40.03,18.78
Gambling Change Persons and Booth Cashiers,30.95,0.00,30.95,43.89,26.45,18.66
Gambling Dealers,47.20,9.16,47.20,44.68,37.06,18.64
Market Research Analysts and Marketing Specialists,80.41,77.33,39.84,60.74,64.58,18.62
Athletes and Sports Competitors,43.35,9.61,37.03,7.01,24.25,18.61
Real Estate Brokers,51.44,60.66,18.64,34.90,41.41,18.55
Judicial Law Clerks,62.97,28.28,20.23,37.03,37.13,18.54
School Bus Monitors,36.95,0.00,36.95,12.08,21.49,18.51
Postal Service Clerks,28.78,0.00,28.64,44.32,25.44,18.49
"Law Teachers, Postsecondary",61.74,63.46,35.79,26.97,46.99,18.40
Online Merchants,68.55,68.38,42.62,87.39,66.74,18.39
Legal Secretaries and Administrative Assistants,33.57,38.91,33.57,71.74,44.45,18.37
Transportation Planners,54.75,12.23,45.27,34.83,36.77,18.27
"Office Machine Operators, Except Computer",45.78,4.80,40.17,34.05,31.20,18.24
Medical Secretaries and Administrative Assistants,31.36,46.95,31.36,69.94,44.90,18.24
Fashion Designers,54.52,10.94,40.95,36.28,35.67,18.21
Logistics Analysts,37.22,50.51,15.66,56.81,40.05,18.20
"Agricultural Sciences Teachers, Postsecondary",64.33,55.78,33.02,26.08,44.80,18.18
Geodetic Surveyors,19.01,3.55,15.85,46.55,21.24,18.14
"Environmental Science Teachers, Postsecondary",64.42,52.18,26.80,29.59,43.25,18.12
Public Safety Telecommunicators,34.51,7.78,34.51,51.57,32.09,18.10
"Substitute Teachers, Short-Term",38.11,0.00,38.11,29.67,26.47,18.09
"Psychology Teachers, Postsecondary",63.09,53.07,31.63,24.36,43.04,18.09
Merchandise Displayers and Window Trimmers,38.94,0.00,37.34,28.69,26.24,18.07
Word Processors and Typists,72.28,45.94,43.94,79.15,60.33,18.00
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",65.15,58.90,33.29,29.36,46.68,17.98
