category,pct_human_conv,pct_microsoft,pct_mcp,mean_pct,std_pct
Analyzing Data or Information,50.47,39.24,43.63,44.45,5.66
Assisting and Caring for Others,20.29,14.21,9.88,14.80,5.23
Coaching and Developing Others,48.04,40.57,5.61,31.41,22.65
Communicating with People Outside the Organization,64.06,57.32,58.83,60.07,3.54
"Communicating with Supervisors, Peers, or Subordinates",35.39,26.35,19.47,27.07,7.98
Controlling Machines and Processes,11.70,4.51,17.64,11.28,6.57
Developing Objectives and Strategies,48.89,32.74,34.34,38.66,8.90
Documenting/Recording Information,29.58,11.45,53.21,31.41,20.94
Establishing and Maintaining Interpersonal Relationships,55.98,45.18,38.89,46.68,8.64
"Estimating the Quantifiable Characteristics of Products, Events, or Information",47.58,42.10,23.14,37.61,12.82
Evaluating Information to Determine Compliance with Standards,34.51,23.89,29.86,29.42,5.33
Getting Information,48.79,39.88,24.58,37.75,12.24
"Guiding, Directing, and Motivating Subordinates",16.93,0.00,18.05,11.66,10.11
Handling and Moving Objects,17.23,12.96,5.58,11.92,5.89
"Identifying Objects, Actions, and Events",20.49,12.89,40.17,24.52,14.08
"Inspecting Equipment, Structures, or Materials",18.92,11.40,10.29,13.54,4.70
Interpreting the Meaning of Information for Others,61.57,57.05,34.73,51.12,14.37
"Judging the Qualities of Objects, Services, or People",33.28,8.32,29.08,23.56,13.37
Making Decisions and Solving Problems,49.24,40.91,29.79,39.98,9.75
"Monitoring Processes, Materials, or Surroundings",17.41,7.23,21.78,15.47,7.46
Monitoring and Controlling Resources,26.94,15.87,29.74,24.18,7.34
"Operating Vehicles, Mechanized Devices, or Equipment",1.41,0.00,7.83,3.08,4.17
"Organizing, Planning, and Prioritizing Work",55.68,51.62,34.42,47.24,11.28
Performing Administrative Activities,54.98,45.73,61.75,54.16,8.04
Performing General Physical Activities,11.46,7.48,4.70,7.88,3.40
Performing for or Working Directly with the Public,56.24,48.32,42.97,49.18,6.68
Processing Information,44.06,34.89,40.73,39.89,4.65
Providing Consultation and Advice to Others,55.55,48.93,22.04,42.17,17.75
Repairing and Maintaining Mechanical Equipment,12.97,6.56,4.76,8.10,4.32
Resolving Conflicts and Negotiating with Others,20.28,0.00,21.87,14.05,12.19
Scheduling Work and Activities,27.66,0.00,82.45,36.70,41.96
Selling or Influencing Others,36.95,25.35,46.05,36.12,10.38
Staffing Organizational Units,28.91,0.00,32.50,20.47,17.82
Thinking Creatively,43.70,21.84,34.68,33.41,10.98
Training and Teaching Others,48.47,44.54,9.59,34.20,21.40
Updating and Using Relevant Knowledge,58.75,55.18,23.47,45.80,19.42
Working with Computers,62.61,50.97,78.39,63.99,13.76
