category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,z_human_conv,z_aei_api,z_microsoft,z_mcp
Interpreters and Translators,84.04,41.43,50.98,47.42,7.75,-0.96,-0.29,-0.51
Market Research Analysts and Marketing Specialists,80.41,77.33,39.84,60.74,1.12,0.84,-3.12,-0.23
Search Marketing Strategists,79.95,72.72,54.21,57.46,1.87,0.63,-1.38,-0.87
"Poets, Lyricists and Creative Writers",78.65,63.89,56.01,56.08,4.41,0.02,-0.89,-0.88
Bioinformatics Technicians,77.29,63.66,41.61,74.28,1.05,-0.04,-4.21,0.75
Training and Development Managers,76.89,59.78,37.02,30.87,2.25,0.46,-0.81,-1.35
Graphic Designers,74.28,45.84,44.15,68.45,1.58,-1.03,-1.25,0.81
Statistical Assistants,73.56,64.47,40.51,68.54,1.04,0.20,-6.23,0.53
Word Processors and Typists,72.28,45.94,43.94,79.15,0.81,-1.03,-1.25,1.59
"Engineering Teachers, Postsecondary",71.79,55.80,32.46,30.29,2.28,0.47,-0.96,-1.17
"Business Teachers, Postsecondary",71.74,53.79,41.75,30.99,2.59,0.27,-0.51,-1.64
"Communications Teachers, Postsecondary",71.62,54.81,26.04,28.47,2.20,0.50,-1.18,-0.97
Public Relations Specialists,71.32,69.72,40.13,43.85,1.25,1.05,-1.39,-0.94
Customer Service Representatives,71.00,54.54,45.08,63.99,1.74,-0.41,-2.19,0.54
"Education Teachers, Postsecondary",70.72,63.85,29.57,26.96,1.49,0.87,-1.03,-1.26
Technical Writers,70.70,63.84,45.62,48.55,1.84,0.65,-1.36,-0.89
Web Developers,70.51,34.07,47.34,84.64,0.58,-1.77,-0.60,1.84
Archivists,69.98,37.22,40.59,44.74,7.74,-0.91,-0.59,-0.25
"Economics Teachers, Postsecondary",69.69,63.62,33.90,28.41,1.46,0.88,-0.90,-1.43
"Computer Science Teachers, Postsecondary",69.59,51.46,31.80,26.17,2.49,0.38,-0.79,-1.31
"Library Science Teachers, Postsecondary",68.87,52.35,34.62,34.30,2.75,0.32,-1.00,-1.03
"History Teachers, Postsecondary",68.80,60.52,35.30,29.69,1.64,0.75,-0.86,-1.44
Management Analysts,68.72,25.41,50.37,35.26,2.52,-1.55,0.32,-0.59
"Health Specialties Teachers, Postsecondary",68.60,54.47,25.94,24.34,1.99,0.59,-1.03,-1.17
