geo,act_cluster_id,act_cluster
ak,3,Act-4
al,2,Act-3
ar,2,Act-3
az,0,Act-1
ca,0,Act-1
co,1,Act-2
ct,1,Act-2
dc,4,Act-5
de,0,Act-1
fl,0,Act-1
ga,0,Act-1
gu,2,Act-3
hi,3,Act-4
ia,3,Act-4
id,2,Act-3
il,0,Act-1
in,2,Act-3
ks,3,Act-4
ky,2,Act-3
la,2,Act-3
ma,1,Act-2
md,1,Act-2
me,3,Act-4
mi,0,Act-1
mn,0,Act-1
mo,0,Act-1
ms,3,Act-4
mt,3,Act-4
nc,0,Act-1
nd,2,Act-3
ne,3,Act-4
nh,0,Act-1
nj,0,Act-1
nm,3,Act-4
nv,2,Act-3
ny,1,Act-2
oh,0,Act-1
ok,2,Act-3
or,0,Act-1
pa,0,Act-1
pr,3,Act-4
ri,0,Act-1
sc,2,Act-3
sd,3,Act-4
tn,0,Act-1
tx,0,Act-1
ut,0,Act-1
va,1,Act-2
vi,3,Act-4
vt,1,Act-2
wa,0,Act-1
wi,2,Act-3
wv,3,Act-4
wy,3,Act-4
