geo,total_task_emp,Analyzing Data or Information,Assisting and Caring for Others,Coaching and Developing Others,Communicating with People Outside the Organization,"Communicating with Supervisors, Peers, or Subordinates",Controlling Machines and Processes,Developing Objectives and Strategies,Documenting/Recording Information,Establishing and Maintaining Interpersonal Relationships,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Evaluating Information to Determine Compliance with Standards,Getting Information,"Guiding, Directing, and Motivating Subordinates",Handling and Moving Objects,"Identifying Objects, Actions, and Events","Inspecting Equipment, Structures, or Materials",Interpreting the Meaning of Information for Others,"Judging the Qualities of Objects, Services, or People",Making Decisions and Solving Problems,"Monitoring Processes, Materials, or Surroundings",Monitoring and Controlling Resources,"Operating Vehicles, Mechanized Devices, or Equipment","Organizing, Planning, and Prioritizing Work",Performing Administrative Activities,Performing General Physical Activities,Performing for or Working Directly with the Public,Processing Information,Providing Consultation and Advice to Others,Repairing and Maintaining Mechanical Equipment,Resolving Conflicts and Negotiating with Others,Scheduling Work and Activities,Selling or Influencing Others,Staffing Organizational Units,Thinking Creatively,Training and Teaching Others,Updating and Using Relevant Knowledge,Working with Computers
ak,426570.76,3.54,3.80,0.38,2.27,3.79,2.65,1.30,7.30,0.20,1.62,1.07,4.51,7.58,8.09,0.61,4.08,2.02,2.18,3.64,6.12,2.39,0.90,0.43,2.34,8.09,0.78,2.20,2.56,1.07,0.39,0.84,0.68,0.35,5.05,3.04,1.04,1.10
al,2732303.62,3.47,3.99,0.37,2.17,3.36,3.47,1.18,7.24,0.10,1.45,1.03,4.26,5.76,8.93,0.87,4.17,2.02,2.21,3.71,5.65,2.39,1.03,0.35,2.34,9.64,0.94,2.68,2.39,1.08,0.37,0.80,0.85,0.28,4.52,2.81,0.89,1.23
ar,1691625.82,3.29,3.90,0.38,2.40,3.47,3.38,1.24,7.18,0.14,1.46,1.09,3.99,6.22,8.76,0.87,3.98,2.04,2.01,3.64,5.61,2.39,1.12,0.33,2.42,10.14,1.01,3.01,2.28,1.02,0.37,0.75,0.77,0.28,4.20,3.06,0.90,0.90
az,4264293.57,3.30,3.58,0.33,2.58,3.59,3.26,1.29,7.59,0.13,1.31,1.13,4.58,6.52,7.85,0.79,3.79,2.15,2.08,3.66,5.32,2.04,0.79,0.33,2.39,10.15,1.28,3.08,2.61,0.94,0.47,0.79,0.99,0.34,4.30,2.72,0.92,1.07
ca,24017871.49,4.01,3.37,0.33,2.21,3.74,3.14,1.62,7.32,0.20,1.20,1.08,4.63,6.71,7.28,0.85,3.57,1.89,2.21,3.39,5.45,2.12,0.77,0.30,2.28,9.74,1.04,3.04,2.96,0.79,0.45,0.72,0.77,0.40,5.23,2.88,0.97,1.35
co,3826992.26,4.39,3.61,0.33,2.29,3.80,1.96,1.71,7.33,0.17,1.25,1.12,4.71,6.41,7.34,0.76,3.55,2.09,2.23,3.74,5.74,2.28,0.71,0.39,2.44,8.05,1.19,2.20,3.20,0.92,0.54,0.66,0.99,0.40,6.05,3.09,1.06,1.30
ct,2218729.55,3.75,4.11,0.44,2.30,3.65,2.77,1.36,7.41,0.20,1.32,1.11,4.13,7.32,7.10,0.71,3.50,2.14,2.51,4.15,5.76,2.33,0.77,0.30,2.22,8.84,1.02,2.59,2.81,0.79,0.44,0.79,0.80,0.34,4.91,3.27,1.03,1.04
dc,1299147.72,6.49,2.38,0.28,2.54,4.15,1.13,3.06,7.29,0.54,0.78,1.47,6.36,9.35,3.54,0.72,3.01,1.55,2.12,3.35,6.00,1.88,0.39,0.35,1.97,4.64,0.85,1.59,4.55,0.53,0.57,0.43,0.54,0.52,8.65,2.41,1.62,2.44
de,647305.52,4.29,4.04,0.40,2.54,3.85,2.58,1.52,7.33,0.15,1.21,1.23,4.45,5.76,7.83,0.78,3.53,2.22,2.31,3.62,5.80,2.33,1.03,0.30,2.57,9.12,1.00,2.62,2.78,0.83,0.43,0.78,0.85,0.35,4.42,2.95,0.97,1.26
fl,13178699.41,3.56,3.88,0.33,2.73,3.64,2.75,1.39,7.52,0.16,1.23,1.20,4.49,6.38,7.63,0.77,3.58,2.30,1.98,3.82,5.43,2.33,0.75,0.34,2.51,9.68,1.33,2.87,2.59,0.88,0.50,0.81,1.05,0.40,4.42,2.76,0.94,1.09
ga,6845605.34,3.94,3.51,0.30,2.28,3.48,3.44,1.55,7.52,0.19,1.19,1.20,4.69,6.08,7.17,0.98,3.75,2.06,1.92,3.49,5.32,2.24,0.90,0.31,2.43,9.86,1.24,3.20,2.80,0.81,0.42,0.68,0.88,0.38,4.86,2.81,0.96,1.17
gu,79603.11,2.86,3.13,0.24,2.75,3.40,2.79,1.28,6.49,0.15,1.78,0.91,3.84,7.56,11.08,0.65,4.25,1.78,1.57,3.62,5.04,2.31,0.76,0.41,2.41,10.76,0.97,2.42,2.12,1.18,0.38,0.83,0.73,0.35,4.55,2.71,0.87,1.07
hi,845053.63,3.35,3.95,0.46,2.78,3.48,2.77,1.25,6.85,0.22,1.38,0.93,4.12,6.18,8.65,0.61,3.74,2.02,2.03,3.25,5.25,2.30,0.72,0.32,2.60,11.75,1.08,2.75,2.34,0.92,0.36,0.75,0.78,0.32,4.72,3.05,0.92,1.07
ia,2002046.97,3.54,3.92,0.37,2.39,3.50,2.84,1.24,7.16,0.14,1.48,1.07,4.29,6.19,8.74,0.78,3.86,2.01,2.24,3.78,5.73,2.27,1.07,0.35,2.48,9.39,1.04,2.55,2.53,1.08,0.37,0.67,0.89,0.34,4.57,3.06,0.94,1.16
id,1091815.40,2.88,3.62,0.33,2.64,3.45,3.68,1.12,7.26,0.10,1.54,1.02,4.20,6.35,8.80,0.78,3.82,1.94,1.91,3.47,5.12,2.05,0.88,0.36,2.40,10.98,1.22,3.28,2.31,1.04,0.37,0.79,0.90,0.29,4.23,3.03,0.79,1.03
il,8165583.97,3.91,3.72,0.39,2.33,3.37,3.78,1.32,7.42,0.27,1.23,0.92,4.31,6.05,7.43,0.94,3.68,1.98,2.25,3.71,5.41,2.28,0.87,0.31,2.26,10.48,1.09,3.33,2.51,0.85,0.47,0.70,0.84,0.31,4.47,2.88,0.86,1.07
in,4198796.62,3.04,3.68,0.37,2.23,3.38,4.19,1.00,7.37,0.11,1.56,0.95,4.19,5.24,8.93,0.93,4.13,1.91,2.01,3.51,5.29,2.14,1.01,0.34,2.36,11.68,1.01,3.43,2.27,1.06,0.39,0.72,0.82,0.29,3.84,2.79,0.84,1.02
ks,1890244.92,3.46,4.03,0.39,2.42,3.34,3.21,1.14,7.27,0.11,1.43,1.02,4.40,5.70,8.80,0.83,3.92,2.01,2.18,3.54,5.63,2.28,0.90,0.30,2.54,9.96,1.14,2.73,2.45,0.99,0.41,0.72,0.88,0.35,4.42,3.12,0.83,1.14
ky,2603610.25,3.05,4.02,0.35,2.45,3.28,4.03,1.08,7.60,0.09,1.41,0.96,4.11,5.80,8.55,0.88,4.09,2.05,2.01,3.54,5.41,2.29,1.00,0.33,2.37,10.92,1.07,3.33,2.19,1.03,0.38,0.79,0.83,0.29,3.81,2.80,0.80,1.00
la,2637851.23,3.52,3.97,0.37,2.31,3.36,3.43,1.25,7.55,0.15,1.53,1.02,4.40,6.28,8.31,0.77,4.09,1.94,1.85,3.49,5.62,2.28,0.83,0.32,2.49,9.88,0.95,2.94,2.43,0.96,0.37,0.78,0.72,0.23,4.87,2.81,0.89,1.02
ma,4852150.01,4.73,3.94,0.41,2.35,3.90,2.19,1.75,7.32,0.32,1.21,1.12,4.68,7.18,6.79,0.64,3.36,2.11,2.61,3.85,5.74,2.13,0.71,0.33,2.17,7.88,1.00,2.35,3.04,0.79,0.46,0.74,0.82,0.39,5.50,3.23,1.10,1.14
