geo,act_cluster_id,act_cluster,sector_cluster
ak,3,Act-4,Cluster 2
al,2,Act-3,Cluster 4
ar,2,Act-3,Cluster 4
az,0,Act-1,Cluster 1
ca,0,Act-1,Cluster 1
co,1,Act-2,Cluster 1
ct,1,Act-2,Cluster 2
dc,4,Act-5,Cluster 3
de,0,Act-1,Cluster 2
fl,0,Act-1,Cluster 1
ga,0,Act-1,Cluster 1
gu,2,Act-3,Cluster 5
hi,3,Act-4,Cluster 5
ia,3,Act-4,Cluster 4
id,2,Act-3,Cluster 4
il,0,Act-1,Cluster 2
in,2,Act-3,Cluster 4
ks,3,Act-4,Cluster 4
ky,2,Act-3,Cluster 4
la,2,Act-3,Cluster 4
ma,1,Act-2,Cluster 2
md,1,Act-2,Cluster 1
me,3,Act-4,Cluster 2
mi,0,Act-1,Cluster 2
mn,0,Act-1,Cluster 2
mo,0,Act-1,Cluster 2
ms,3,Act-4,Cluster 4
mt,3,Act-4,Cluster 4
nc,0,Act-1,Cluster 1
nd,2,Act-3,Cluster 4
ne,3,Act-4,Cluster 4
nh,0,Act-1,Cluster 2
nj,0,Act-1,Cluster 2
nm,3,Act-4,Cluster 5
nv,2,Act-3,Cluster 5
ny,1,Act-2,Cluster 2
oh,0,Act-1,Cluster 2
ok,2,Act-3,Cluster 4
or,0,Act-1,Cluster 2
pa,0,Act-1,Cluster 2
pr,3,Act-4,Cluster 5
ri,0,Act-1,Cluster 2
sc,2,Act-3,Cluster 4
sd,3,Act-4,Cluster 4
tn,0,Act-1,Cluster 2
tx,0,Act-1,Cluster 1
ut,0,Act-1,Cluster 1
va,1,Act-2,Cluster 1
vi,3,Act-4,Cluster 5
vt,1,Act-2,Cluster 2
wa,0,Act-1,Cluster 1
wi,2,Act-3,Cluster 2
wv,3,Act-4,Cluster 2
wy,3,Act-4,Cluster 4
