geo,gap_cluster_id,gap_cluster
ak,2,Gap-3
al,0,Gap-1
ar,0,Gap-1
az,1,Gap-2
ca,3,Gap-4
co,3,Gap-4
ct,1,Gap-2
dc,4,Gap-5
de,0,Gap-1
fl,1,Gap-2
ga,1,Gap-2
gu,2,Gap-3
hi,1,Gap-2
ia,0,Gap-1
id,1,Gap-2
il,3,Gap-4
in,0,Gap-1
ks,1,Gap-2
ky,0,Gap-1
la,0,Gap-1
ma,3,Gap-4
md,3,Gap-4
me,1,Gap-2
mi,1,Gap-2
mn,1,Gap-2
mo,1,Gap-2
ms,0,Gap-1
mt,0,Gap-1
nc,1,Gap-2
nd,0,Gap-1
ne,0,Gap-1
nh,1,Gap-2
nj,3,Gap-4
nm,1,Gap-2
nv,1,Gap-2
ny,3,Gap-4
oh,0,Gap-1
ok,0,Gap-1
or,1,Gap-2
pa,1,Gap-2
pr,2,Gap-3
ri,1,Gap-2
sc,1,Gap-2
sd,0,Gap-1
tn,0,Gap-1
tx,2,Gap-3
ut,1,Gap-2
va,3,Gap-4
vi,2,Gap-3
vt,1,Gap-2
wa,1,Gap-2
wi,1,Gap-2
wv,1,Gap-2
wy,1,Gap-2
