geo,total_confirmed_workers,total_ceiling_workers,overall_gap_ratio,gap_cluster
ak,169136.00,210381.00,0.24,Gap-3
al,1052367.00,1312603.00,0.25,Gap-1
ar,651357.00,815787.00,0.25,Gap-1
az,1689938.00,2107505.00,0.25,Gap-2
ca,9721706.00,12144196.00,0.25,Gap-4
co,1670292.00,2035690.00,0.22,Gap-4
ct,899396.00,1110961.00,0.24,Gap-2
dc,633209.00,769884.00,0.22,Gap-5
de,266014.00,329127.00,0.24,Gap-1
fl,5365185.00,6650241.00,0.24,Gap-2
ga,2758924.00,3451118.00,0.25,Gap-2
gu,30476.00,38223.00,0.25,Gap-3
hi,333823.00,411346.00,0.23,Gap-2
ia,796328.00,987250.00,0.24,Gap-1
id,417089.00,521834.00,0.25,Gap-2
il,3125397.00,3950757.00,0.26,Gap-4
in,1534432.00,1944872.00,0.27,Gap-1
ks,732213.00,909463.00,0.24,Gap-2
ky,953651.00,1217395.00,0.28,Gap-1
la,1004646.00,1252520.00,0.25,Gap-1
ma,2039465.00,2504052.00,0.23,Gap-4
md,1662148.00,2065684.00,0.24,Gap-4
me,330193.00,408580.00,0.24,Gap-2
mi,2317237.00,2882253.00,0.24,Gap-2
mn,1494334.00,1854755.00,0.24,Gap-2
mo,1529600.00,1910378.00,0.25,Gap-2
ms,562016.00,698779.00,0.24,Gap-1
mt,261120.00,322188.00,0.23,Gap-1
nc,2672717.00,3305411.00,0.24,Gap-2
nd,213835.00,267191.00,0.25,Gap-1
ne,533557.00,663435.00,0.24,Gap-1
nh,366441.00,452883.00,0.24,Gap-2
nj,2315050.00,2902404.00,0.25,Gap-4
nm,448039.00,552890.00,0.23,Gap-2
nv,766477.00,976484.00,0.27,Gap-2
ny,4901450.00,6013189.00,0.23,Gap-4
oh,2842488.00,3554481.00,0.25,Gap-1
ok,857239.00,1074055.00,0.25,Gap-1
or,1007475.00,1255631.00,0.25,Gap-2
pa,3167775.00,3963126.00,0.25,Gap-2
pr,515846.00,638090.00,0.24,Gap-3
ri,261204.00,321404.00,0.23,Gap-2
sc,1195355.00,1493685.00,0.25,Gap-2
sd,231938.00,284604.00,0.23,Gap-1
tn,1695082.00,2119943.00,0.25,Gap-1
tx,7518007.00,9318201.00,0.24,Gap-3
ut,921333.00,1141645.00,0.24,Gap-2
va,2326687.00,2864726.00,0.23,Gap-4
vi,19168.00,23668.00,0.23,Gap-3
vt,165003.00,203513.00,0.23,Gap-2
wa,1975707.00,2435975.00,0.23,Gap-2
wi,1481630.00,1859735.00,0.26,Gap-2
wv,373522.00,463419.00,0.24,Gap-2
wy,136523.00,169882.00,0.24,Gap-2
