geo,total_confirmed_workers,total_ceiling_workers,overall_gap_ratio,Architecture and Engineering Occupations,"Arts, Design, Entertainment, Sports, and Media Occupations",Building and Grounds Cleaning and Maintenance Occupations,Business and Financial Operations Occupations,Community and Social Service Occupations,Computer and Mathematical Occupations,Construction and Extraction Occupations,Educational Instruction and Library Occupations,"Farming, Fishing, and Forestry Occupations",Food Preparation and Serving Related Occupations,Healthcare Practitioners and Technical Occupations,Healthcare Support Occupations,"Installation, Maintenance, and Repair Occupations",Legal Occupations,"Life, Physical, and Social Science Occupations",Management Occupations,Office and Administrative Support Occupations,Personal Care and Service Occupations,Production Occupations,Protective Service Occupations,Sales and Related Occupations,Transportation and Material Moving Occupations
ak,169136.00,210381.00,0.24,0.18,0.16,0.59,0.20,0.14,0.24,0.16,0.13,0.00,0.16,0.13,0.12,0.21,0.19,0.23,0.40,0.25,0.24,0.43,0.22,0.26,0.90
al,1052367.00,1312603.00,0.25,0.17,0.16,0.57,0.18,0.12,0.19,0.12,0.14,0.46,0.17,0.12,0.13,0.23,0.21,0.24,0.38,0.24,0.27,0.41,0.19,0.26,1.33
ar,651357.00,815787.00,0.25,0.19,0.17,0.61,0.17,0.11,0.21,0.11,0.13,0.57,0.17,0.12,0.14,0.23,0.17,0.26,0.41,0.21,0.21,0.42,0.23,0.26,1.27
az,1689938.00,2107505.00,0.25,0.17,0.15,0.67,0.18,0.12,0.19,0.12,0.13,0.60,0.15,0.13,0.13,0.25,0.19,0.25,0.39,0.21,0.27,0.45,0.18,0.28,1.54
ca,9721706.00,12144196.00,0.25,0.15,0.16,0.65,0.17,0.15,0.22,0.13,0.16,0.81,0.15,0.12,0.13,0.24,0.19,0.26,0.34,0.26,0.26,0.47,0.18,0.29,1.50
co,1670292.00,2035690.00,0.22,0.17,0.14,0.69,0.15,0.13,0.20,0.13,0.14,0.47,0.16,0.11,0.13,0.23,0.17,0.26,0.35,0.23,0.24,0.42,0.23,0.29,0.97
ct,899396.00,1110961.00,0.24,0.15,0.16,0.65,0.18,0.14,0.18,0.12,0.13,0.44,0.16,0.12,0.14,0.24,0.20,0.25,0.32,0.21,0.22,0.40,0.20,0.28,1.28
dc,633209.00,769884.00,0.22,0.15,0.12,0.47,0.15,0.14,0.22,0.12,0.12,0.39,0.15,0.13,0.11,0.21,0.16,0.12,0.41,0.23,0.20,0.52,0.16,0.30,0.93
de,266014.00,329127.00,0.24,0.17,0.16,0.60,0.20,0.15,0.19,0.14,0.13,0.00,0.16,0.12,0.13,0.24,0.21,0.21,0.31,0.26,0.25,0.26,0.21,0.30,1.36
fl,5365185.00,6650241.00,0.24,0.17,0.15,0.65,0.18,0.11,0.19,0.12,0.14,0.64,0.15,0.12,0.13,0.24,0.20,0.25,0.38,0.22,0.25,0.46,0.18,0.28,1.26
ga,2758924.00,3451118.00,0.25,0.18,0.14,0.56,0.16,0.13,0.20,0.12,0.14,0.61,0.16,0.12,0.13,0.23,0.20,0.29,0.39,0.21,0.21,0.43,0.19,0.27,1.68
gu,30476.00,38223.00,0.25,0.15,0.15,0.70,0.22,0.12,0.21,0.13,0.16,0.00,0.15,0.13,0.12,0.21,0.18,0.25,0.43,0.23,0.25,0.48,0.19,0.30,1.05
hi,333823.00,411346.00,0.23,0.15,0.19,0.76,0.17,0.10,0.22,0.15,0.13,0.52,0.15,0.11,0.13,0.22,0.18,0.31,0.42,0.22,0.28,0.44,0.17,0.26,1.20
ia,796328.00,987250.00,0.24,0.17,0.14,0.60,0.17,0.15,0.19,0.12,0.14,0.24,0.17,0.11,0.14,0.25,0.19,0.26,0.38,0.25,0.24,0.42,0.21,0.26,1.06
id,417089.00,521834.00,0.25,0.18,0.16,0.68,0.19,0.15,0.18,0.13,0.14,0.63,0.16,0.14,0.13,0.25,0.20,0.27,0.46,0.19,0.21,0.48,0.22,0.25,1.45
il,3125397.00,3950757.00,0.26,0.16,0.15,0.65,0.17,0.13,0.21,0.13,0.13,0.38,0.16,0.12,0.13,0.24,0.18,0.23,0.41,0.23,0.23,0.46,0.18,0.30,1.60
