geo,gap_cluster_id,gap_cluster,sector_cluster
ak,2,Gap-3,Cluster 2
al,0,Gap-1,Cluster 4
ar,0,Gap-1,Cluster 4
az,1,Gap-2,Cluster 1
ca,3,Gap-4,Cluster 1
co,3,Gap-4,Cluster 1
ct,1,Gap-2,Cluster 2
dc,4,Gap-5,Cluster 3
de,0,Gap-1,Cluster 2
fl,1,Gap-2,Cluster 1
ga,1,Gap-2,Cluster 1
gu,2,Gap-3,Cluster 5
hi,1,Gap-2,Cluster 5
ia,0,Gap-1,Cluster 4
id,1,Gap-2,Cluster 4
il,3,Gap-4,Cluster 2
in,0,Gap-1,Cluster 4
ks,1,Gap-2,Cluster 4
ky,0,Gap-1,Cluster 4
la,0,Gap-1,Cluster 4
ma,3,Gap-4,Cluster 2
md,3,Gap-4,Cluster 1
me,1,Gap-2,Cluster 2
mi,1,Gap-2,Cluster 2
mn,1,Gap-2,Cluster 2
mo,1,Gap-2,Cluster 2
ms,0,Gap-1,Cluster 4
mt,0,Gap-1,Cluster 4
nc,1,Gap-2,Cluster 1
nd,0,Gap-1,Cluster 4
ne,0,Gap-1,Cluster 4
nh,1,Gap-2,Cluster 2
nj,3,Gap-4,Cluster 2
nm,1,Gap-2,Cluster 5
nv,1,Gap-2,Cluster 5
ny,3,Gap-4,Cluster 2
oh,0,Gap-1,Cluster 2
ok,0,Gap-1,Cluster 4
or,1,Gap-2,Cluster 2
pa,1,Gap-2,Cluster 2
pr,2,Gap-3,Cluster 5
ri,1,Gap-2,Cluster 2
sc,1,Gap-2,Cluster 4
sd,0,Gap-1,Cluster 4
tn,0,Gap-1,Cluster 2
tx,2,Gap-3,Cluster 1
ut,1,Gap-2,Cluster 1
va,3,Gap-4,Cluster 1
vi,2,Gap-3,Cluster 5
vt,1,Gap-2,Cluster 2
wa,1,Gap-2,Cluster 1
wi,1,Gap-2,Cluster 2
wv,1,Gap-2,Cluster 2
wy,1,Gap-2,Cluster 4
