geo,ag_cluster_id,ag_cluster
ak,3,Ag-4
al,2,Ag-3
ar,4,Ag-5
az,3,Ag-4
ca,3,Ag-4
co,4,Ag-5
ct,1,Ag-2
dc,0,Ag-1
de,2,Ag-3
fl,2,Ag-3
ga,2,Ag-3
gu,3,Ag-4
hi,3,Ag-4
ia,4,Ag-5
id,3,Ag-4
il,1,Ag-2
in,1,Ag-2
ks,4,Ag-5
ky,2,Ag-3
la,2,Ag-3
ma,1,Ag-2
md,2,Ag-3
me,4,Ag-5
mi,3,Ag-4
mn,1,Ag-2
mo,1,Ag-2
ms,4,Ag-5
mt,4,Ag-5
nc,2,Ag-3
nd,4,Ag-5
ne,4,Ag-5
nh,1,Ag-2
nj,3,Ag-4
nm,4,Ag-5
nv,3,Ag-4
ny,1,Ag-2
oh,4,Ag-5
ok,4,Ag-5
or,3,Ag-4
pa,1,Ag-2
pr,4,Ag-5
ri,1,Ag-2
sc,2,Ag-3
sd,4,Ag-5
tn,3,Ag-4
tx,4,Ag-5
ut,3,Ag-4
va,4,Ag-5
vi,3,Ag-4
vt,4,Ag-5
wa,3,Ag-4
wi,4,Ag-5
wv,4,Ag-5
wy,4,Ag-5
