geo,overall_intensity,ag_cluster_id,ag_cluster
ak,0.49,3,Ag-4
al,0.49,2,Ag-3
ar,0.49,4,Ag-5
az,0.52,3,Ag-4
ca,0.52,3,Ag-4
co,0.52,4,Ag-5
ct,0.52,1,Ag-2
dc,0.57,0,Ag-1
de,0.53,2,Ag-3
fl,0.52,2,Ag-3
ga,0.52,2,Ag-3
gu,0.47,3,Ag-4
hi,0.49,3,Ag-4
ia,0.51,4,Ag-5
id,0.50,3,Ag-4
il,0.51,1,Ag-2
in,0.49,1,Ag-2
ks,0.49,4,Ag-5
ky,0.49,2,Ag-3
la,0.49,2,Ag-3
ma,0.53,1,Ag-2
md,0.53,2,Ag-3
me,0.50,4,Ag-5
mi,0.49,3,Ag-4
mn,0.51,1,Ag-2
mo,0.50,1,Ag-2
ms,0.49,4,Ag-5
mt,0.49,4,Ag-5
nc,0.52,2,Ag-3
nd,0.49,4,Ag-5
ne,0.51,4,Ag-5
nh,0.52,1,Ag-2
nj,0.52,3,Ag-4
nm,0.50,4,Ag-5
nv,0.48,3,Ag-4
ny,0.53,1,Ag-2
oh,0.50,4,Ag-5
ok,0.50,4,Ag-5
or,0.50,3,Ag-4
pa,0.52,1,Ag-2
pr,0.51,4,Ag-5
ri,0.51,1,Ag-2
sc,0.50,2,Ag-3
sd,0.49,4,Ag-5
tn,0.51,3,Ag-4
tx,0.52,4,Ag-5
ut,0.52,3,Ag-4
va,0.52,4,Ag-5
vi,0.49,3,Ag-4
vt,0.51,4,Ag-5
wa,0.52,3,Ag-4
wi,0.50,4,Ag-5
wv,0.49,4,Ag-5
wy,0.48,4,Ag-5
