geo,Architecture and Engineering Occupations,"Arts, Design, Entertainment, Sports, and Media Occupations",Building and Grounds Cleaning and Maintenance Occupations,Business and Financial Operations Occupations,Community and Social Service Occupations,Computer and Mathematical Occupations,Construction and Extraction Occupations,Educational Instruction and Library Occupations,"Farming, Fishing, and Forestry Occupations",Food Preparation and Serving Related Occupations,Healthcare Practitioners and Technical Occupations,Healthcare Support Occupations,"Installation, Maintenance, and Repair Occupations",Legal Occupations,"Life, Physical, and Social Science Occupations",Management Occupations,Office and Administrative Support Occupations,Personal Care and Service Occupations,Production Occupations,Protective Service Occupations,Sales and Related Occupations,Transportation and Material Moving Occupations,overall_intensity
ak,0.29,0.57,0.15,0.62,0.32,0.61,0.51,0.64,0.14,0.21,0.52,0.26,0.20,0.67,0.39,0.54,0.62,0.28,0.11,0.41,0.60,0.30,0.49
al,0.29,0.53,0.20,0.70,0.40,0.72,0.51,0.63,0.08,0.21,0.48,0.22,0.21,0.67,0.35,0.54,0.65,0.26,0.14,0.46,0.61,0.32,0.49
ar,0.31,0.50,0.17,0.63,0.41,0.69,0.48,0.64,0.07,0.27,0.48,0.20,0.20,0.65,0.43,0.53,0.64,0.28,0.13,0.42,0.60,0.33,0.49
az,0.33,0.57,0.18,0.64,0.39,0.72,0.48,0.63,0.30,0.26,0.49,0.24,0.19,0.66,0.38,0.53,0.66,0.26,0.14,0.45,0.62,0.30,0.52
ca,0.35,0.58,0.15,0.63,0.41,0.69,0.47,0.58,0.47,0.24,0.50,0.25,0.20,0.67,0.42,0.57,0.67,0.26,0.15,0.45,0.60,0.29,0.52
co,0.30,0.59,0.17,0.63,0.39,0.70,0.51,0.65,0.19,0.26,0.49,0.23,0.22,0.67,0.36,0.55,0.65,0.28,0.12,0.43,0.60,0.34,0.52
ct,0.31,0.58,0.14,0.68,0.30,0.71,0.48,0.62,0.14,0.24,0.49,0.22,0.21,0.67,0.40,0.59,0.64,0.29,0.18,0.42,0.62,0.30,0.52
dc,0.45,0.74,0.18,0.56,0.37,0.71,0.43,0.64,0.08,0.20,0.50,0.20,0.19,0.68,0.51,0.55,0.66,0.43,0.14,0.43,0.60,0.30,0.57
de,0.27,0.55,0.15,0.66,0.45,0.73,0.49,0.64,0.18,0.27,0.49,0.22,0.22,0.67,0.40,0.57,0.67,0.28,0.09,0.40,0.62,0.30,0.53
fl,0.33,0.58,0.20,0.63,0.40,0.72,0.51,0.61,0.33,0.24,0.49,0.23,0.20,0.67,0.40,0.53,0.67,0.28,0.14,0.43,0.62,0.30,0.52
ga,0.30,0.55,0.21,0.61,0.46,0.71,0.50,0.62,0.17,0.28,0.50,0.23,0.21,0.67,0.45,0.54,0.65,0.28,0.14,0.45,0.61,0.29,0.52
gu,0.28,0.56,0.21,0.68,0.38,0.65,0.43,0.61,0.29,0.20,0.48,0.22,0.19,0.66,0.40,0.53,0.64,0.29,0.14,0.37,0.60,0.32,0.47
hi,0.31,0.58,0.18,0.63,0.36,0.63,0.46,0.65,0.21,0.26,0.51,0.23,0.20,0.65,0.40,0.62,0.63,0.27,0.12,0.42,0.61,0.27,0.49
ia,0.32,0.56,0.15,0.65,0.36,0.73,0.50,0.63,0.08,0.26,0.50,0.20,0.18,0.67,0.40,0.54,0.65,0.25,0.14,0.43,0.60,0.35,0.51
