geo,ag_cluster_id,ag_cluster,sector_cluster
ak,3,Ag-4,Cluster 2
al,2,Ag-3,Cluster 4
ar,4,Ag-5,Cluster 4
az,3,Ag-4,Cluster 1
ca,3,Ag-4,Cluster 1
co,4,Ag-5,Cluster 1
ct,1,Ag-2,Cluster 2
dc,0,Ag-1,Cluster 3
de,2,Ag-3,Cluster 2
fl,2,Ag-3,Cluster 1
ga,2,Ag-3,Cluster 1
gu,3,Ag-4,Cluster 5
hi,3,Ag-4,Cluster 5
ia,4,Ag-5,Cluster 4
id,3,Ag-4,Cluster 4
il,1,Ag-2,Cluster 2
in,1,Ag-2,Cluster 4
ks,4,Ag-5,Cluster 4
ky,2,Ag-3,Cluster 4
la,2,Ag-3,Cluster 4
ma,1,Ag-2,Cluster 2
md,2,Ag-3,Cluster 1
me,4,Ag-5,Cluster 2
mi,3,Ag-4,Cluster 2
mn,1,Ag-2,Cluster 2
mo,1,Ag-2,Cluster 2
ms,4,Ag-5,Cluster 4
mt,4,Ag-5,Cluster 4
nc,2,Ag-3,Cluster 1
nd,4,Ag-5,Cluster 4
ne,4,Ag-5,Cluster 4
nh,1,Ag-2,Cluster 2
nj,3,Ag-4,Cluster 2
nm,4,Ag-5,Cluster 5
nv,3,Ag-4,Cluster 5
ny,1,Ag-2,Cluster 2
oh,4,Ag-5,Cluster 2
ok,4,Ag-5,Cluster 4
or,3,Ag-4,Cluster 2
pa,1,Ag-2,Cluster 2
pr,4,Ag-5,Cluster 5
ri,1,Ag-2,Cluster 2
sc,2,Ag-3,Cluster 4
sd,4,Ag-5,Cluster 4
tn,3,Ag-4,Cluster 2
tx,4,Ag-5,Cluster 1
ut,3,Ag-4,Cluster 1
va,4,Ag-5,Cluster 1
vi,3,Ag-4,Cluster 5
vt,4,Ag-5,Cluster 2
wa,3,Ag-4,Cluster 1
wi,4,Ag-5,Cluster 2
wv,4,Ag-5,Cluster 2
wy,4,Ag-5,Cluster 4
