geo,sector_composition,risk_profile,activity_signature,agentic_profile,adoption_gap
ak,Cluster 2,Risk-4,Act-4,Ag-4,Gap-3
al,Cluster 4,Risk-4,Act-3,Ag-3,Gap-1
ar,Cluster 4,Risk-4,Act-3,Ag-5,Gap-1
az,Cluster 1,Risk-2,Act-1,Ag-4,Gap-2
ca,Cluster 1,Risk-3,Act-1,Ag-4,Gap-4
co,Cluster 1,Risk-3,Act-2,Ag-5,Gap-4
ct,Cluster 2,Risk-5,Act-2,Ag-2,Gap-2
dc,Cluster 3,Risk-3,Act-5,Ag-1,Gap-5
de,Cluster 2,Risk-3,Act-1,Ag-3,Gap-1
fl,Cluster 1,Risk-2,Act-1,Ag-3,Gap-2
ga,Cluster 1,Risk-2,Act-1,Ag-3,Gap-2
gu,Cluster 5,Risk-2,Act-3,Ag-4,Gap-3
hi,Cluster 5,Risk-2,Act-4,Ag-4,Gap-2
ia,Cluster 4,Risk-4,Act-4,Ag-5,Gap-1
id,Cluster 4,Risk-2,Act-3,Ag-4,Gap-2
il,Cluster 2,Risk-5,Act-1,Ag-2,Gap-4
in,Cluster 4,Risk-4,Act-3,Ag-2,Gap-1
ks,Cluster 4,Risk-4,Act-4,Ag-5,Gap-2
ky,Cluster 4,Risk-4,Act-3,Ag-3,Gap-1
la,Cluster 4,Risk-4,Act-3,Ag-3,Gap-1
ma,Cluster 2,Risk-5,Act-2,Ag-2,Gap-4
md,Cluster 1,Risk-3,Act-2,Ag-3,Gap-4
me,Cluster 2,Risk-3,Act-4,Ag-5,Gap-2
mi,Cluster 2,Risk-5,Act-1,Ag-4,Gap-2
mn,Cluster 2,Risk-5,Act-1,Ag-2,Gap-2
mo,Cluster 2,Risk-4,Act-1,Ag-2,Gap-2
ms,Cluster 4,Risk-2,Act-4,Ag-5,Gap-1
mt,Cluster 4,Risk-2,Act-4,Ag-5,Gap-1
nc,Cluster 1,Risk-3,Act-1,Ag-3,Gap-2
nd,Cluster 4,Risk-4,Act-3,Ag-5,Gap-1
ne,Cluster 4,Risk-4,Act-4,Ag-5,Gap-1
nh,Cluster 2,Risk-3,Act-1,Ag-2,Gap-2
nj,Cluster 2,Risk-4,Act-1,Ag-4,Gap-4
nm,Cluster 5,Risk-2,Act-4,Ag-5,Gap-2
nv,Cluster 5,Risk-2,Act-3,Ag-4,Gap-2
ny,Cluster 2,Risk-3,Act-2,Ag-2,Gap-4
oh,Cluster 2,Risk-5,Act-1,Ag-5,Gap-1
ok,Cluster 4,Risk-2,Act-3,Ag-5,Gap-1
or,Cluster 2,Risk-5,Act-1,Ag-4,Gap-2
pa,Cluster 2,Risk-5,Act-1,Ag-2,Gap-2
pr,Cluster 5,Risk-1,Act-4,Ag-5,Gap-3
ri,Cluster 2,Risk-3,Act-1,Ag-2,Gap-2
sc,Cluster 4,Risk-2,Act-3,Ag-3,Gap-2
sd,Cluster 4,Risk-4,Act-4,Ag-5,Gap-1
tn,Cluster 2,Risk-2,Act-1,Ag-4,Gap-1
tx,Cluster 1,Risk-2,Act-1,Ag-5,Gap-3
ut,Cluster 1,Risk-3,Act-1,Ag-4,Gap-2
va,Cluster 1,Risk-3,Act-2,Ag-5,Gap-4
vi,Cluster 5,Risk-1,Act-4,Ag-4,Gap-3
vt,Cluster 2,Risk-3,Act-2,Ag-5,Gap-2
wa,Cluster 1,Risk-3,Act-1,Ag-4,Gap-2
wi,Cluster 2,Risk-4,Act-3,Ag-5,Gap-2
wv,Cluster 2,Risk-4,Act-4,Ag-5,Gap-2
wy,Cluster 4,Risk-4,Act-4,Ag-5,Gap-2
