geo,stability_score,sector_composition,risk_profile,activity_signature,agentic_profile,adoption_gap
wv,0.35,Cluster 2,Risk-4,Act-4,Ag-5,Gap-2
me,0.34,Cluster 2,Risk-3,Act-4,Ag-5,Gap-2
wi,0.34,Cluster 2,Risk-4,Act-3,Ag-5,Gap-2
mo,0.34,Cluster 2,Risk-4,Act-1,Ag-2,Gap-2
ks,0.34,Cluster 4,Risk-4,Act-4,Ag-5,Gap-2
wy,0.34,Cluster 4,Risk-4,Act-4,Ag-5,Gap-2
ri,0.33,Cluster 2,Risk-3,Act-1,Ag-2,Gap-2
nh,0.33,Cluster 2,Risk-3,Act-1,Ag-2,Gap-2
mi,0.32,Cluster 2,Risk-5,Act-1,Ag-4,Gap-2
or,0.32,Cluster 2,Risk-5,Act-1,Ag-4,Gap-2
vt,0.32,Cluster 2,Risk-3,Act-2,Ag-5,Gap-2
ut,0.31,Cluster 1,Risk-3,Act-1,Ag-4,Gap-2
wa,0.31,Cluster 1,Risk-3,Act-1,Ag-4,Gap-2
az,0.31,Cluster 1,Risk-2,Act-1,Ag-4,Gap-2
tn,0.31,Cluster 2,Risk-2,Act-1,Ag-4,Gap-1
pa,0.31,Cluster 2,Risk-5,Act-1,Ag-2,Gap-2
mn,0.31,Cluster 2,Risk-5,Act-1,Ag-2,Gap-2
oh,0.31,Cluster 2,Risk-5,Act-1,Ag-5,Gap-1
ia,0.30,Cluster 4,Risk-4,Act-4,Ag-5,Gap-1
id,0.30,Cluster 4,Risk-2,Act-3,Ag-4,Gap-2
ne,0.30,Cluster 4,Risk-4,Act-4,Ag-5,Gap-1
sd,0.30,Cluster 4,Risk-4,Act-4,Ag-5,Gap-1
ar,0.29,Cluster 4,Risk-4,Act-3,Ag-5,Gap-1
fl,0.29,Cluster 1,Risk-2,Act-1,Ag-3,Gap-2
ms,0.29,Cluster 4,Risk-2,Act-4,Ag-5,Gap-1
nd,0.29,Cluster 4,Risk-4,Act-3,Ag-5,Gap-1
nm,0.29,Cluster 5,Risk-2,Act-4,Ag-5,Gap-2
mt,0.29,Cluster 4,Risk-2,Act-4,Ag-5,Gap-1
nc,0.29,Cluster 1,Risk-3,Act-1,Ag-3,Gap-2
ga,0.29,Cluster 1,Risk-2,Act-1,Ag-3,Gap-2
de,0.29,Cluster 2,Risk-3,Act-1,Ag-3,Gap-1
nj,0.29,Cluster 2,Risk-4,Act-1,Ag-4,Gap-4
ok,0.28,Cluster 4,Risk-2,Act-3,Ag-5,Gap-1
sc,0.28,Cluster 4,Risk-2,Act-3,Ag-3,Gap-2
hi,0.27,Cluster 5,Risk-2,Act-4,Ag-4,Gap-2
nv,0.26,Cluster 5,Risk-2,Act-3,Ag-4,Gap-2
ct,0.26,Cluster 2,Risk-5,Act-2,Ag-2,Gap-2
tx,0.26,Cluster 1,Risk-2,Act-1,Ag-5,Gap-3
ak,0.26,Cluster 2,Risk-4,Act-4,Ag-4,Gap-3
in,0.26,Cluster 4,Risk-4,Act-3,Ag-2,Gap-1
ky,0.25,Cluster 4,Risk-4,Act-3,Ag-3,Gap-1
al,0.25,Cluster 4,Risk-4,Act-3,Ag-3,Gap-1
la,0.25,Cluster 4,Risk-4,Act-3,Ag-3,Gap-1
ca,0.25,Cluster 1,Risk-3,Act-1,Ag-4,Gap-4
il,0.24,Cluster 2,Risk-5,Act-1,Ag-2,Gap-4
co,0.22,Cluster 1,Risk-3,Act-2,Ag-5,Gap-4
va,0.22,Cluster 1,Risk-3,Act-2,Ag-5,Gap-4
ny,0.22,Cluster 2,Risk-3,Act-2,Ag-2,Gap-4
ma,0.20,Cluster 2,Risk-5,Act-2,Ag-2,Gap-4
gu,0.19,Cluster 5,Risk-2,Act-3,Ag-4,Gap-3
md,0.18,Cluster 1,Risk-3,Act-2,Ag-3,Gap-4
pr,0.17,Cluster 5,Risk-1,Act-4,Ag-5,Gap-3
vi,0.15,Cluster 5,Risk-1,Act-4,Ag-4,Gap-3
dc,0.07,Cluster 3,Risk-3,Act-5,Ag-1,Gap-5
