geo,total_workers_affected,pct_high,pct_moderate,pct_low
ak,169136.22,40.22,51.01,8.77
al,1052368.70,39.94,51.24,8.82
ar,651360.21,40.90,51.22,7.88
az,1689944.74,44.35,48.28,7.36
ca,9721723.82,41.45,51.46,7.09
co,1670294.86,42.07,50.87,7.05
ct,899399.90,38.00,55.01,6.99
dc,633203.72,42.24,51.83,5.92
de,266015.10,40.57,52.18,7.25
fl,5365199.75,44.44,48.28,7.28
ga,2758924.23,44.21,48.68,7.11
gu,30476.45,44.06,48.27,7.68
hi,333826.19,45.76,46.58,7.66
ia,796330.75,40.49,51.42,8.09
id,417090.63,45.67,46.77,7.56
il,3125410.56,38.58,53.30,8.12
in,1534441.07,40.64,50.79,8.56
ks,732215.61,40.35,51.70,7.96
ky,953653.16,42.28,49.57,8.15
la,1004647.98,43.24,48.45,8.31
ma,2039474.45,35.88,56.38,7.74
md,1662145.49,41.57,51.66,6.77
me,330194.38,41.37,51.14,7.49
mi,2317248.70,38.15,53.27,8.58
mn,1494338.67,38.32,53.79,7.89
mo,1529602.50,40.32,51.35,8.33
ms,562019.57,44.35,47.69,7.96
mt,261121.28,43.74,48.96,7.30
nc,2672722.69,40.28,52.23,7.49
nd,213836.26,41.98,49.25,8.77
ne,533559.18,41.53,50.23,8.24
nh,366443.62,41.70,51.22,7.08
nj,2315058.99,40.47,51.42,8.11
nm,448039.41,45.28,46.69,8.04
nv,766481.08,45.86,46.26,7.88
ny,4901465.20,40.43,52.35,7.22
oh,2842503.96,38.78,53.29,7.93
ok,857243.59,45.26,47.16,7.57
or,1007478.83,39.78,52.36,7.85
pa,3167785.95,40.12,52.19,7.69
pr,515848.33,48.92,43.87,7.21
ri,261205.78,40.14,52.33,7.53
sc,1195361.09,44.62,47.54,7.84
sd,231939.28,42.66,49.38,7.97
tn,1695088.23,43.67,48.61,7.72
tx,7518027.96,44.10,48.39,7.51
ut,921336.11,42.93,49.67,7.40
va,2326691.12,41.20,51.66,7.13
vi,19168.17,47.15,45.83,7.03
vt,165003.74,40.62,51.95,7.44
wa,1975713.00,42.36,50.47,7.17
wi,1481636.60,40.84,50.81,8.35
wv,373523.26,42.69,49.34,7.97
wy,136523.82,42.98,48.18,8.84
