geo,risk_cluster_id,risk_cluster,sector_cluster
ak,3,Risk-4,Cluster 2
al,3,Risk-4,Cluster 4
ar,3,Risk-4,Cluster 4
az,1,Risk-2,Cluster 1
ca,2,Risk-3,Cluster 1
co,2,Risk-3,Cluster 1
ct,4,Risk-5,Cluster 2
dc,2,Risk-3,Cluster 3
de,2,Risk-3,Cluster 2
fl,1,Risk-2,Cluster 1
ga,1,Risk-2,Cluster 1
gu,1,Risk-2,Cluster 5
hi,1,Risk-2,Cluster 5
ia,3,Risk-4,Cluster 4
id,1,Risk-2,Cluster 4
il,4,Risk-5,Cluster 2
in,3,Risk-4,Cluster 4
ks,3,Risk-4,Cluster 4
ky,3,Risk-4,Cluster 4
la,3,Risk-4,Cluster 4
ma,4,Risk-5,Cluster 2
md,2,Risk-3,Cluster 1
me,2,Risk-3,Cluster 2
mi,4,Risk-5,Cluster 2
mn,4,Risk-5,Cluster 2
mo,3,Risk-4,Cluster 2
ms,1,Risk-2,Cluster 4
mt,1,Risk-2,Cluster 4
nc,2,Risk-3,Cluster 1
nd,3,Risk-4,Cluster 4
ne,3,Risk-4,Cluster 4
nh,2,Risk-3,Cluster 2
nj,3,Risk-4,Cluster 2
nm,1,Risk-2,Cluster 5
nv,1,Risk-2,Cluster 5
ny,2,Risk-3,Cluster 2
oh,4,Risk-5,Cluster 2
ok,1,Risk-2,Cluster 4
or,4,Risk-5,Cluster 2
pa,4,Risk-5,Cluster 2
pr,0,Risk-1,Cluster 5
ri,2,Risk-3,Cluster 2
sc,1,Risk-2,Cluster 4
sd,3,Risk-4,Cluster 4
tn,1,Risk-2,Cluster 2
tx,1,Risk-2,Cluster 1
ut,2,Risk-3,Cluster 1
va,2,Risk-3,Cluster 1
vi,0,Risk-1,Cluster 5
vt,2,Risk-3,Cluster 2
wa,2,Risk-3,Cluster 1
wi,3,Risk-4,Cluster 2
wv,3,Risk-4,Cluster 2
wy,3,Risk-4,Cluster 4
