date,category,confirmed_pct,ceiling_pct,gap_pp,ratio
2024-09-30,Architecture and Engineering Occupations,33.88,33.88,0.00,100.00
2024-09-30,"Arts, Design, Entertainment, Sports, and Media Occupations",32.52,32.52,0.00,100.00
2024-09-30,Building and Grounds Cleaning and Maintenance Occupations,10.88,10.88,0.00,100.00
2024-09-30,Business and Financial Operations Occupations,31.37,31.37,0.00,100.00
2024-09-30,Community and Social Service Occupations,30.83,30.83,0.00,100.00
2024-09-30,Computer and Mathematical Occupations,43.40,43.40,0.00,100.00
2024-09-30,Construction and Extraction Occupations,11.12,11.12,0.00,100.00
2024-09-30,Educational Instruction and Library Occupations,28.81,28.81,0.00,100.00
2024-09-30,"Farming, Fishing, and Forestry Occupations",11.85,11.85,0.00,100.00
2024-09-30,Food Preparation and Serving Related Occupations,29.31,29.31,0.00,100.00
2024-09-30,Healthcare Practitioners and Technical Occupations,17.10,17.10,0.00,100.00
2024-09-30,Healthcare Support Occupations,11.95,11.95,0.00,100.00
2024-09-30,"Installation, Maintenance, and Repair Occupations",20.52,20.52,0.00,100.00
2024-09-30,Legal Occupations,22.80,22.80,0.00,100.00
2024-09-30,"Life, Physical, and Social Science Occupations",27.68,27.68,0.00,100.00
2024-09-30,Management Occupations,20.44,20.44,0.00,100.00
2024-09-30,Office and Administrative Support Occupations,34.50,34.50,0.00,100.00
2024-09-30,Personal Care and Service Occupations,26.45,26.45,0.00,100.00
2024-09-30,Production Occupations,15.75,15.75,0.00,100.00
2024-09-30,Protective Service Occupations,26.46,26.46,0.00,100.00
2024-09-30,Sales and Related Occupations,36.75,36.75,0.00,100.00
2024-09-30,Transportation and Material Moving Occupations,15.24,15.24,0.00,100.00
2024-12-23,Architecture and Engineering Occupations,33.88,33.88,0.00,100.00
2024-12-23,"Arts, Design, Entertainment, Sports, and Media Occupations",32.52,32.52,0.00,100.00
2024-12-23,Building and Grounds Cleaning and Maintenance Occupations,10.88,10.88,0.00,100.00
2024-12-23,Business and Financial Operations Occupations,31.37,31.37,0.00,100.00
2024-12-23,Community and Social Service Occupations,30.83,30.83,0.00,100.00
2024-12-23,Computer and Mathematical Occupations,43.40,43.40,0.00,100.00
2024-12-23,Construction and Extraction Occupations,11.12,11.12,0.00,100.00
2024-12-23,Educational Instruction and Library Occupations,28.81,28.81,0.00,100.00
2024-12-23,"Farming, Fishing, and Forestry Occupations",11.85,11.85,0.00,100.00
2024-12-23,Food Preparation and Serving Related Occupations,29.31,29.31,0.00,100.00
2024-12-23,Healthcare Practitioners and Technical Occupations,17.10,17.10,0.00,100.00
2024-12-23,Healthcare Support Occupations,11.95,11.95,0.00,100.00
2024-12-23,"Installation, Maintenance, and Repair Occupations",20.52,20.52,0.00,100.00
2024-12-23,Legal Occupations,22.80,22.80,0.00,100.00
2024-12-23,"Life, Physical, and Social Science Occupations",27.68,27.68,0.00,100.00
2024-12-23,Management Occupations,20.44,20.44,0.00,100.00
2024-12-23,Office and Administrative Support Occupations,34.50,34.50,0.00,100.00
2024-12-23,Personal Care and Service Occupations,26.45,26.45,0.00,100.00
2024-12-23,Production Occupations,15.75,15.75,0.00,100.00
