category,ratio_first,ratio_last,gap_first,gap_last,confirmed_gain,ceiling_gain,ratio_delta,gap_delta
Community and Social Service Occupations,100.00,88.64,0.00,6.06,16.43,22.49,-11.36,6.06
Legal Occupations,100.00,88.56,0.00,6.24,25.48,31.72,-11.44,6.24
Educational Instruction and Library Occupations,100.00,88.19,0.00,7.18,24.77,31.94,-11.81,7.18
Food Preparation and Serving Related Occupations,100.00,86.88,0.00,5.37,6.25,11.62,-13.12,5.37
Healthcare Practitioners and Technical Occupations,100.00,84.42,0.00,5.40,12.14,17.54,-15.58,5.40
Computer and Mathematical Occupations,100.00,83.94,0.00,12.57,22.30,34.87,-16.06,12.57
Personal Care and Service Occupations,100.00,82.36,0.00,7.34,7.82,15.17,-17.64,7.34
Construction and Extraction Occupations,100.00,81.79,0.00,3.09,2.77,5.86,-18.21,3.09
Business and Financial Operations Occupations,100.00,81.60,0.00,11.44,19.36,30.80,-18.40,11.44
"Arts, Design, Entertainment, Sports, and Media Occupations",100.00,81.49,0.00,10.81,15.06,25.87,-18.51,10.81
"Installation, Maintenance, and Repair Occupations",100.00,81.39,0.00,5.47,3.40,8.86,-18.61,5.47
Healthcare Support Occupations,100.00,81.18,0.00,5.82,13.15,18.97,-18.82,5.82
Sales and Related Occupations,100.00,81.08,0.00,13.89,22.79,36.67,-18.92,13.89
"Life, Physical, and Social Science Occupations",100.00,80.52,0.00,10.10,14.09,24.19,-19.48,10.10
Architecture and Engineering Occupations,100.00,80.48,0.00,9.81,6.55,16.36,-19.52,9.81
Building and Grounds Cleaning and Maintenance Occupations,100.00,79.34,0.00,4.81,7.58,12.39,-20.66,4.81
Protective Service Occupations,100.00,77.91,0.00,9.43,6.81,16.24,-22.09,9.43
Office and Administrative Support Occupations,100.00,74.92,0.00,17.09,16.55,33.64,-25.08,17.09
"Farming, Fishing, and Forestry Occupations",100.00,72.98,0.00,5.08,1.87,6.95,-27.02,5.08
Management Occupations,100.00,69.49,0.00,15.59,15.08,30.67,-30.51,15.59
Production Occupations,100.00,67.65,0.00,8.75,2.56,11.31,-32.35,8.75
Transportation and Material Moving Occupations,100.00,59.19,0.00,12.12,2.34,14.46,-40.81,12.12
