occ,group,pct_first,pct_last,total_gain_pp,max_single_jump_pp,jump_date
Human Resources Specialists,AI-Controversial / Interesting,22.40,75.80,53.50,34.10,2025-03-06
Market Research Analysts and Marketing Specialists,AI-Controversial / Interesting,39.80,89.50,49.70,27.10,2025-03-06
Technical Writers,AI-Controversial / Interesting,45.60,85.80,40.10,17.70,2025-08-11
Customer Service Representatives,High-Profile / High-Employment,45.10,84.10,39.00,31.10,2025-08-11
Web Developers,AI-Controversial / Interesting,47.30,84.50,37.20,15.70,2025-08-11
"Elementary School Teachers, Except Special Education",High-Profile / High-Employment,26.10,63.20,37.10,21.40,2025-03-06
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Utah-Relevant,44.80,81.80,37.00,21.20,2025-08-11
Graphic Designers,AI-Controversial / Interesting,44.20,81.00,36.90,26.00,2025-03-06
Interpreters and Translators,AI-Controversial / Interesting,51.00,87.00,36.10,17.40,2025-03-06
Network and Computer Systems Administrators,Utah-Relevant,42.90,73.70,30.80,21.70,2025-08-11
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High-Profile / High-Employment,44.60,75.10,30.50,17.80,2025-08-11
Computer Systems Analysts,Utah-Relevant,43.80,70.70,26.90,17.10,2025-08-11
Registered Nurses,High-Profile / High-Employment,9.30,33.40,24.10,22.10,2025-08-11
Editors,AI-Controversial / Interesting,42.00,63.20,21.20,9.90,2025-11-13
Paralegals and Legal Assistants,AI-Controversial / Interesting,22.00,41.60,19.60,14.40,2025-08-11
Retail Salespersons,High-Profile / High-Employment,40.00,57.40,17.40,13.50,2025-08-11
Lawyers,AI-Controversial / Interesting,27.50,41.80,14.40,7.30,2025-08-11
Medical and Health Services Managers,Utah-Relevant,33.30,47.30,13.90,9.30,2025-08-11
General and Operations Managers,High-Profile / High-Employment,18.00,27.90,9.90,5.70,2025-03-06
Cashiers,High-Profile / High-Employment,37.20,46.90,9.80,8.60,2025-08-11
Construction Laborers,Utah-Relevant,3.90,12.00,8.10,4.50,2025-08-11
Heavy and Tractor-Trailer Truck Drivers,High-Profile / High-Employment,16.20,21.50,5.30,4.80,2025-08-11
Waiters and Waitresses,High-Profile / High-Employment,37.90,39.40,1.50,1.30,2026-02-12
Data Scientists,AI-Controversial / Interesting,46.00,46.00,0.00,0.00,2024-12-23
Accountants and Auditors,High-Profile / High-Employment,28.10,28.10,0.00,0.00,2024-12-23
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",High-Profile / High-Employment,11.30,11.30,0.00,0.00,2024-12-23
Software Developers,High-Profile / High-Employment,45.20,45.20,0.00,0.00,2024-12-23
