occ,date,config,pct_tasks_affected,group
Registered Nurses,2024-09-30,all_confirmed,9.30,High-Profile / High-Employment
Software Developers,2024-09-30,all_confirmed,45.16,High-Profile / High-Employment
General and Operations Managers,2024-09-30,all_confirmed,17.96,High-Profile / High-Employment
Cashiers,2024-09-30,all_confirmed,37.18,High-Profile / High-Employment
Customer Service Representatives,2024-09-30,all_confirmed,45.08,High-Profile / High-Employment
Retail Salespersons,2024-09-30,all_confirmed,39.99,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2024-09-30,all_confirmed,16.19,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2024-09-30,all_confirmed,26.07,High-Profile / High-Employment
Waiters and Waitresses,2024-09-30,all_confirmed,37.94,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2024-09-30,all_confirmed,11.34,High-Profile / High-Employment
Accountants and Auditors,2024-09-30,all_confirmed,28.09,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2024-09-30,all_confirmed,44.57,High-Profile / High-Employment
Lawyers,2024-09-30,all_confirmed,27.45,AI-Controversial / Interesting
"Physicians, All Other",2024-09-30,all_confirmed,,AI-Controversial / Interesting
Financial Analysts,2024-09-30,all_confirmed,,AI-Controversial / Interesting
Graphic Designers,2024-09-30,all_confirmed,44.15,AI-Controversial / Interesting
Technical Writers,2024-09-30,all_confirmed,45.62,AI-Controversial / Interesting
Web Developers,2024-09-30,all_confirmed,47.34,AI-Controversial / Interesting
Paralegals and Legal Assistants,2024-09-30,all_confirmed,22.01,AI-Controversial / Interesting
Data Scientists,2024-09-30,all_confirmed,46.04,AI-Controversial / Interesting
Human Resources Specialists,2024-09-30,all_confirmed,22.37,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2024-09-30,all_confirmed,39.84,AI-Controversial / Interesting
Editors,2024-09-30,all_confirmed,42.04,AI-Controversial / Interesting
Interpreters and Translators,2024-09-30,all_confirmed,50.98,AI-Controversial / Interesting
Computer Systems Analysts,2024-09-30,all_confirmed,43.79,Utah-Relevant
Medical and Health Services Managers,2024-09-30,all_confirmed,33.34,Utah-Relevant
Construction Laborers,2024-09-30,all_confirmed,3.87,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2024-09-30,all_confirmed,44.84,Utah-Relevant
Network and Computer Systems Administrators,2024-09-30,all_confirmed,42.87,Utah-Relevant
Registered Nurses,2024-12-23,all_confirmed,9.30,High-Profile / High-Employment
Software Developers,2024-12-23,all_confirmed,45.16,High-Profile / High-Employment
General and Operations Managers,2024-12-23,all_confirmed,17.96,High-Profile / High-Employment
Cashiers,2024-12-23,all_confirmed,37.18,High-Profile / High-Employment
Customer Service Representatives,2024-12-23,all_confirmed,45.08,High-Profile / High-Employment
Retail Salespersons,2024-12-23,all_confirmed,39.99,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2024-12-23,all_confirmed,16.19,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2024-12-23,all_confirmed,26.07,High-Profile / High-Employment
Waiters and Waitresses,2024-12-23,all_confirmed,37.94,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2024-12-23,all_confirmed,11.34,High-Profile / High-Employment
Accountants and Auditors,2024-12-23,all_confirmed,28.09,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2024-12-23,all_confirmed,44.57,High-Profile / High-Employment
Lawyers,2024-12-23,all_confirmed,27.45,AI-Controversial / Interesting
"Physicians, All Other",2024-12-23,all_confirmed,,AI-Controversial / Interesting
Financial Analysts,2024-12-23,all_confirmed,,AI-Controversial / Interesting
Graphic Designers,2024-12-23,all_confirmed,44.15,AI-Controversial / Interesting
Technical Writers,2024-12-23,all_confirmed,45.62,AI-Controversial / Interesting
Web Developers,2024-12-23,all_confirmed,47.34,AI-Controversial / Interesting
Paralegals and Legal Assistants,2024-12-23,all_confirmed,22.01,AI-Controversial / Interesting
Data Scientists,2024-12-23,all_confirmed,46.04,AI-Controversial / Interesting
Human Resources Specialists,2024-12-23,all_confirmed,22.37,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2024-12-23,all_confirmed,39.84,AI-Controversial / Interesting
Editors,2024-12-23,all_confirmed,42.04,AI-Controversial / Interesting
Interpreters and Translators,2024-12-23,all_confirmed,50.98,AI-Controversial / Interesting
Computer Systems Analysts,2024-12-23,all_confirmed,43.79,Utah-Relevant
Medical and Health Services Managers,2024-12-23,all_confirmed,33.34,Utah-Relevant
Construction Laborers,2024-12-23,all_confirmed,3.87,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2024-12-23,all_confirmed,44.84,Utah-Relevant
Network and Computer Systems Administrators,2024-12-23,all_confirmed,42.87,Utah-Relevant
Registered Nurses,2025-03-06,all_confirmed,10.04,High-Profile / High-Employment
Software Developers,2025-03-06,all_confirmed,45.16,High-Profile / High-Employment
General and Operations Managers,2025-03-06,all_confirmed,23.64,High-Profile / High-Employment
Cashiers,2025-03-06,all_confirmed,38.15,High-Profile / High-Employment
Customer Service Representatives,2025-03-06,all_confirmed,49.08,High-Profile / High-Employment
Retail Salespersons,2025-03-06,all_confirmed,40.57,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2025-03-06,all_confirmed,16.74,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2025-03-06,all_confirmed,47.47,High-Profile / High-Employment
Waiters and Waitresses,2025-03-06,all_confirmed,37.94,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2025-03-06,all_confirmed,11.34,High-Profile / High-Employment
Accountants and Auditors,2025-03-06,all_confirmed,28.09,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2025-03-06,all_confirmed,54.88,High-Profile / High-Employment
Lawyers,2025-03-06,all_confirmed,28.44,AI-Controversial / Interesting
"Physicians, All Other",2025-03-06,all_confirmed,,AI-Controversial / Interesting
Financial Analysts,2025-03-06,all_confirmed,,AI-Controversial / Interesting
Graphic Designers,2025-03-06,all_confirmed,70.16,AI-Controversial / Interesting
Technical Writers,2025-03-06,all_confirmed,55.16,AI-Controversial / Interesting
Web Developers,2025-03-06,all_confirmed,60.22,AI-Controversial / Interesting
Paralegals and Legal Assistants,2025-03-06,all_confirmed,27.18,AI-Controversial / Interesting
Data Scientists,2025-03-06,all_confirmed,46.04,AI-Controversial / Interesting
Human Resources Specialists,2025-03-06,all_confirmed,56.48,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2025-03-06,all_confirmed,66.93,AI-Controversial / Interesting
Editors,2025-03-06,all_confirmed,46.50,AI-Controversial / Interesting
Interpreters and Translators,2025-03-06,all_confirmed,68.33,AI-Controversial / Interesting
Computer Systems Analysts,2025-03-06,all_confirmed,52.10,Utah-Relevant
Medical and Health Services Managers,2025-03-06,all_confirmed,37.21,Utah-Relevant
Construction Laborers,2025-03-06,all_confirmed,3.87,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2025-03-06,all_confirmed,56.49,Utah-Relevant
Network and Computer Systems Administrators,2025-03-06,all_confirmed,46.83,Utah-Relevant
Registered Nurses,2025-08-11,all_confirmed,32.12,High-Profile / High-Employment
Software Developers,2025-08-11,all_confirmed,45.16,High-Profile / High-Employment
General and Operations Managers,2025-08-11,all_confirmed,26.65,High-Profile / High-Employment
Cashiers,2025-08-11,all_confirmed,46.74,High-Profile / High-Employment
Customer Service Representatives,2025-08-11,all_confirmed,80.19,High-Profile / High-Employment
Retail Salespersons,2025-08-11,all_confirmed,54.08,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2025-08-11,all_confirmed,21.53,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2025-08-11,all_confirmed,55.94,High-Profile / High-Employment
Waiters and Waitresses,2025-08-11,all_confirmed,38.13,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2025-08-11,all_confirmed,11.34,High-Profile / High-Employment
Accountants and Auditors,2025-08-11,all_confirmed,28.09,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2025-08-11,all_confirmed,72.70,High-Profile / High-Employment
Lawyers,2025-08-11,all_confirmed,35.75,AI-Controversial / Interesting
"Physicians, All Other",2025-08-11,all_confirmed,,AI-Controversial / Interesting
Financial Analysts,2025-08-11,all_confirmed,,AI-Controversial / Interesting
Graphic Designers,2025-08-11,all_confirmed,75.96,AI-Controversial / Interesting
Technical Writers,2025-08-11,all_confirmed,72.81,AI-Controversial / Interesting
Web Developers,2025-08-11,all_confirmed,75.92,AI-Controversial / Interesting
Paralegals and Legal Assistants,2025-08-11,all_confirmed,41.59,AI-Controversial / Interesting
Data Scientists,2025-08-11,all_confirmed,46.04,AI-Controversial / Interesting
Human Resources Specialists,2025-08-11,all_confirmed,65.20,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2025-08-11,all_confirmed,86.59,AI-Controversial / Interesting
Editors,2025-08-11,all_confirmed,52.32,AI-Controversial / Interesting
Interpreters and Translators,2025-08-11,all_confirmed,77.30,AI-Controversial / Interesting
Computer Systems Analysts,2025-08-11,all_confirmed,69.23,Utah-Relevant
Medical and Health Services Managers,2025-08-11,all_confirmed,46.56,Utah-Relevant
Construction Laborers,2025-08-11,all_confirmed,8.36,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2025-08-11,all_confirmed,77.70,Utah-Relevant
Network and Computer Systems Administrators,2025-08-11,all_confirmed,68.52,Utah-Relevant
Registered Nurses,2025-11-13,all_confirmed,33.03,High-Profile / High-Employment
Software Developers,2025-11-13,all_confirmed,45.16,High-Profile / High-Employment
General and Operations Managers,2025-11-13,all_confirmed,27.87,High-Profile / High-Employment
Cashiers,2025-11-13,all_confirmed,46.79,High-Profile / High-Employment
Customer Service Representatives,2025-11-13,all_confirmed,84.08,High-Profile / High-Employment
Retail Salespersons,2025-11-13,all_confirmed,57.08,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2025-11-13,all_confirmed,21.53,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2025-11-13,all_confirmed,63.07,High-Profile / High-Employment
Waiters and Waitresses,2025-11-13,all_confirmed,38.14,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2025-11-13,all_confirmed,11.34,High-Profile / High-Employment
Accountants and Auditors,2025-11-13,all_confirmed,28.09,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2025-11-13,all_confirmed,75.08,High-Profile / High-Employment
Lawyers,2025-11-13,all_confirmed,40.86,AI-Controversial / Interesting
"Physicians, All Other",2025-11-13,all_confirmed,,AI-Controversial / Interesting
Financial Analysts,2025-11-13,all_confirmed,,AI-Controversial / Interesting
Graphic Designers,2025-11-13,all_confirmed,80.12,AI-Controversial / Interesting
Technical Writers,2025-11-13,all_confirmed,73.14,AI-Controversial / Interesting
Web Developers,2025-11-13,all_confirmed,78.19,AI-Controversial / Interesting
Paralegals and Legal Assistants,2025-11-13,all_confirmed,41.59,AI-Controversial / Interesting
Data Scientists,2025-11-13,all_confirmed,46.04,AI-Controversial / Interesting
Human Resources Specialists,2025-11-13,all_confirmed,71.42,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2025-11-13,all_confirmed,89.50,AI-Controversial / Interesting
Editors,2025-11-13,all_confirmed,62.25,AI-Controversial / Interesting
Interpreters and Translators,2025-11-13,all_confirmed,86.22,AI-Controversial / Interesting
Computer Systems Analysts,2025-11-13,all_confirmed,70.69,Utah-Relevant
Medical and Health Services Managers,2025-11-13,all_confirmed,47.27,Utah-Relevant
Construction Laborers,2025-11-13,all_confirmed,11.96,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2025-11-13,all_confirmed,81.81,Utah-Relevant
Network and Computer Systems Administrators,2025-11-13,all_confirmed,73.18,Utah-Relevant
Registered Nurses,2026-02-12,all_confirmed,33.36,High-Profile / High-Employment
Software Developers,2026-02-12,all_confirmed,45.16,High-Profile / High-Employment
General and Operations Managers,2026-02-12,all_confirmed,27.87,High-Profile / High-Employment
Cashiers,2026-02-12,all_confirmed,46.94,High-Profile / High-Employment
Customer Service Representatives,2026-02-12,all_confirmed,84.08,High-Profile / High-Employment
Retail Salespersons,2026-02-12,all_confirmed,57.36,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2026-02-12,all_confirmed,21.53,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2026-02-12,all_confirmed,63.21,High-Profile / High-Employment
Waiters and Waitresses,2026-02-12,all_confirmed,39.41,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2026-02-12,all_confirmed,11.34,High-Profile / High-Employment
Accountants and Auditors,2026-02-12,all_confirmed,28.09,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2026-02-12,all_confirmed,75.10,High-Profile / High-Employment
Lawyers,2026-02-12,all_confirmed,41.80,AI-Controversial / Interesting
"Physicians, All Other",2026-02-12,all_confirmed,,AI-Controversial / Interesting
Financial Analysts,2026-02-12,all_confirmed,,AI-Controversial / Interesting
Graphic Designers,2026-02-12,all_confirmed,81.02,AI-Controversial / Interesting
Technical Writers,2026-02-12,all_confirmed,85.76,AI-Controversial / Interesting
