title_current,pct_first,pct_last,tier_first,tier_last,tier_changed,major_occ_category
Real Estate Brokers,18.64,90.16,low,high,True,Sales and Related Occupations
Investment Fund Managers,21.33,89.34,restructuring,high,True,Management Occupations
Information Security Analysts,31.68,83.84,restructuring,high,True,Computer and Mathematical Occupations
"Education Teachers, Postsecondary",29.57,83.15,restructuring,high,True,Educational Instruction and Library Occupations
"Engineering Teachers, Postsecondary",32.46,82.86,restructuring,high,True,Educational Instruction and Library Occupations
"Human Resources Assistants, Except Payroll and Timekeeping",21.97,82.15,restructuring,high,True,Office and Administrative Support Occupations
"Physics Teachers, Postsecondary",30.93,80.44,restructuring,high,True,Educational Instruction and Library Occupations
Actors,14.19,79.37,low,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
"Computer Science Teachers, Postsecondary",31.80,79.16,restructuring,high,True,Educational Instruction and Library Occupations
"Communications Teachers, Postsecondary",26.04,78.83,restructuring,high,True,Educational Instruction and Library Occupations
Computer and Information Systems Managers,30.89,77.59,restructuring,high,True,Management Occupations
"Architecture Teachers, Postsecondary",30.41,77.55,restructuring,high,True,Educational Instruction and Library Occupations
"Health Specialties Teachers, Postsecondary",25.94,76.86,restructuring,high,True,Educational Instruction and Library Occupations
Marketing Managers,26.75,76.80,restructuring,high,True,Management Occupations
"Social Work Teachers, Postsecondary",31.59,75.98,restructuring,high,True,Educational Instruction and Library Occupations
"Psychology Teachers, Postsecondary",31.63,75.88,restructuring,high,True,Educational Instruction and Library Occupations
Human Resources Specialists,22.37,75.84,restructuring,high,True,Business and Financial Operations Occupations
"Philosophy and Religion Teachers, Postsecondary",31.73,75.68,restructuring,high,True,Educational Instruction and Library Occupations
Sustainability Specialists,20.08,75.53,restructuring,high,True,Business and Financial Operations Occupations
Medical Transcriptionists,16.39,75.29,low,high,True,Healthcare Support Occupations
"Biological Science Teachers, Postsecondary",30.08,74.81,restructuring,high,True,Educational Instruction and Library Occupations
Receptionists and Information Clerks,32.72,73.83,restructuring,high,True,Office and Administrative Support Occupations
"Forestry and Conservation Science Teachers, Postsecondary",32.02,73.62,restructuring,high,True,Educational Instruction and Library Occupations
"Environmental Science Teachers, Postsecondary",26.80,72.77,restructuring,high,True,Educational Instruction and Library Occupations
Astronomers,23.17,72.49,restructuring,high,True,"Life, Physical, and Social Science Occupations"
"Sociology Teachers, Postsecondary",29.97,72.41,restructuring,high,True,Educational Instruction and Library Occupations
"Art, Drama, and Music Teachers, Postsecondary",30.88,72.25,restructuring,high,True,Educational Instruction and Library Occupations
Film and Video Editors,22.74,72.00,restructuring,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Bill and Account Collectors,26.84,71.85,restructuring,high,True,Office and Administrative Support Occupations
"Dispatchers, Except Police, Fire, and Ambulance",28.63,71.51,restructuring,high,True,Office and Administrative Support Occupations
Tutors,32.33,71.38,restructuring,high,True,Educational Instruction and Library Occupations
Travel Agents,31.79,71.20,restructuring,high,True,Sales and Related Occupations
"Anthropology and Archeology Teachers, Postsecondary",32.93,70.86,restructuring,high,True,Educational Instruction and Library Occupations
Logistics Analysts,15.66,70.71,low,high,True,Business and Financial Operations Occupations
Sociologists,32.33,70.51,restructuring,high,True,"Life, Physical, and Social Science Occupations"
"Recreation and Fitness Studies Teachers, Postsecondary",32.73,69.59,restructuring,high,True,Educational Instruction and Library Occupations
First-Line Supervisors of Office and Administrative Support Workers,23.83,68.43,restructuring,high,True,Office and Administrative Support Occupations
Telecommunications Engineering Specialists,30.06,67.97,restructuring,high,True,Computer and Mathematical Occupations
First-Line Supervisors of Non-Retail Sales Workers,23.61,67.92,restructuring,high,True,Sales and Related Occupations
Information Technology Project Managers,21.80,67.85,restructuring,high,True,Computer and Mathematical Occupations
First-Line Supervisors of Retail Sales Workers,23.00,67.18,restructuring,high,True,Sales and Related Occupations
"Title Examiners, Abstractors, and Searchers",28.02,66.18,restructuring,high,True,Legal Occupations
"Chemistry Teachers, Postsecondary",28.34,65.95,restructuring,high,True,Educational Instruction and Library Occupations
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",31.14,64.56,restructuring,high,True,Educational Instruction and Library Occupations
Insurance Sales Agents,31.37,64.14,restructuring,high,True,Sales and Related Occupations
