title_current,pct_first,pct_last,tier_first,tier_last,tier_changed,major_occ_category
Business Intelligence Analysts,46.81,92.34,moderate,high,True,Computer and Mathematical Occupations
Real Estate Brokers,18.64,90.16,low,high,True,Sales and Related Occupations
Search Marketing Strategists,54.21,89.65,moderate,high,True,Business and Financial Operations Occupations
Market Research Analysts and Marketing Specialists,39.84,89.50,restructuring,high,True,Business and Financial Operations Occupations
Investment Fund Managers,21.33,89.34,restructuring,high,True,Management Occupations
Data Warehousing Specialists,46.74,88.71,moderate,high,True,Computer and Mathematical Occupations
Bioinformatics Technicians,41.61,87.67,moderate,high,True,Computer and Mathematical Occupations
"Poets, Lyricists and Creative Writers",56.01,87.44,moderate,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Interpreters and Translators,50.98,87.05,moderate,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Archivists,40.59,86.73,moderate,high,True,Educational Instruction and Library Occupations
Technical Writers,45.62,85.76,moderate,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Training and Development Managers,37.02,85.71,restructuring,high,True,Management Occupations
Financial Quantitative Analysts,46.70,84.89,moderate,high,True,Business and Financial Operations Occupations
Web Developers,47.34,84.52,moderate,high,True,Computer and Mathematical Occupations
Curators,36.04,84.17,restructuring,high,True,Educational Instruction and Library Occupations
Customer Service Representatives,45.08,84.08,moderate,high,True,Office and Administrative Support Occupations
Online Merchants,42.62,84.04,moderate,high,True,Business and Financial Operations Occupations
Statistical Assistants,40.51,84.01,moderate,high,True,Office and Administrative Support Occupations
Information Security Analysts,31.68,83.84,restructuring,high,True,Computer and Mathematical Occupations
Advertising Sales Agents,50.03,83.62,moderate,high,True,Sales and Related Occupations
Telemarketers,35.43,83.26,restructuring,high,True,Sales and Related Occupations
Public Relations Specialists,40.13,83.21,moderate,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
"Education Teachers, Postsecondary",29.57,83.15,restructuring,high,True,Educational Instruction and Library Occupations
"Engineering Teachers, Postsecondary",32.46,82.86,restructuring,high,True,Educational Instruction and Library Occupations
Economists,49.72,82.53,moderate,high,True,"Life, Physical, and Social Science Occupations"
"Human Resources Assistants, Except Payroll and Timekeeping",21.97,82.15,restructuring,high,True,Office and Administrative Support Occupations
"Economics Teachers, Postsecondary",33.90,81.89,restructuring,high,True,Educational Instruction and Library Occupations
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",44.84,81.81,moderate,high,True,Sales and Related Occupations
Computer User Support Specialists,44.63,81.76,moderate,high,True,Computer and Mathematical Occupations
Computer Network Support Specialists,42.28,81.36,moderate,high,True,Computer and Mathematical Occupations
Graphic Designers,44.15,81.02,moderate,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Patient Representatives,41.53,80.85,moderate,high,True,Healthcare Practitioners and Technical Occupations
"Physics Teachers, Postsecondary",30.93,80.44,restructuring,high,True,Educational Instruction and Library Occupations
"Business Teachers, Postsecondary",41.75,80.38,moderate,high,True,Educational Instruction and Library Occupations
"Political Science Teachers, Postsecondary",34.49,79.99,restructuring,high,True,Educational Instruction and Library Occupations
"History Teachers, Postsecondary",35.30,79.93,restructuring,high,True,Educational Instruction and Library Occupations
Actors,14.19,79.37,low,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Personal Financial Advisors,44.46,79.29,moderate,high,True,Business and Financial Operations Occupations
"Computer Science Teachers, Postsecondary",31.80,79.16,restructuring,high,True,Educational Instruction and Library Occupations
Computer Programmers,47.94,78.84,moderate,high,True,Computer and Mathematical Occupations
"Communications Teachers, Postsecondary",26.04,78.83,restructuring,high,True,Educational Instruction and Library Occupations
Real Estate Sales Agents,33.61,78.11,restructuring,high,True,Sales and Related Occupations
"Library Science Teachers, Postsecondary",34.62,77.66,restructuring,high,True,Educational Instruction and Library Occupations
Computer and Information Systems Managers,30.89,77.59,restructuring,high,True,Management Occupations
"Architecture Teachers, Postsecondary",30.41,77.55,restructuring,high,True,Educational Instruction and Library Occupations
"Health Specialties Teachers, Postsecondary",25.94,76.86,restructuring,high,True,Educational Instruction and Library Occupations
Marketing Managers,26.75,76.80,restructuring,high,True,Management Occupations
Document Management Specialists,44.31,76.79,moderate,high,True,Computer and Mathematical Occupations
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",39.83,76.76,restructuring,high,True,Sales and Related Occupations
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",33.29,76.37,restructuring,high,True,Educational Instruction and Library Occupations
