major_occ_category,n_occs,n_stable,n_changed,n_new_high,stability_rate
Transportation and Material Moving Occupations,52,48,4,0,92.30
"Farming, Fishing, and Forestry Occupations",12,11,1,0,91.70
"Installation, Maintenance, and Repair Occupations",50,44,6,0,88.00
Construction and Extraction Occupations,61,53,8,0,86.90
Production Occupations,107,93,14,0,86.90
Personal Care and Service Occupations,31,24,7,1,77.40
Protective Service Occupations,26,17,9,2,65.40
Architecture and Engineering Occupations,56,36,20,1,64.30
Building and Grounds Cleaning and Maintenance Occupations,8,5,3,0,62.50
Food Preparation and Serving Related Occupations,16,9,7,0,56.20
Healthcare Practitioners and Technical Occupations,89,47,42,2,52.80
Management Occupations,56,29,27,5,51.80
"Arts, Design, Entertainment, Sports, and Media Occupations",40,20,20,12,50.00
"Life, Physical, and Social Science Occupations",60,26,34,10,43.30
Healthcare Support Occupations,19,8,11,1,42.10
Community and Social Service Occupations,14,5,9,2,35.70
Office and Administrative Support Occupations,51,18,33,19,35.30
Business and Financial Operations Occupations,48,16,32,15,33.30
Computer and Mathematical Occupations,36,11,25,23,30.60
Sales and Related Occupations,22,6,16,13,27.30
Educational Instruction and Library Occupations,62,16,46,37,25.80
Legal Occupations,7,0,7,2,0.00
