date,tier,n_occs
2024-09-30,high,0
2024-09-30,moderate,121
2024-09-30,restructuring,433
2024-09-30,low,369
2024-12-23,high,0
2024-12-23,moderate,121
2024-12-23,restructuring,433
2024-12-23,low,369
2025-03-06,high,12
2025-03-06,moderate,217
2025-03-06,restructuring,378
2025-03-06,low,316
2025-08-11,high,106
2025-08-11,moderate,217
2025-08-11,restructuring,321
2025-08-11,low,279
2025-11-13,high,134
2025-11-13,moderate,222
2025-11-13,restructuring,302
2025-11-13,low,265
2026-02-12,high,145
2026-02-12,moderate,219
2026-02-12,restructuring,300
2026-02-12,low,259
