title_current,pct_first,pct_last,tier_first,tier_last,tier_changed,major_occ_category
Accountants and Auditors,28.09,28.09,restructuring,restructuring,False,Business and Financial Operations Occupations
Actors,14.19,79.37,low,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Actuaries,27.11,45.67,restructuring,moderate,True,Computer and Mathematical Occupations
Acupuncturists,7.33,21.71,low,restructuring,True,Healthcare Practitioners and Technical Occupations
Acute Care Nurses,19.58,32.08,low,restructuring,True,Healthcare Practitioners and Technical Occupations
Adapted Physical Education Specialists,26.97,33.82,restructuring,restructuring,False,Educational Instruction and Library Occupations
Adhesive Bonding Machine Operators and Tenders,19.24,21.57,low,restructuring,True,Production Occupations
"Administrative Law Judges, Adjudicators, and Hearing Officers",24.41,40.53,restructuring,moderate,True,Legal Occupations
Administrative Services Managers,21.00,21.21,restructuring,restructuring,False,Management Occupations
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,24.89,restructuring,restructuring,False,Educational Instruction and Library Occupations
Advanced Practice Psychiatric Nurses,14.67,47.35,low,moderate,True,Healthcare Practitioners and Technical Occupations
Advertising Sales Agents,50.03,83.62,moderate,high,True,Sales and Related Occupations
Advertising and Promotions Managers,33.14,53.17,restructuring,moderate,True,Management Occupations
Aerospace Engineering and Operations Technologists and Technicians,36.82,36.82,restructuring,restructuring,False,Architecture and Engineering Occupations
Aerospace Engineers,24.41,27.46,restructuring,restructuring,False,Architecture and Engineering Occupations
"Agents and Business Managers of Artists, Performers, and Athletes",28.24,53.06,restructuring,moderate,True,Business and Financial Operations Occupations
Agricultural Engineers,30.44,38.39,restructuring,restructuring,False,Architecture and Engineering Occupations
Agricultural Equipment Operators,16.24,16.24,low,low,False,"Farming, Fishing, and Forestry Occupations"
Agricultural Inspectors,12.02,28.01,low,restructuring,True,"Farming, Fishing, and Forestry Occupations"
"Agricultural Sciences Teachers, Postsecondary",33.02,75.45,restructuring,high,True,Educational Instruction and Library Occupations
Agricultural Technicians,16.92,26.56,low,restructuring,True,"Life, Physical, and Social Science Occupations"
Air Traffic Controllers,25.44,31.15,restructuring,restructuring,False,Transportation and Material Moving Occupations
Aircraft Cargo Handling Supervisors,20.85,20.85,restructuring,restructuring,False,Transportation and Material Moving Occupations
Aircraft Mechanics and Service Technicians,14.03,14.03,low,low,False,"Installation, Maintenance, and Repair Occupations"
Aircraft Service Attendants,14.25,14.25,low,low,False,Transportation and Material Moving Occupations
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",10.52,13.39,low,low,False,Production Occupations
Airfield Operations Specialists,27.12,29.10,restructuring,restructuring,False,Transportation and Material Moving Occupations
"Airline Pilots, Copilots, and Flight Engineers",14.43,14.89,low,low,False,Transportation and Material Moving Occupations
Allergists and Immunologists,13.20,30.31,low,restructuring,True,Healthcare Practitioners and Technical Occupations
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,0.54,low,low,False,Transportation and Material Moving Occupations
Amusement and Recreation Attendants,37.48,40.93,restructuring,moderate,True,Personal Care and Service Occupations
Anesthesiologist Assistants,10.13,10.49,low,low,False,Healthcare Practitioners and Technical Occupations
Anesthesiologists,5.14,5.78,low,low,False,Healthcare Practitioners and Technical Occupations
Animal Breeders,42.89,47.23,moderate,moderate,False,"Farming, Fishing, and Forestry Occupations"
Animal Caretakers,39.56,39.56,restructuring,restructuring,False,Personal Care and Service Occupations
Animal Control Workers,40.37,47.12,moderate,moderate,False,Protective Service Occupations
Animal Scientists,20.90,38.75,restructuring,restructuring,False,"Life, Physical, and Social Science Occupations"
Animal Trainers,5.59,14.76,low,low,False,Personal Care and Service Occupations
Anthropologists and Archeologists,33.15,33.15,restructuring,restructuring,False,"Life, Physical, and Social Science Occupations"
"Anthropology and Archeology Teachers, Postsecondary",32.93,70.86,restructuring,high,True,Educational Instruction and Library Occupations
Appraisers and Assessors of Real Estate,26.63,26.63,restructuring,restructuring,False,Business and Financial Operations Occupations
Appraisers of Personal and Business Property,41.67,41.67,moderate,moderate,False,Business and Financial Operations Occupations
"Arbitrators, Mediators, and Conciliators",18.40,42.77,low,moderate,True,Legal Occupations
"Architects, Except Landscape and Naval",29.93,63.87,restructuring,high,True,Architecture and Engineering Occupations
Architectural and Civil Drafters,45.47,45.47,moderate,moderate,False,Architecture and Engineering Occupations
Architectural and Engineering Managers,17.32,57.38,low,moderate,True,Management Occupations
"Architecture Teachers, Postsecondary",30.41,77.55,restructuring,high,True,Educational Instruction and Library Occupations
Archivists,40.59,86.73,moderate,high,True,Educational Instruction and Library Occupations
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",33.29,76.37,restructuring,high,True,Educational Instruction and Library Occupations
Art Directors,38.48,62.54,restructuring,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Art Therapists,21.03,52.25,restructuring,moderate,True,Healthcare Practitioners and Technical Occupations
"Art, Drama, and Music Teachers, Postsecondary",30.88,72.25,restructuring,high,True,Educational Instruction and Library Occupations
Astronomers,23.17,72.49,restructuring,high,True,"Life, Physical, and Social Science Occupations"
