title_current,trajectory,first_pct,last_pct,total_gain,early_gain,late_gain,major_occ_category
Accountants and Auditors,laggard,28.09,28.09,0.00,0.00,0.00,Business and Financial Operations Occupations
Actors,steady,14.19,79.37,65.18,49.45,15.73,"Arts, Design, Entertainment, Sports, and Media Occupations"
Actuaries,steady,27.11,45.67,18.57,15.16,3.41,Computer and Mathematical Occupations
Acupuncturists,plateaued,7.33,21.71,14.38,14.30,0.08,Healthcare Practitioners and Technical Occupations
Acute Care Nurses,plateaued,19.58,32.08,12.50,10.92,1.58,Healthcare Practitioners and Technical Occupations
Adapted Physical Education Specialists,mixed,26.97,33.82,6.85,6.62,0.24,Educational Instruction and Library Occupations
Adhesive Bonding Machine Operators and Tenders,laggard,19.24,21.57,2.34,0.00,2.34,Production Occupations
"Administrative Law Judges, Adjudicators, and Hearing Officers",plateaued,24.41,40.53,16.12,13.93,2.19,Legal Occupations
Administrative Services Managers,laggard,21.00,21.21,0.20,0.00,0.20,Management Occupations
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",laggard,24.89,24.89,0.00,0.00,0.00,Educational Instruction and Library Occupations
Advanced Practice Psychiatric Nurses,steady,14.67,47.35,32.68,21.92,10.76,Healthcare Practitioners and Technical Occupations
Advertising Sales Agents,steady,50.03,83.62,33.58,15.46,18.13,Sales and Related Occupations
Advertising and Promotions Managers,steady,33.14,53.17,20.03,13.82,6.21,Management Occupations
Aerospace Engineering and Operations Technologists and Technicians,laggard,36.82,36.82,0.00,0.00,0.00,Architecture and Engineering Occupations
Aerospace Engineers,laggard,24.41,27.46,3.05,3.05,0.00,Architecture and Engineering Occupations
"Agents and Business Managers of Artists, Performers, and Athletes",plateaued,28.24,53.06,24.82,24.11,0.71,Business and Financial Operations Occupations
Agricultural Engineers,mixed,30.44,38.39,7.95,5.67,2.28,Architecture and Engineering Occupations
Agricultural Equipment Operators,laggard,16.24,16.24,0.00,0.00,0.00,"Farming, Fishing, and Forestry Occupations"
Agricultural Inspectors,steady,12.02,28.01,15.99,12.54,3.45,"Farming, Fishing, and Forestry Occupations"
"Agricultural Sciences Teachers, Postsecondary",steady,33.02,75.45,42.43,35.59,6.84,Educational Instruction and Library Occupations
Agricultural Technicians,mixed,16.92,26.56,9.64,2.49,7.15,"Life, Physical, and Social Science Occupations"
Air Traffic Controllers,mixed,25.44,31.15,5.70,2.84,2.86,Transportation and Material Moving Occupations
Aircraft Cargo Handling Supervisors,laggard,20.85,20.85,0.00,0.00,0.00,Transportation and Material Moving Occupations
Aircraft Mechanics and Service Technicians,laggard,14.03,14.03,0.00,0.00,0.00,"Installation, Maintenance, and Repair Occupations"
Aircraft Service Attendants,laggard,14.25,14.25,0.00,0.00,0.00,Transportation and Material Moving Occupations
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",laggard,10.52,13.39,2.87,2.87,0.00,Production Occupations
Airfield Operations Specialists,laggard,27.12,29.10,1.99,1.95,0.04,Transportation and Material Moving Occupations
"Airline Pilots, Copilots, and Flight Engineers",laggard,14.43,14.89,0.46,0.46,0.00,Transportation and Material Moving Occupations
