iwa,pct_first,pct_last,total_gain_pp,early_gain_pp,late_gain_pp,current_zone
Record information about legal matters.,1.03,26.54,25.51,22.22,3.29,emerging (10-33%)
"Prepare financial documents, reports, or budgets.",5.23,30.22,24.99,22.26,2.73,emerging (10-33%)
Assign work to others.,3.12,27.81,24.69,5.00,19.69,emerging (10-33%)
Collect information about patients or clients.,5.24,29.11,23.86,16.80,7.07,emerging (10-33%)
"Discuss legal matters with clients, disputants, or legal professionals or staff.",1.40,25.09,23.69,3.98,19.71,emerging (10-33%)
Negotiate contracts or agreements.,6.50,30.13,23.62,18.56,5.06,emerging (10-33%)
Develop public or community health programs.,7.54,31.16,23.62,22.66,0.96,emerging (10-33%)
Direct construction or extraction activities.,6.34,28.91,22.56,15.06,7.51,emerging (10-33%)
Draft legislation or regulations.,0.00,21.43,21.43,20.63,0.80,emerging (10-33%)
Manage human resources activities.,9.55,30.74,21.19,15.43,5.75,emerging (10-33%)
Test characteristics of materials or products.,3.06,24.22,21.16,18.92,2.24,emerging (10-33%)
Research agricultural processes or practices.,0.00,19.96,19.96,12.99,6.97,emerging (10-33%)
Present arts or entertainment performances.,8.09,28.02,19.93,14.54,5.40,emerging (10-33%)
Coordinate artistic or entertainment activities.,4.76,24.36,19.60,12.95,6.65,emerging (10-33%)
Evaluate patient or client condition or treatment options.,5.86,25.34,19.48,15.62,3.87,emerging (10-33%)
Make legal decisions.,3.20,22.26,19.06,17.99,1.07,emerging (10-33%)
Prepare specimens or materials for testing.,3.72,22.51,18.79,9.04,9.74,emerging (10-33%)
Prepare reports of operational or procedural activities.,4.02,22.49,18.47,15.66,2.81,emerging (10-33%)
Schedule operational activities.,7.98,26.07,18.09,16.44,1.65,emerging (10-33%)
Maintain sales or financial records.,10.55,28.09,17.54,14.40,3.14,emerging (10-33%)
Maintain operational records.,4.04,21.23,17.18,12.41,4.78,emerging (10-33%)
"Direct organizational operations, activities, or procedures.",3.86,20.66,16.80,14.73,2.08,emerging (10-33%)
Operate audiovisual or related equipment.,9.92,26.61,16.68,10.73,5.95,emerging (10-33%)
Prepare schedules for services or facilities.,14.89,31.22,16.33,4.60,11.72,emerging (10-33%)
"Evaluate condition of financial assets, property, or other resources.",11.20,26.80,15.59,15.00,0.60,emerging (10-33%)
Direct scientific or technical activities.,6.55,21.89,15.34,13.06,2.28,emerging (10-33%)
Record images with photographic or audiovisual equipment.,5.87,21.05,15.17,14.88,0.30,emerging (10-33%)
Monitor operations to ensure compliance with regulations or standards.,8.38,22.81,14.43,11.16,3.27,emerging (10-33%)
Record information about environmental conditions.,0.00,14.43,14.43,0.00,14.43,emerging (10-33%)
Monitor health conditions of humans or animals.,4.63,19.06,14.42,9.09,5.33,emerging (10-33%)
Evaluate personnel capabilities or performance.,11.81,25.97,14.16,7.72,6.44,emerging (10-33%)
Examine people or animals to assess health conditions or physical characteristics.,1.02,15.16,14.14,9.16,4.99,emerging (10-33%)
Transport patients or clients.,0.00,13.40,13.40,13.40,0.00,emerging (10-33%)
Resolve personnel or operational problems.,2.85,16.16,13.31,13.22,0.09,emerging (10-33%)
Prescribe medical treatments or devices.,0.53,13.25,12.72,9.75,2.96,emerging (10-33%)
Groom or style hair.,0.00,12.52,12.52,0.00,12.52,emerging (10-33%)
Analyze environmental or geospatial data.,4.16,16.58,12.42,11.78,0.64,emerging (10-33%)
Coordinate regulatory compliance activities.,2.19,14.07,11.88,11.60,0.28,emerging (10-33%)
Supervise personnel activities.,6.88,18.70,11.82,7.29,4.53,emerging (10-33%)
Sell products or services.,8.59,20.26,11.67,10.03,1.65,emerging (10-33%)
Monitor resources or inventories.,9.35,20.80,11.46,10.62,0.84,emerging (10-33%)
Collect environmental or biological samples.,3.64,14.86,11.22,3.84,7.37,emerging (10-33%)
Apply hygienic or cosmetic agents to skin or hair.,0.00,10.88,10.88,3.05,7.82,emerging (10-33%)
Perform human resources activities.,15.10,25.79,10.69,4.09,6.60,emerging (10-33%)
Operate medical equipment.,6.27,16.85,10.58,4.98,5.60,emerging (10-33%)
Evaluate project feasibility.,20.56,30.66,10.11,8.55,1.56,emerging (10-33%)
Confer with healthcare or other professionals about patient care.,6.92,16.95,10.03,8.69,1.34,emerging (10-33%)
Estimate project development or operational costs.,15.32,25.20,9.88,9.87,0.01,emerging (10-33%)
Collect samples of products or materials.,3.92,13.67,9.75,9.55,0.20,emerging (10-33%)
Diagnose health conditions or disorders.,5.65,15.08,9.43,8.34,1.09,emerging (10-33%)
Monitor operations to ensure adequate performance.,3.40,12.22,8.82,6.53,2.29,emerging (10-33%)
