iwa,threshold,crossed_date,pct_last,pct_first
Evaluate scholarly work.,33.00,2025-03-06,87.96,11.26
Implement security measures for computer or information systems.,33.00,2025-03-06,72.78,23.06
"Assess student capabilities, needs, or performance.",33.00,2025-03-06,67.46,13.88
Develop business or marketing plans.,33.00,2025-08-11,58.58,9.97
Schedule appointments.,33.00,2025-08-11,57.54,20.32
Design databases.,33.00,2025-03-06,55.00,14.08
Collect data about consumer needs or opinions.,33.00,2025-08-11,54.01,17.71
Prepare proposals or grant applications.,33.00,2025-03-06,52.55,17.13
Monitor financial data or activities.,33.00,2025-11-13,52.22,3.58
Alter audio or video recordings.,33.00,2025-08-11,50.94,9.30
"Set up classrooms, facilities, educational materials, or equipment.",33.00,2025-08-11,49.74,0.00
Develop patient or client care or treatment plans.,33.00,2025-03-06,48.22,6.37
Prepare health or medical documents.,33.00,2025-03-06,47.63,5.47
Develop financial or business plans.,33.00,2025-08-11,46.27,6.07
Develop organizational or program goals or objectives.,33.00,2025-08-11,44.15,8.35
Develop research plans or methodologies.,33.00,2025-08-11,43.62,11.26
Analyze business or financial risks.,33.00,2025-08-11,43.05,21.84
Manage budgets or finances.,33.00,2025-08-11,42.79,4.61
Authorize business activities or transactions.,33.00,2025-11-13,42.20,5.22
Prepare legal or regulatory documents.,33.00,2025-08-11,41.77,11.02
Perform recruiting or hiring activities.,33.00,2025-08-11,40.90,5.78
Analyze data to improve operations.,33.00,2025-08-11,40.74,9.74
Serve on organizational committees.,33.00,2025-03-06,39.24,2.95
Collaborate in the development of educational programs.,33.00,2025-11-13,38.22,1.53
Order medical tests or procedures.,33.00,2025-08-11,37.90,29.98
Design electrical or electronic systems or equipment.,33.00,2025-11-13,36.96,16.18
"Develop educational programs, plans, or procedures.",33.00,2025-08-11,36.69,8.08
"Develop organizational policies, systems, or processes.",33.00,2025-08-11,36.62,17.09
Design structures or facilities.,33.00,2025-11-13,35.46,14.19
"Coordinate group, community, or public activities.",33.00,2026-02-12,35.26,3.78
"Coordinate activities with clients, agencies, or organizations.",33.00,2026-02-12,33.80,14.44
Maintain health or medical records.,33.00,2026-02-12,33.32,6.13
