iwa,pct_first,pct_last,total_gain_pp,early_gain_pp,late_gain_pp,current_zone
Evaluate scholarly work.,11.26,87.96,76.70,76.69,0.01,high (>=66%)
"Assess student capabilities, needs, or performance.",13.88,67.46,53.58,44.12,9.46,high (>=66%)
"Set up classrooms, facilities, educational materials, or equipment.",0.00,49.74,49.74,33.05,16.70,moderate (33-66%)
Implement security measures for computer or information systems.,23.06,72.78,49.72,41.70,8.02,high (>=66%)
Monitor financial data or activities.,3.58,52.22,48.64,21.35,27.29,moderate (33-66%)
Develop business or marketing plans.,9.97,58.58,48.61,41.89,6.72,moderate (33-66%)
"Research laws, precedents, or other legal data.",49.02,92.52,43.50,35.62,7.88,high (>=66%)
Prepare health or medical documents.,5.47,47.63,42.16,39.93,2.23,moderate (33-66%)
Develop patient or client care or treatment plans.,6.37,48.22,41.84,38.87,2.98,moderate (33-66%)
Alter audio or video recordings.,9.30,50.94,41.64,24.16,17.48,moderate (33-66%)
Design databases.,14.08,55.00,40.92,34.51,6.42,moderate (33-66%)
Develop financial or business plans.,6.07,46.27,40.20,28.91,11.29,moderate (33-66%)
Manage budgets or finances.,4.61,42.79,38.18,32.37,5.81,moderate (33-66%)
Schedule appointments.,20.32,57.54,37.22,31.32,5.90,moderate (33-66%)
Authorize business activities or transactions.,5.22,42.20,36.98,26.38,10.60,moderate (33-66%)
Collaborate in the development of educational programs.,1.53,38.22,36.68,31.18,5.50,moderate (33-66%)
Collect data about consumer needs or opinions.,17.71,54.01,36.29,33.97,2.32,moderate (33-66%)
Serve on organizational committees.,2.95,39.24,36.29,33.63,2.66,moderate (33-66%)
Develop organizational or program goals or objectives.,8.35,44.15,35.81,28.23,7.57,moderate (33-66%)
Research historical or social issues.,53.40,89.14,35.74,28.88,6.85,high (>=66%)
Prepare proposals or grant applications.,17.13,52.55,35.41,29.29,6.12,moderate (33-66%)
Perform recruiting or hiring activities.,5.78,40.90,35.12,29.13,5.99,moderate (33-66%)
Develop research plans or methodologies.,11.26,43.62,32.36,30.57,1.79,moderate (33-66%)
Develop marketing or promotional materials.,53.42,85.16,31.74,26.43,5.31,high (>=66%)
"Coordinate group, community, or public activities.",3.78,35.26,31.49,20.40,11.08,moderate (33-66%)
Analyze data to improve operations.,9.74,40.74,31.00,27.16,3.84,moderate (33-66%)
Prepare legal or regulatory documents.,11.02,41.77,30.76,27.74,3.02,moderate (33-66%)
"Interpret language, cultural, or religious information for others.",53.38,82.80,29.42,28.09,1.34,high (>=66%)
"Develop educational programs, plans, or procedures.",8.08,36.69,28.61,26.38,2.23,moderate (33-66%)
Analyze scientific or applied data using mathematical principles.,51.27,79.42,28.15,19.32,8.83,high (>=66%)
Maintain health or medical records.,6.13,33.32,27.18,24.05,3.14,moderate (33-66%)
