date,iwa,pct_tasks_affected,workers_affected,wages_affected
2024-09-30,"Provide information to guests, clients, or customers.",58.53,2564798.10,130116449328.55
2024-09-30,Execute financial transactions.,53.14,2192929.14,87258193941.85
2024-09-30,Prepare foods or beverages.,54.83,1905971.41,64828626272.25
2024-09-30,Respond to customer problems or inquiries.,59.58,1604079.66,82095733507.63
2024-09-30,Communicate with others about operational plans or activities.,49.83,1544497.93,92226938520.43
2024-09-30,Determine values or prices of goods or services.,53.26,1246553.77,58185480303.54
2024-09-30,"Provide general assistance to others, such as customers, patrons, or motorists.",52.05,1199208.45,47023540507.20
2024-09-30,Read documents or materials to inform work processes.,53.38,1099770.08,61060325204.51
2024-09-30,Explain technical details of products or services.,60.87,934806.21,44083898558.67
2024-09-30,Purchase goods or services.,53.18,928751.99,54052459998.63
2024-09-30,"Prepare documentation for contracts, applications, or permits.",54.39,882314.58,43377518166.62
2024-09-30,Maintain current knowledge in area of expertise.,54.81,802661.79,63668010469.96
2024-09-30,Train others on operational or work procedures.,45.27,767613.24,51979146270.07
2024-09-30,"Measure physical characteristics of materials, products, or equipment.",49.49,712346.79,32309672088.51
2024-09-30,Evaluate the quality or accuracy of data.,47.40,709924.32,40333244205.33
2024-09-30,Monitor individual behavior or performance.,47.17,677050.02,39571285911.72
2024-09-30,Perform administrative or clerical activities.,51.59,668527.84,37026602309.74
2024-09-30,Advise others on products or services.,53.91,639885.95,45119989791.25
2024-09-30,Train others on health or medical topics.,42.68,611892.63,32355622035.20
2024-09-30,Teach academic or vocational subjects.,47.51,559983.23,35536369242.23
2024-09-30,"Explain regulations, policies, or procedures.",57.86,553749.65,38271770407.46
2024-09-30,Prepare informational or instructional materials.,54.80,550037.15,36329841599.95
2024-09-30,Advise others on business or operational matters.,49.74,527549.98,47390475247.01
2024-09-30,"Promote products, services, or programs.",52.39,512919.07,28905329759.42
2024-09-30,Adjust equipment to ensure adequate performance.,54.70,511098.44,27931034387.71
2024-09-30,Implement procedures or processes.,60.43,493916.63,54066104994.75
