iwa,threshold,crossed_date,pct_last,pct_first
Adjust medical equipment to ensure adequate performance.,10.00,2025-08-11,10.59,2.96
Advise others on educational or vocational matters.,66.00,2025-11-13,69.04,50.79
Advise others on financial matters.,66.00,2025-08-11,73.44,50.22
Advise others on products or services.,66.00,2025-08-11,75.82,53.91
Advise others on the design or use of technologies.,66.00,2025-08-11,67.61,51.54
Alter audio or video recordings.,10.00,2025-03-06,50.94,9.30
Alter audio or video recordings.,33.00,2025-08-11,50.94,9.30
Analyze business or financial data.,66.00,2025-08-11,69.26,51.58
Analyze business or financial risks.,33.00,2025-08-11,43.05,21.84
Analyze data to improve operations.,10.00,2025-03-06,40.74,9.74
Analyze data to improve operations.,33.00,2025-08-11,40.74,9.74
Analyze environmental or geospatial data.,10.00,2025-08-11,16.58,4.16
Analyze market or industry conditions.,66.00,2025-08-11,76.51,51.34
Analyze scientific or applied data using mathematical principles.,66.00,2025-08-11,79.42,51.27
Apply hygienic or cosmetic agents to skin or hair.,10.00,2026-02-12,10.88,0.00
Apply materials to fill gaps or imperfections.,10.00,2025-11-13,10.72,7.34
"Assess student capabilities, needs, or performance.",33.00,2025-03-06,67.46,13.88
"Assess student capabilities, needs, or performance.",66.00,2025-11-13,67.46,13.88
Assign work to others.,10.00,2025-11-13,27.81,3.12
Assist healthcare practitioners during medical procedures.,10.00,2025-08-11,11.02,5.94
Assist individuals with paperwork.,66.00,2026-02-12,67.98,53.38
Authorize business activities or transactions.,10.00,2025-03-06,42.20,5.22
Authorize business activities or transactions.,33.00,2025-11-13,42.20,5.22
Coach others.,66.00,2026-02-12,67.15,42.58
Collaborate in the development of educational programs.,10.00,2025-03-06,38.22,1.53
Collaborate in the development of educational programs.,33.00,2025-11-13,38.22,1.53
Collect data about consumer needs or opinions.,33.00,2025-08-11,54.01,17.71
Collect environmental or biological samples.,10.00,2025-11-13,14.86,3.64
Collect information about patients or clients.,10.00,2025-08-11,29.11,5.24
Collect samples of products or materials.,10.00,2025-08-11,13.67,3.92
"Compile records, documentation, or other data.",66.00,2025-08-11,72.51,53.39
Confer with healthcare or other professionals about patient care.,10.00,2025-03-06,16.95,6.92
Consult legal materials or public records.,66.00,2025-11-13,73.34,47.29
"Coordinate activities with clients, agencies, or organizations.",33.00,2026-02-12,33.80,14.44
Coordinate artistic or entertainment activities.,10.00,2025-03-06,24.36,4.76
"Coordinate group, community, or public activities.",10.00,2025-03-06,35.26,3.78
"Coordinate group, community, or public activities.",33.00,2026-02-12,35.26,3.78
Coordinate regulatory compliance activities.,10.00,2025-03-06,14.07,2.19
Design computer or information systems or applications.,66.00,2025-08-11,73.78,53.40
Design databases.,33.00,2025-03-06,55.00,14.08
Design electrical or electronic systems or equipment.,33.00,2025-11-13,36.96,16.18
Design industrial systems or equipment.,10.00,2025-03-06,16.00,7.77
Design structures or facilities.,33.00,2025-11-13,35.46,14.19
Develop business or marketing plans.,10.00,2025-03-06,58.58,9.97
Develop business or marketing plans.,33.00,2025-08-11,58.58,9.97
"Develop educational programs, plans, or procedures.",10.00,2025-03-06,36.69,8.08
"Develop educational programs, plans, or procedures.",33.00,2025-08-11,36.69,8.08
Develop financial or business plans.,10.00,2025-03-06,46.27,6.07
Develop financial or business plans.,33.00,2025-08-11,46.27,6.07
Develop marketing or promotional materials.,66.00,2025-03-06,85.16,53.42
"Develop news, entertainment, or artistic content.",66.00,2025-11-13,67.64,53.41
Develop operational or technical procedures or standards.,66.00,2026-02-12,66.44,53.63
Develop organizational or program goals or objectives.,10.00,2025-03-06,44.15,8.35
Develop organizational or program goals or objectives.,33.00,2025-08-11,44.15,8.35
"Develop organizational policies, systems, or processes.",33.00,2025-08-11,36.62,17.09
Develop patient or client care or treatment plans.,10.00,2025-03-06,48.22,6.37
Develop patient or client care or treatment plans.,33.00,2025-03-06,48.22,6.37
Develop public or community health programs.,10.00,2025-03-06,31.16,7.54
Develop research plans or methodologies.,33.00,2025-08-11,43.62,11.26
Develop scientific or mathematical theories or models.,66.00,2026-02-12,66.02,49.50
Diagnose health conditions or disorders.,10.00,2025-08-11,15.08,5.65
Direct construction or extraction activities.,10.00,2025-08-11,28.91,6.34
"Direct organizational operations, activities, or procedures.",10.00,2025-03-06,20.66,3.86
Direct scientific or technical activities.,10.00,2025-03-06,21.89,6.55
"Discuss legal matters with clients, disputants, or legal professionals or staff.",10.00,2025-11-13,25.09,1.40
Draft legislation or regulations.,10.00,2025-03-06,21.43,0.00
Edit written materials or documents.,66.00,2025-08-11,77.87,57.66
Evaluate patient or client condition or treatment options.,10.00,2025-03-06,25.34,5.86
"Evaluate programs, practices, or processes.",66.00,2025-08-11,73.85,53.36
Evaluate scholarly work.,33.00,2025-03-06,87.96,11.26
Evaluate scholarly work.,66.00,2025-08-11,87.96,11.26
Examine people or animals to assess health conditions or physical characteristics.,10.00,2025-08-11,15.16,1.02
Explain financial information.,66.00,2025-08-11,74.51,56.85
"Explain regulations, policies, or procedures.",66.00,2025-11-13,67.28,57.86
Explain technical details of products or services.,66.00,2025-08-11,81.90,60.87
Gather information from physical or electronic sources.,66.00,2025-08-11,70.70,58.16
Groom or style hair.,10.00,2025-11-13,12.52,0.00
Identify business or organizational opportunities.,66.00,2026-02-12,66.33,49.44
Implement procedures or processes.,66.00,2025-08-11,71.76,60.43
Implement security measures for computer or information systems.,33.00,2025-03-06,72.78,23.06
Implement security measures for computer or information systems.,66.00,2025-11-13,72.78,23.06
"Inspect commercial, industrial, or production systems or equipment.",10.00,2025-11-13,10.98,6.47
Inspect completed work or finished products.,10.00,2025-08-11,11.26,7.28
"Interpret language, cultural, or religious information for others.",66.00,2025-03-06,82.80,53.38
Maintain current knowledge in area of expertise.,66.00,2025-11-13,72.04,54.81
Maintain health or medical records.,10.00,2025-03-06,33.32,6.13
Maintain health or medical records.,33.00,2026-02-12,33.32,6.13
Maintain operational records.,10.00,2025-08-11,21.23,4.04
Make legal decisions.,10.00,2025-03-06,22.26,3.20
Manage budgets or finances.,10.00,2025-03-06,42.79,4.61
Manage budgets or finances.,33.00,2025-08-11,42.79,4.61
Manage human resources activities.,10.00,2025-03-06,30.74,9.55
Mark materials or objects for identification.,10.00,2026-02-12,10.63,5.44
Monitor financial data or activities.,10.00,2025-03-06,52.22,3.58
Monitor financial data or activities.,33.00,2025-11-13,52.22,3.58
Monitor health conditions of humans or animals.,10.00,2025-08-11,19.06,4.63
Monitor operation of computer or information technologies.,66.00,2025-11-13,67.21,49.44
Monitor operations to ensure adequate performance.,10.00,2026-02-12,12.22,3.40
Monitor operations to ensure compliance with regulations or standards.,10.00,2025-03-06,22.81,8.38
Monitor resources or inventories.,10.00,2025-03-06,20.80,9.35
"Monitor safety or security of work areas, facilities, or properties.",10.00,2025-03-06,13.27,8.55
Negotiate contracts or agreements.,10.00,2025-03-06,30.13,6.50
Obtain information about goods or services.,66.00,2025-08-11,77.84,64.44
Operate audiovisual or related equipment.,10.00,2025-03-06,26.61,9.92
Operate computer systems or computerized equipment.,66.00,2025-08-11,76.50,49.65
Operate medical equipment.,10.00,2025-03-06,16.85,6.27
Order medical tests or procedures.,33.00,2025-08-11,37.90,29.98
Perform administrative or clerical activities.,66.00,2025-11-13,69.62,51.59
Perform recruiting or hiring activities.,10.00,2025-03-06,40.90,5.78
Perform recruiting or hiring activities.,33.00,2025-08-11,40.90,5.78
Plan events or programs.,66.00,2025-03-06,67.44,53.38
"Prepare documentation for contracts, applications, or permits.",66.00,2025-08-11,71.62,54.39
"Prepare financial documents, reports, or budgets.",10.00,2025-03-06,30.22,5.23
Prepare health or medical documents.,10.00,2025-03-06,47.63,5.47
Prepare health or medical documents.,33.00,2025-03-06,47.63,5.47
Prepare informational or instructional materials.,66.00,2025-08-11,76.56,54.80
Prepare legal or regulatory documents.,33.00,2025-08-11,41.77,11.02
Prepare proposals or grant applications.,33.00,2025-03-06,52.55,17.13
Prepare reports of operational or procedural activities.,10.00,2025-03-06,22.49,4.02
Prepare specimens or materials for testing.,10.00,2025-08-11,22.51,3.72
Prescribe medical treatments or devices.,10.00,2025-08-11,13.25,0.53
Present arts or entertainment performances.,10.00,2025-03-06,28.02,8.09
Present research or technical information.,66.00,2025-08-11,70.06,54.17
Program computer systems or production equipment.,66.00,2025-08-11,70.69,57.61
"Promote products, services, or programs.",66.00,2025-08-11,72.71,52.39
Provide information or assistance to the public.,66.00,2026-02-12,66.50,58.18
"Provide information to guests, clients, or customers.",66.00,2025-08-11,71.73,58.53
Reconcile financial data.,10.00,2025-03-06,12.16,9.29
Record images with photographic or audiovisual equipment.,10.00,2025-03-06,21.05,5.87
Record information about environmental conditions.,10.00,2026-02-12,14.43,0.00
Record information about legal matters.,10.00,2025-03-06,26.54,1.03
Research agricultural processes or practices.,10.00,2025-03-06,19.96,0.00
Research biological or ecological phenomena.,66.00,2025-11-13,71.94,53.38
Research historical or social issues.,66.00,2025-08-11,89.14,53.40
"Research laws, precedents, or other legal data.",66.00,2025-08-11,92.52,49.02
"Research organizational behavior, processes, or performance.",66.00,2025-08-11,66.69,51.30
Research technology designs or applications.,66.00,2025-11-13,70.03,56.61
Resolve computer problems.,66.00,2025-08-11,71.61,55.70
Resolve personnel or operational problems.,10.00,2025-03-06,16.16,2.85
Respond to customer problems or inquiries.,66.00,2025-08-11,75.18,59.58
Schedule appointments.,33.00,2025-08-11,57.54,20.32
Schedule operational activities.,10.00,2025-03-06,26.07,7.98
Sell products or services.,10.00,2025-03-06,20.26,8.59
Serve on organizational committees.,10.00,2025-03-06,39.24,2.95
Serve on organizational committees.,33.00,2025-03-06,39.24,2.95
"Set up classrooms, facilities, educational materials, or equipment.",10.00,2025-03-06,49.74,0.00
"Set up classrooms, facilities, educational materials, or equipment.",33.00,2025-08-11,49.74,0.00
"Set up computer systems, networks, or other information systems.",66.00,2025-08-11,71.55,53.55
Stock supplies or products.,10.00,2026-02-12,12.73,4.61
Study details of artistic productions.,66.00,2025-11-13,73.37,53.38
Supervise personnel activities.,10.00,2025-08-11,18.70,6.88
Test characteristics of materials or products.,10.00,2025-03-06,24.22,3.06
Test performance of computer or information systems.,66.00,2025-08-11,67.40,49.74
Transport patients or clients.,10.00,2025-08-11,13.40,0.00
"Treat injuries, illnesses, or diseases.",10.00,2026-02-12,10.27,1.91
Write material for artistic or commercial purposes.,66.00,2025-08-11,81.32,56.76
