iwa,threshold,crossed_date,pct_last,pct_first
Adjust equipment to ensure adequate performance.,10.00,2024-09-30,56.27,54.70
Adjust equipment to ensure adequate performance.,33.00,2024-09-30,56.27,54.70
Adjust equipment to ensure adequate performance.,66.00,,56.27,54.70
Adjust medical equipment to ensure adequate performance.,10.00,2025-08-11,10.59,2.96
Adjust medical equipment to ensure adequate performance.,33.00,,10.59,2.96
Adjust medical equipment to ensure adequate performance.,66.00,,10.59,2.96
Administer basic health care or medical treatments.,10.00,,8.52,2.20
Administer basic health care or medical treatments.,33.00,,8.52,2.20
Administer basic health care or medical treatments.,66.00,,8.52,2.20
Administer diagnostic tests to assess patient health.,10.00,,7.85,1.07
Administer diagnostic tests to assess patient health.,33.00,,7.85,1.07
Administer diagnostic tests to assess patient health.,66.00,,7.85,1.07
Administer emergency medical treatment.,10.00,,1.18,0.00
Administer emergency medical treatment.,33.00,,1.18,0.00
Administer emergency medical treatment.,66.00,,1.18,0.00
Administer therapeutic treatments.,10.00,,6.66,1.00
Administer therapeutic treatments.,33.00,,6.66,1.00
Administer therapeutic treatments.,66.00,,6.66,1.00
Advise others on business or operational matters.,10.00,2024-09-30,61.01,49.74
Advise others on business or operational matters.,33.00,2024-09-30,61.01,49.74
Advise others on business or operational matters.,66.00,,61.01,49.74
Advise others on educational or vocational matters.,10.00,2024-09-30,69.04,50.79
Advise others on educational or vocational matters.,33.00,2024-09-30,69.04,50.79
Advise others on educational or vocational matters.,66.00,2025-11-13,69.04,50.79
Advise others on environmental sustainability or green practices.,10.00,2024-09-30,48.23,45.23
Advise others on environmental sustainability or green practices.,33.00,2024-09-30,48.23,45.23
Advise others on environmental sustainability or green practices.,66.00,,48.23,45.23
Advise others on financial matters.,10.00,2024-09-30,73.44,50.22
Advise others on financial matters.,33.00,2024-09-30,73.44,50.22
Advise others on financial matters.,66.00,2025-08-11,73.44,50.22
Advise others on healthcare or wellness issues.,10.00,2024-09-30,49.89,47.82
Advise others on healthcare or wellness issues.,33.00,2024-09-30,49.89,47.82
Advise others on healthcare or wellness issues.,66.00,,49.89,47.82
Advise others on legal or regulatory matters.,10.00,2024-09-30,55.14,49.92
