category,pct_tasks_affected,workers_affected,wages_affected,tier,ceiling_pct,gap_pp,rank
"Research laws, precedents, or other legal data.",92.52,159654.86,22745494185.42,fragile,92.52,0.00,1
Research historical or social issues.,89.14,20542.06,2105484116.38,fragile,89.14,0.00,2
Evaluate scholarly work.,87.96,1838.99,143703164.65,fragile,87.96,0.00,3
Develop marketing or promotional materials.,85.16,151198.62,11944875674.56,fragile,86.03,0.87,4
"Interpret language, cultural, or religious information for others.",82.80,40257.01,2304009447.08,fragile,82.80,0.00,5
Explain technical details of products or services.,81.90,1285081.45,60420247626.49,fragile,83.94,2.04,6
Write material for artistic or commercial purposes.,81.32,164113.76,12203845748.49,fragile,84.43,3.11,7
Analyze scientific or applied data using mathematical principles.,79.42,141688.71,17501472860.51,fragile,88.19,8.76,8
Edit written materials or documents.,77.87,116306.22,10003785115.59,fragile,81.21,3.34,9
Obtain information about goods or services.,77.84,28496.65,2132587760.52,fragile,78.95,1.11,10
Prepare informational or instructional materials.,76.56,812826.09,54281013937.42,fragile,79.02,2.46,11
Analyze market or industry conditions.,76.51,448502.86,40543285358.61,fragile,83.52,7.01,12
Operate computer systems or computerized equipment.,76.50,479218.12,24386389669.48,fragile,87.19,10.69,13
Advise others on products or services.,75.82,1010722.35,74016572460.08,fragile,75.94,0.13,14
Respond to customer problems or inquiries.,75.18,2201163.18,113640953010.37,fragile,78.39,3.21,15
Explain financial information.,74.51,211037.14,14945132312.10,fragile,77.94,3.43,16
"Evaluate programs, practices, or processes.",73.85,310608.04,29380059985.42,fragile,74.63,0.79,17
Design computer or information systems or applications.,73.78,674387.56,72254544812.37,fragile,82.01,8.22,18
Advise others on financial matters.,73.44,132704.28,10789253377.03,fragile,76.36,2.91,19
Study details of artistic productions.,73.37,40533.44,2823340723.44,fragile,73.37,0.00,20
Consult legal materials or public records.,73.34,173727.99,18066507730.60,fragile,73.45,0.11,21
Implement security measures for computer or information systems.,72.78,140614.67,15137061798.05,fragile,86.17,13.39,22
"Promote products, services, or programs.",72.71,748554.40,42132355856.13,fragile,76.20,3.49,23
"Compile records, documentation, or other data.",72.51,613319.55,37775563103.84,fragile,79.64,7.13,24
Maintain current knowledge in area of expertise.,72.04,1039293.44,81492302478.81,fragile,73.06,1.02,25
Research biological or ecological phenomena.,71.94,61763.31,5468899015.60,fragile,72.57,0.63,26
Implement procedures or processes.,71.76,642737.61,70304332388.93,fragile,72.27,0.51,27
"Provide information to guests, clients, or customers.",71.73,3339988.91,163797021490.83,fragile,80.63,8.90,28
"Prepare documentation for contracts, applications, or permits.",71.62,1165173.71,58387552238.55,fragile,82.76,11.14,29
Resolve computer problems.,71.61,275190.91,24411767863.83,fragile,78.61,7.00,30
"Set up computer systems, networks, or other information systems.",71.55,232115.89,18158542874.64,fragile,82.28,10.74,31
Gather information from physical or electronic sources.,70.70,420049.42,23629927023.23,fragile,78.74,8.04,32
Program computer systems or production equipment.,70.69,215700.05,18188078178.48,fragile,81.42,10.73,33
Present research or technical information.,70.06,461830.68,36484049736.41,fragile,74.52,4.46,34
Research technology designs or applications.,70.03,108524.57,11417389458.95,fragile,70.31,0.28,35
Perform administrative or clerical activities.,69.62,994375.87,53147996082.22,fragile,77.40,7.78,36
Analyze business or financial data.,69.26,598006.64,54116167722.75,fragile,77.07,7.81,37
Advise others on educational or vocational matters.,69.04,481621.14,34107373430.49,fragile,69.04,0.00,38
Assist individuals with paperwork.,67.98,23766.72,1122285699.79,fragile,67.98,0.00,39
"Develop news, entertainment, or artistic content.",67.64,31751.78,2303488700.35,fragile,69.59,1.95,40
Advise others on the design or use of technologies.,67.61,403253.21,37781179971.27,fragile,71.57,3.96,41
"Assess student capabilities, needs, or performance.",67.46,550216.05,36848283958.71,fragile,77.25,9.79,42
Plan events or programs.,67.44,80650.68,6788240510.82,fragile,68.64,1.20,43
Test performance of computer or information systems.,67.40,222003.11,21147660539.83,fragile,82.76,15.36,44
"Explain regulations, policies, or procedures.",67.28,691968.53,48406648046.30,fragile,74.11,6.83,45
Monitor operation of computer or information technologies.,67.21,284223.29,28508837590.29,fragile,83.04,15.83,46
Coach others.,67.15,54157.97,3218848893.03,fragile,67.15,0.00,47
"Research organizational behavior, processes, or performance.",66.69,91730.70,7562341691.89,fragile,69.56,2.87,48
Provide information or assistance to the public.,66.50,185329.17,13089833805.24,fragile,69.92,3.42,49
Develop operational or technical procedures or standards.,66.44,562372.17,57372573536.56,fragile,70.95,4.51,50
Identify business or organizational opportunities.,66.33,290513.57,23776764866.11,fragile,75.58,9.25,51
Develop scientific or mathematical theories or models.,66.02,26223.70,2782256199.60,fragile,72.34,6.32,52
Process digital or online data.,65.96,584943.88,38828671769.29,moderate,86.60,20.64,53
"Document technical designs, procedures, or activities.",65.68,140820.17,14168948079.18,moderate,72.81,7.13,54
Assess characteristics or impacts of regulations or policies.,65.61,61310.65,5332506616.80,moderate,67.06,1.45,55
Determine values or prices of goods or services.,65.47,1510441.45,72130676043.97,moderate,76.00,10.53,56
Analyze biological or chemical substances or related data.,65.14,135082.84,11850559186.29,moderate,66.99,1.85,57
Calculate financial data.,64.87,444545.79,26273592097.84,moderate,75.52,10.65,58
Develop technical specifications for products or operations.,64.53,123087.33,12129191219.51,moderate,69.50,4.96,59
"Monitor external affairs, trends, or events.",64.13,233176.82,18736966674.14,moderate,79.86,15.73,60
Analyze performance of systems or equipment.,63.78,91203.73,7411013142.75,moderate,67.28,3.50,61
"Provide general assistance to others, such as customers, patrons, or motorists.",63.49,1656812.53,65394982258.42,moderate,66.01,2.52,62
Research issues related to earth sciences.,63.38,6674.89,569409485.85,moderate,66.66,3.28,63
Explain medical information to patients or family members.,63.35,413953.41,36559253349.97,moderate,63.35,0.00,64
Analyze health or medical data.,63.08,513586.84,56118332429.85,moderate,65.63,2.55,65
Operate office equipment.,63.06,594103.63,26790153375.45,moderate,72.53,9.47,66
"Assist scientists, scholars, or technical specialists with projects or research.",62.96,45540.67,2739638653.65,moderate,62.96,0.00,67
Execute financial transactions.,62.95,2732000.37,110534553123.46,moderate,77.78,14.83,68
Communicate with others about specifications or project details.,62.87,305498.25,28126910814.25,moderate,63.00,0.13,69
Develop recipes or menus.,62.86,131125.85,5365917443.15,moderate,63.43,0.57,70
Advise patients or clients on medical issues.,62.86,186152.92,20437513756.42,moderate,63.11,0.25,71
Determine operational methods or procedures.,62.85,253199.87,18392869040.87,moderate,63.28,0.42,72
Communicate with others about business strategies.,62.48,292638.45,24801208045.84,moderate,63.44,0.96,73
"Maintain electronic, computer, or other technical equipment.",61.98,223893.58,18869684346.92,moderate,63.88,1.90,74
Examine materials or documentation for accuracy or compliance.,61.96,519782.25,32397898491.63,moderate,67.75,5.79,75
Read documents or materials to inform work processes.,61.94,1334199.39,75919056976.78,moderate,63.10,1.16,76
"Evaluate the characteristics, usefulness, or performance of products or technologies.",61.35,186333.71,19969035537.56,moderate,66.36,5.01,77
Arrange displays or decorations.,61.34,655749.94,26473650434.32,moderate,61.34,0.00,78
"Develop models of systems, processes, or products.",61.32,56016.54,6454503064.55,moderate,70.91,9.59,79
Create visual designs or displays.,61.16,515938.45,39016083279.76,moderate,75.39,14.24,80
Advise others on business or operational matters.,61.01,690088.00,63637432451.95,moderate,61.79,0.78,81
Diagnose system or equipment problems.,60.03,98646.52,6123351446.88,moderate,60.71,0.68,82
"Investigate individuals' background, behavior, or activities.",59.90,36567.26,2054126890.55,moderate,69.86,9.97,83
Create decorative objects or parts of objects.,59.74,15918.96,719232802.25,moderate,59.74,0.00,84
Develop professional relationships or networks.,59.56,139140.71,12150553554.34,moderate,62.84,3.28,85
Set up equipment.,59.54,173536.05,8155397196.55,moderate,59.54,0.00,86
Prepare foods or beverages.,59.49,2118204.31,71841818809.17,moderate,59.49,0.00,87
"Evaluate designs, specifications, or other technical data.",59.23,183685.40,19627403595.68,moderate,61.27,2.04,88
Research healthcare issues.,59.13,38560.98,4113185981.32,moderate,59.13,0.00,89
Gather data about operational or development activities.,58.82,286283.54,27028508544.96,moderate,58.82,0.00,90
Develop business or marketing plans.,58.58,386288.31,42876557156.29,moderate,72.22,13.64,91
Teach academic or vocational subjects.,58.57,659082.93,42549060653.29,moderate,61.06,2.49,92
"Distribute materials, supplies, or resources.",57.85,452009.18,21088369302.59,moderate,59.28,1.43,93
Purchase goods or services.,57.82,1022142.87,60048547502.18,moderate,63.20,5.38,94
Communicate with others about operational plans or activities.,57.75,1899327.67,114149519570.61,moderate,60.59,2.84,95
Teach life skills.,57.71,299792.32,12699877249.37,moderate,57.75,0.04,96
Schedule appointments.,57.54,606806.79,26860244751.82,moderate,95.56,38.02,97
Test performance of equipment or systems.,57.37,458321.73,29169622929.91,moderate,57.59,0.23,98
Monitor individual behavior or performance.,57.29,872944.90,53385141320.17,moderate,58.02,0.73,99
Confer with clients to determine needs or order specifications.,57.20,97293.07,6298138724.98,moderate,57.33,0.13,100
Issue documentation.,56.93,66106.36,3117981052.60,moderate,71.62,14.69,101
Coordinate with others to resolve problems.,56.73,313760.31,24492568605.78,moderate,57.43,0.70,102
Investigate criminal or legal matters.,56.27,262266.59,19733701685.89,moderate,58.22,1.95,103
Adjust equipment to ensure adequate performance.,56.27,533574.61,29222499635.35,moderate,56.98,0.71,104
Prepare mixtures or solutions.,56.19,510337.37,22370910575.48,moderate,56.58,0.39,105
Operate communications equipment or systems.,56.16,158211.72,8429807730.37,moderate,67.49,11.34,106
Select materials or equipment for operations or projects.,56.05,360627.09,21317499139.71,moderate,57.15,1.10,107
Assist others to access additional services or resources.,55.90,522414.21,28823843425.89,moderate,56.94,1.04,108
Investigate incidents or accidents.,55.57,20555.78,1831509602.05,moderate,55.57,0.00,109
Maintain facilities or equipment.,55.23,173392.17,8657259764.51,moderate,55.23,0.00,110
Connect components or supply lines to equipment or tools.,55.16,206861.16,11683641330.86,moderate,55.29,0.13,111
Advise others on legal or regulatory matters.,55.14,168199.31,21809328765.46,moderate,55.14,0.00,112
Design databases.,55.00,51440.68,5441216908.17,moderate,89.34,34.34,113
