category,pct_tasks_affected,workers_affected,wages_affected,tier,ceiling_pct,gap_pp,rank
Record information about environmental conditions.,14.43,164.20,8600565.15,robust,72.26,57.84,229
Maintain operational records.,21.23,1231274.90,78229490621.61,robust,72.96,51.73,201
Prepare schedules for services or facilities.,31.22,83543.87,3924694026.94,robust,82.12,50.91,169
Assign work to others.,27.81,392233.59,22729678310.41,robust,75.29,47.48,179
Maintain sales or financial records.,28.09,689913.97,29696354893.39,robust,75.17,47.08,177
Test sites or materials for environmental hazards.,0.07,41.21,2972219.27,robust,46.16,46.09,321
Remove workpieces from production equipment.,1.66,1323.79,60873056.34,robust,47.10,45.44,312
Record images with photographic or audiovisual equipment.,21.05,2417.93,135189273.80,robust,64.26,43.21,202
Schedule operational activities.,26.07,165176.92,9837519898.51,robust,66.93,40.86,183
Analyze environmental or geospatial data.,16.58,7733.85,700351561.89,robust,56.57,39.99,220
Collect fares or payments.,14.06,406152.32,17535381248.95,robust,54.03,39.96,233
Operate audiovisual or related equipment.,26.61,219107.53,8726312859.45,robust,65.61,39.00,181
Sell products or services.,20.26,210647.78,10783355697.14,robust,52.02,31.76,206
Record information about legal matters.,26.54,50033.08,4359046197.37,robust,57.81,31.27,182
"Replenish inventories of materials, equipment, or products.",15.89,123904.89,8032535466.55,robust,47.15,31.26,223
Notify others of emergencies or problems.,8.80,144003.64,9273258530.43,robust,39.72,30.93,261
Process shipments or mail.,18.18,149604.88,7884941793.98,robust,48.90,30.72,215
Mark materials or objects for identification.,10.63,122401.21,4899493778.01,robust,41.03,30.41,250
Prepare reports of operational or procedural activities.,22.49,286046.08,22508056341.85,robust,52.63,30.14,196
Monitor equipment operation.,7.18,173422.06,8026552467.77,robust,35.55,28.37,274
Monitor resources or inventories.,20.80,164862.78,10404060772.76,robust,47.52,26.72,204
Direct scientific or technical activities.,21.89,84571.49,9001606990.66,robust,48.07,26.18,198
Coordinate regulatory compliance activities.,14.07,15770.92,1690952211.56,robust,39.25,25.18,232
Design industrial systems or equipment.,16.00,22519.15,2358628241.91,robust,40.21,24.21,222
Monitor operations to ensure adequate performance.,12.22,110147.40,8892218758.44,robust,35.54,23.32,242
Evaluate personnel capabilities or performance.,25.97,136789.26,15794394921.58,robust,49.18,23.20,184
"Prepare financial documents, reports, or budgets.",30.22,202839.70,17918869618.48,robust,53.10,22.89,173
Manage human resources activities.,30.74,266980.09,22001500040.56,robust,52.82,22.08,171
Evaluate project feasibility.,30.66,30942.43,5184833603.62,robust,52.71,22.05,172
Draft legislation or regulations.,21.43,580.25,26001039.71,robust,43.42,21.99,199
Reconcile financial data.,12.16,221544.69,9484373758.99,robust,34.08,21.92,243
Negotiate contracts or agreements.,30.13,181633.88,13857322914.95,robust,48.53,18.41,174
Perform human resources activities.,25.79,50772.56,3835373092.97,robust,43.93,18.15,185
"Evaluate condition of financial assets, property, or other resources.",26.80,82212.23,6962023874.28,robust,44.44,17.65,180
Investigate the environmental impact of industrial or development activities.,18.25,19196.56,1670692771.05,robust,33.97,15.72,214
Sort materials or products.,23.87,156435.62,7681286633.21,robust,36.66,12.80,192
Coordinate artistic or entertainment activities.,24.36,37202.63,2142737427.76,robust,35.71,11.35,190
Evaluate patient or client condition or treatment options.,25.34,190537.68,13675667217.76,robust,35.31,9.96,186
Estimate project development or operational costs.,25.20,73345.21,5567395272.52,robust,33.21,8.01,187
Collect information about patients or clients.,29.11,138322.11,11234877726.86,robust,36.79,7.69,175
Present arts or entertainment performances.,28.02,31460.45,2484682519.36,robust,35.67,7.65,178
Direct construction or extraction activities.,28.91,342192.29,31700919090.86,robust,36.06,7.16,176
