category,pct_tasks_affected,workers_affected,tier
Documenting/Recording Information,37.30,5908891.11,moderate
Handling and Moving Objects,18.06,4683901.26,robust
Getting Information,55.23,3955264.60,moderate
Performing Administrative Activities,58.72,3847931.52,moderate
Making Decisions and Solving Problems,52.80,3598231.51,moderate
Communicating with People Outside the Organization,69.59,3536571.17,fragile
Thinking Creatively,47.98,3495589.63,moderate
Providing Consultation and Advice to Others,63.01,3445820.61,moderate
"Communicating with Supervisors, Peers, or Subordinates",38.16,3429181.05,moderate
"Guiding, Directing, and Motivating Subordinates",20.71,3122815.44,robust
Assisting and Caring for Others,23.45,2950247.95,robust
Training and Teaching Others,52.38,2891189.12,moderate
Analyzing Data or Information,58.05,2777344.08,moderate
"Monitoring Processes, Materials, or Surroundings",21.09,2733415.36,robust
Interpreting the Meaning of Information for Others,70.00,2636242.86,fragile
Performing for or Working Directly with the Public,60.97,2260116.92,moderate
Monitoring and Controlling Resources,29.02,2105746.69,robust
Performing General Physical Activities,12.22,2041983.24,robust
Processing Information,47.25,1930140.27,moderate
Working with Computers,69.32,1914502.21,fragile
"Judging the Qualities of Objects, Services, or People",37.37,1584433.12,moderate
"Inspecting Equipment, Structures, or Materials",20.91,1536887.89,robust
"Estimating the Quantifiable Characteristics of Products, Events, or Information",48.23,1349443.03,moderate
Developing Objectives and Strategies,54.75,1291764.79,moderate
Controlling Machines and Processes,12.74,1109826.16,robust
Updating and Using Relevant Knowledge,72.04,1039293.44,fragile
Selling or Influencing Others,44.64,964738.73,moderate
Scheduling Work and Activities,44.90,855527.57,moderate
Evaluating Information to Determine Compliance with Standards,37.33,709704.76,moderate
Repairing and Maintaining Mechanical Equipment,13.49,650618.35,robust
"Organizing, Planning, and Prioritizing Work",56.21,431135.85,moderate
"Identifying Objects, Actions, and Events",25.15,412914.78,robust
Staffing Organizational Units,36.09,406752.75,moderate
Coaching and Developing Others,51.67,306797.33,moderate
Resolving Conflicts and Negotiating with Others,25.40,250279.38,robust
Establishing and Maintaining Interpersonal Relationships,59.56,139140.71,moderate
"Operating Vehicles, Mechanized Devices, or Equipment",1.41,20272.44,robust
