category,pct_tasks_affected,workers_affected
Maintain operational records.,21.23,1231274.90
"Direct organizational operations, activities, or procedures.",20.66,1151934.75
Maintain sales or financial records.,28.09,689913.97
Assist individuals with special needs.,7.54,548859.86
Provide food or beverage services.,18.79,521340.58
Supervise personnel activities.,18.70,496204.52
Collect fares or payments.,14.06,406152.32
Assign work to others.,27.81,392233.59
Direct construction or extraction activities.,28.91,342192.29
Monitor health conditions of humans or animals.,19.06,302609.46
