category,pct_tasks_affected,workers_affected,wages_affected
"Direct organizational operations, activities, or procedures.",20.66,1151934.75,105089164974.34
Assist individuals with special needs.,7.54,548859.86,19818197882.82
Provide food or beverage services.,18.79,521340.58,16691696293.13
Supervise personnel activities.,18.70,496204.52,34276831087.08
Monitor health conditions of humans or animals.,19.06,302609.46,25067100831.78
"Inspect commercial, industrial, or production systems or equipment.",10.98,243537.31,13491668107.78
Monitor operations to ensure compliance with regulations or standards.,22.81,239267.91,17390094454.76
Stock supplies or products.,12.73,221149.49,10881654078.78
"Clean tools, equipment, facilities, or work areas.",3.35,183991.80,7762690283.80
"Examine financial activities, operations, or systems.",16.99,183139.06,10337516436.04
"Monitor safety or security of work areas, facilities, or properties.",13.27,174137.05,9351964371.03
Confer with healthcare or other professionals about patient care.,16.95,157451.00,12254467556.36
Assist healthcare practitioners during medical procedures.,11.02,135026.81,6954650181.58
Position materials or components for assembly.,9.40,130492.07,6903676724.66
Repair electrical or electronic equipment.,22.50,123591.75,8098179994.77
Inspect completed work or finished products.,11.26,119025.48,6763214625.11
Prescribe medical treatments or devices.,13.25,111008.39,8758040558.02
Install commercial or production equipment.,14.82,108291.13,7466956912.09
Escort others.,21.35,100478.95,3552550984.16
Diagnose health conditions or disorders.,15.08,88410.00,9450274500.30
"Move materials, equipment, or supplies.",6.22,86194.90,3064596177.38
Maintain tools or equipment.,6.36,83034.46,4481593179.57
Repair tools or equipment.,12.73,74565.26,4220116116.74
Package objects.,4.92,74320.64,2344979123.04
Transport patients or clients.,13.40,63809.88,2820396648.97
Test characteristics of materials or products.,24.22,63556.15,4007565624.93
Prepare medical equipment or work areas for use.,17.12,62791.68,3566585827.14
Operate medical equipment.,16.85,57993.71,6535306118.32
Administer basic health care or medical treatments.,8.52,56906.64,5114355890.35
Inspect facilities or equipment.,9.28,54117.36,3952969229.74
Operate industrial processing or production equipment.,8.01,48836.55,2552286915.45
Perform general construction or extraction activities.,4.20,47411.01,2284940309.21
Examine people or animals to assess health conditions or physical characteristics.,15.16,46555.75,6329755047.41
Clean medical equipment or facilities.,6.53,44503.67,2115987478.04
Resolve personnel or operational problems.,16.16,41544.72,3593526317.30
Intervene in crisis situations or emergencies.,10.23,40595.73,1737462309.60
Assess characteristics of land or property.,5.53,40587.24,1984687684.85
Develop sustainable organizational or business policies or practices.,20.98,39262.07,4085825847.17
Prepare specimens or materials for testing.,22.51,37366.94,2340309472.17
"Treat injuries, illnesses, or diseases.",10.27,36445.01,5314819376.84
Position workpieces or materials on equipment.,7.66,29695.14,1390362483.66
Cut materials.,7.48,29240.26,1486847626.16
Present information in legal proceedings.,14.16,27519.94,4134830349.86
Mediate disputes.,18.73,27100.78,1561529330.97
Inspect vehicles.,6.05,26095.61,1507512327.14
Apply materials to fill gaps or imperfections.,10.72,25032.51,1230368757.53
Administer therapeutic treatments.,6.66,25010.65,1813256433.31
Collect environmental or biological samples.,14.86,24171.35,1406210545.49
Apply hygienic or cosmetic agents to skin or hair.,10.88,23276.62,894858002.46
Repair vehicle components.,3.55,21987.43,1169915163.67
Develop public or community health programs.,31.16,21807.60,2159316903.70
Process animal carcasses.,24.51,21493.01,839949824.79
"Load products, materials, or equipment for transportation or further processing.",5.52,20769.10,890347580.35
Administer diagnostic tests to assess patient health.,7.85,20750.17,1498884628.27
Operate transportation equipment or vehicles.,1.41,20272.44,1486951738.74
Assemble equipment or components.,8.07,20191.18,1230020087.96
"Join parts using soldering, welding, or brazing techniques.",5.59,18443.13,1152044460.93
Install energy or heating equipment.,7.61,18417.30,1041193000.16
Groom or style hair.,12.52,17113.03,603234296.32
Maintain vehicles in working condition.,6.01,16650.42,770952916.24
Fabricate devices or components.,6.47,15046.45,731519801.19
Perform court-related or other legal administrative activities.,11.97,14877.13,907849879.36
Apply protective solutions or coatings.,3.85,13871.65,580253870.01
Monitor environmental conditions.,9.94,12136.99,415551935.37
Operate agricultural or forestry equipment.,1.73,12072.18,481628361.77
Develop systems or practices to mitigate or resolve environmental problems.,8.21,11763.01,1228889717.76
Prepare industrial materials for processing or use.,4.68,11279.26,591308884.41
Maintain medical equipment or instruments.,4.03,11039.93,863999529.15
Operate laboratory or field equipment.,18.63,9581.72,703892138.37
Evaluate production inputs or outputs.,4.87,9234.25,567637303.89
"Discuss legal matters with clients, disputants, or legal professionals or staff.",25.09,8589.19,1026569770.30
Direct vehicle traffic.,4.25,8438.11,318334889.29
Direct legal activities.,8.40,6968.98,435853855.74
"Clean workpieces, finished products, or other objects.",3.28,6680.78,322252513.69
Collect samples of products or materials.,13.67,6479.37,318685811.01
"Develop safety standards, policies, or procedures.",7.76,5702.87,727599112.29
Operate pumping systems or equipment.,6.63,4718.62,215171650.25
Assess compliance with environmental standards or regulations.,19.85,4001.41,287734268.19
Build structures.,1.47,3877.39,208531873.12
Follow standard healthcare safety procedures to protect patient and staff members.,13.12,3784.62,283424451.94
Install plumbing or piping equipment or systems.,7.06,3678.85,156476556.06
Fabricate medical devices.,5.26,3543.65,540957716.99
Fit assistive devices to patients or clients.,14.15,3220.79,149960142.31
Position tools or equipment.,6.81,3184.97,187063133.21
Monitor traffic conditions.,3.80,2858.02,99973702.25
Develop health assessment methods or programs.,2.63,2821.13,177731086.73
Adjust medical equipment to ensure adequate performance.,10.59,2792.93,459594822.16
Operate cutting or grinding equipment.,3.05,2701.74,114086794.15
Develop plans for managing or preserving natural resources.,4.14,2652.29,335592424.57
Drill holes in earth or materials.,3.73,2649.09,105362240.79
Operate energy production or distribution equipment.,6.70,2482.30,230407628.75
Signal others to coordinate work activities.,1.79,2126.13,92812756.18
Assemble products or work aids.,0.87,2066.28,86858636.45
Develop contingency or emergency response plans.,9.15,2040.48,174430119.84
Evaluate green technologies or processes.,9.86,1677.13,162152628.82
Make legal decisions.,22.26,1457.11,150823384.39
Operate construction or excavation equipment.,0.91,1388.23,68217586.56
Direct security or safety activities or operations.,7.43,1280.88,93591802.39
Research agricultural processes or practices.,19.96,1248.55,100353460.59
Disassemble equipment.,0.88,1102.42,72941935.38
Train animals.,9.27,1055.84,40913788.37
Perform agricultural activities.,2.70,964.15,34825202.46
Process forensic or legal evidence.,10.02,809.20,75725032.50
Repair workpieces or products.,1.74,665.38,33061284.43
Sew garments or materials.,1.75,536.52,21922080.38
Cut trees or other vegetation.,5.25,510.47,23785093.77
Operate lifting or moving equipment.,0.87,476.14,25929393.48
Manage agricultural or forestry operations.,2.65,457.67,25366631.43
Take physical measurements of patients or clients.,14.50,160.86,5535276.50
Dispose of waste or debris.,0.14,157.14,7721665.23
Administer emergency medical treatment.,1.18,112.63,7321831.28
Tend watercraft.,0.00,0.00,0.00
Manage control systems or activities.,0.00,0.00,0.00
Hunt animals.,0.00,0.00,0.00
Engrave objects.,0.00,0.00,0.00
Embalm corpses.,0.00,0.00,0.00
Protect people or property from threats such as fires or flooding.,0.00,0.00,0.00
Climb equipment or structures.,0.00,0.00,0.00
Shape materials to create products.,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,0.00,0.00,0.00
Supervise activities in correctional facilities.,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,0.00,0.00,0.00
