iwa,first_pct,last_pct,delta_pp,grew
Evaluate scholarly work.,11.26,87.96,76.70,True
"Assess student capabilities, needs, or performance.",13.88,67.46,53.58,True
"Set up classrooms, facilities, educational materials, or equipment.",0.00,49.74,49.74,True
Implement security measures for computer or information systems.,23.06,72.78,49.72,True
Monitor financial data or activities.,3.58,52.22,48.64,True
Develop business or marketing plans.,9.97,58.58,48.61,True
"Research laws, precedents, or other legal data.",49.02,92.52,43.50,True
Prepare health or medical documents.,5.47,47.63,42.16,True
Develop patient or client care or treatment plans.,6.37,48.22,41.84,True
Alter audio or video recordings.,9.30,50.94,41.64,True
Design databases.,14.08,55.00,40.92,True
Develop financial or business plans.,6.07,46.27,40.20,True
Manage budgets or finances.,4.61,42.79,38.18,True
Schedule appointments.,20.32,57.54,37.22,True
Authorize business activities or transactions.,5.22,42.20,36.98,True
Collaborate in the development of educational programs.,1.53,38.22,36.68,True
Collect data about consumer needs or opinions.,17.71,54.01,36.29,True
Serve on organizational committees.,2.95,39.24,36.29,True
Develop organizational or program goals or objectives.,8.35,44.15,35.81,True
Research historical or social issues.,53.40,89.14,35.74,True
Prepare proposals or grant applications.,17.13,52.55,35.41,True
Perform recruiting or hiring activities.,5.78,40.90,35.12,True
Develop research plans or methodologies.,11.26,43.62,32.36,True
Develop marketing or promotional materials.,53.42,85.16,31.74,True
"Coordinate group, community, or public activities.",3.78,35.26,31.49,True
Analyze data to improve operations.,9.74,40.74,31.00,True
Prepare legal or regulatory documents.,11.02,41.77,30.76,True
"Interpret language, cultural, or religious information for others.",53.38,82.80,29.42,True
"Develop educational programs, plans, or procedures.",8.08,36.69,28.61,True
Analyze scientific or applied data using mathematical principles.,51.27,79.42,28.15,True
Maintain health or medical records.,6.13,33.32,27.18,True
Operate computer systems or computerized equipment.,49.65,76.50,26.85,True
Consult legal materials or public records.,47.29,73.34,26.05,True
Record information about legal matters.,1.03,26.54,25.51,True
Analyze market or industry conditions.,51.34,76.51,25.17,True
"Prepare financial documents, reports, or budgets.",5.23,30.22,24.99,True
Assign work to others.,3.12,27.81,24.69,True
Coach others.,42.58,67.15,24.57,True
Write material for artistic or commercial purposes.,56.76,81.32,24.55,True
Collect information about patients or clients.,5.24,29.11,23.86,True
"Discuss legal matters with clients, disputants, or legal professionals or staff.",1.40,25.09,23.69,True
Negotiate contracts or agreements.,6.50,30.13,23.62,True
Develop public or community health programs.,7.54,31.16,23.62,True
Advise others on financial matters.,50.22,73.44,23.22,True
Direct construction or extraction activities.,6.34,28.91,22.56,True
Advise others on products or services.,53.91,75.82,21.91,True
Prepare informational or instructional materials.,54.80,76.56,21.76,True
Draft legislation or regulations.,0.00,21.43,21.43,True
Design structures or facilities.,14.19,35.46,21.26,True
Analyze business or financial risks.,21.84,43.05,21.21,True
Manage human resources activities.,9.55,30.74,21.19,True
Test characteristics of materials or products.,3.06,24.22,21.16,True
Explain technical details of products or services.,60.87,81.90,21.02,True
Design electrical or electronic systems or equipment.,16.18,36.96,20.78,True
"Evaluate programs, practices, or processes.",53.36,73.85,20.48,True
Design computer or information systems or applications.,53.40,73.78,20.38,True
"Promote products, services, or programs.",52.39,72.71,20.32,True
Edit written materials or documents.,57.66,77.87,20.20,True
Study details of artistic productions.,53.38,73.37,19.99,True
Research agricultural processes or practices.,0.00,19.96,19.96,True
Present arts or entertainment performances.,8.09,28.02,19.93,True
Coordinate artistic or entertainment activities.,4.76,24.36,19.60,True
"Develop organizational policies, systems, or processes.",17.09,36.62,19.52,True
Evaluate patient or client condition or treatment options.,5.86,25.34,19.48,True
"Coordinate activities with clients, agencies, or organizations.",14.44,33.80,19.36,True
"Compile records, documentation, or other data.",53.39,72.51,19.12,True
Make legal decisions.,3.20,22.26,19.06,True
Prepare specimens or materials for testing.,3.72,22.51,18.79,True
Research biological or ecological phenomena.,53.38,71.94,18.56,True
Prepare reports of operational or procedural activities.,4.02,22.49,18.47,True
Advise others on educational or vocational matters.,50.79,69.04,18.25,True
Schedule operational activities.,7.98,26.07,18.09,True
Perform administrative or clerical activities.,51.59,69.62,18.04,True
"Set up computer systems, networks, or other information systems.",53.55,71.55,18.00,True
Monitor operation of computer or information technologies.,49.44,67.21,17.77,True
Analyze business or financial data.,51.58,69.26,17.68,True
Explain financial information.,56.85,74.51,17.67,True
Test performance of computer or information systems.,49.74,67.40,17.65,True
Maintain sales or financial records.,10.55,28.09,17.54,True
Advise patients or clients on medical issues.,45.56,62.86,17.30,True
"Prepare documentation for contracts, applications, or permits.",54.39,71.62,17.23,True
Maintain current knowledge in area of expertise.,54.81,72.04,17.23,True
Maintain operational records.,4.04,21.23,17.18,True
Identify business or organizational opportunities.,49.44,66.33,16.89,True
"Direct organizational operations, activities, or procedures.",3.86,20.66,16.80,True
Operate audiovisual or related equipment.,9.92,26.61,16.68,True
Develop scientific or mathematical theories or models.,49.50,66.02,16.52,True
Prepare schedules for services or facilities.,14.89,31.22,16.33,True
Advise others on the design or use of technologies.,51.54,67.61,16.07,True
Resolve computer problems.,55.70,71.61,15.91,True
Present research or technical information.,54.17,70.06,15.89,True
Process digital or online data.,50.08,65.96,15.88,True
"Assist scientists, scholars, or technical specialists with projects or research.",47.26,62.96,15.70,True
Respond to customer problems or inquiries.,59.58,75.18,15.60,True
"Evaluate condition of financial assets, property, or other resources.",11.20,26.80,15.59,True
"Research organizational behavior, processes, or performance.",51.30,66.69,15.39,True
Analyze biological or chemical substances or related data.,49.78,65.14,15.36,True
Direct scientific or technical activities.,6.55,21.89,15.34,True
Record images with photographic or audiovisual equipment.,5.87,21.05,15.17,True
Create decorative objects or parts of objects.,44.99,59.74,14.74,True
Assist individuals with paperwork.,53.38,67.98,14.60,True
Assess characteristics or impacts of regulations or policies.,51.17,65.61,14.43,True
Monitor operations to ensure compliance with regulations or standards.,8.38,22.81,14.43,True
Record information about environmental conditions.,0.00,14.43,14.43,True
Monitor health conditions of humans or animals.,4.63,19.06,14.42,True
"Document technical designs, procedures, or activities.",51.31,65.68,14.37,True
"Develop news, entertainment, or artistic content.",53.41,67.64,14.23,True
Evaluate personnel capabilities or performance.,11.81,25.97,14.16,True
Examine people or animals to assess health conditions or physical characteristics.,1.02,15.16,14.14,True
Confer with clients to determine needs or order specifications.,43.07,57.20,14.14,True
Plan events or programs.,53.38,67.44,14.06,True
Create visual designs or displays.,47.37,61.16,13.79,True
Research technology designs or applications.,56.61,70.03,13.42,True
Obtain information about goods or services.,64.44,77.84,13.40,True
Transport patients or clients.,0.00,13.40,13.40,True
Resolve personnel or operational problems.,2.85,16.16,13.31,True
"Provide information to guests, clients, or customers.",58.53,71.73,13.20,True
Develop professional relationships or networks.,46.39,59.56,13.16,True
Program computer systems or production equipment.,57.61,70.69,13.08,True
"Monitor external affairs, trends, or events.",51.30,64.13,12.83,True
Develop operational or technical procedures or standards.,53.63,66.44,12.81,True
Teach life skills.,44.98,57.71,12.73,True
Prescribe medical treatments or devices.,0.53,13.25,12.72,True
Gather information from physical or electronic sources.,58.16,70.70,12.54,True
Groom or style hair.,0.00,12.52,12.52,True
Analyze environmental or geospatial data.,4.16,16.58,12.42,True
Examine materials or documentation for accuracy or compliance.,49.60,61.96,12.36,True
Determine values or prices of goods or services.,53.26,65.47,12.21,True
Communicate with others about business strategies.,50.28,62.48,12.20,True
Coordinate regulatory compliance activities.,2.19,14.07,11.88,True
Supervise personnel activities.,6.88,18.70,11.82,True
Operate office equipment.,51.30,63.06,11.76,True
Analyze health or medical data.,51.32,63.08,11.76,True
Arrange displays or decorations.,49.63,61.34,11.71,True
Sell products or services.,8.59,20.26,11.67,True
Calculate financial data.,53.38,64.87,11.49,True
Monitor resources or inventories.,9.35,20.80,11.46,True
"Provide general assistance to others, such as customers, patrons, or motorists.",52.05,63.49,11.44,True
Communicate with others about specifications or project details.,51.50,62.87,11.37,True
Implement procedures or processes.,60.43,71.76,11.33,True
Advise others on business or operational matters.,49.74,61.01,11.27,True
Collect environmental or biological samples.,3.64,14.86,11.22,True
Teach academic or vocational subjects.,47.51,58.57,11.06,True
Apply hygienic or cosmetic agents to skin or hair.,0.00,10.88,10.88,True
Perform human resources activities.,15.10,25.79,10.69,True
Operate medical equipment.,6.27,16.85,10.58,True
Analyze performance of systems or equipment.,53.31,63.78,10.47,True
"Develop models of systems, processes, or products.",51.05,61.32,10.27,True
Monitor individual behavior or performance.,47.17,57.29,10.12,True
Evaluate project feasibility.,20.56,30.66,10.11,True
Explain medical information to patients or family members.,53.32,63.35,10.03,True
Confer with healthcare or other professionals about patient care.,6.92,16.95,10.03,True
Research issues related to earth sciences.,53.38,63.38,10.00,True
Estimate project development or operational costs.,15.32,25.20,9.88,True
Evaluate green technologies or processes.,0.00,9.86,9.86,True
Execute financial transactions.,53.14,62.95,9.81,True
Provide support or encouragement to others.,41.35,51.11,9.76,True
Collect samples of products or materials.,3.92,13.67,9.75,True
Develop technical specifications for products or operations.,54.92,64.53,9.61,True
Interview people to obtain information.,40.88,50.46,9.58,True
Diagnose health conditions or disorders.,5.65,15.08,9.43,True
"Explain regulations, policies, or procedures.",57.86,67.28,9.42,True
Train animals.,0.00,9.27,9.27,True
Monitor operations to ensure adequate performance.,3.40,12.22,8.82,True
Read documents or materials to inform work processes.,53.38,61.94,8.56,True
Operate laboratory or field equipment.,10.20,18.63,8.43,True
"Treat injuries, illnesses, or diseases.",1.91,10.27,8.36,True
Provide information or assistance to the public.,58.18,66.50,8.31,True
Design industrial systems or equipment.,7.77,16.00,8.24,True
Develop systems or practices to mitigate or resolve environmental problems.,0.00,8.21,8.21,True
Stock supplies or products.,4.61,12.73,8.12,True
Train others on operational or work procedures.,45.27,53.36,8.09,True
Communicate with others about operational plans or activities.,49.83,57.75,7.92,True
Order medical tests or procedures.,29.98,37.90,7.91,True
Investigate the environmental impact of industrial or development activities.,10.49,18.25,7.76,True
Create artistic designs or performances.,47.16,54.86,7.70,True
Assist others to access additional services or resources.,48.25,55.90,7.66,True
Adjust medical equipment to ensure adequate performance.,2.96,10.59,7.63,True
"Maintain electronic, computer, or other technical equipment.",54.35,61.98,7.62,True
Evaluate the quality or accuracy of data.,47.40,54.83,7.43,True
Repair electrical or electronic equipment.,15.09,22.50,7.41,True
"Distribute materials, supplies, or resources.",50.53,57.85,7.32,True
"Investigate individuals' background, behavior, or activities.",52.95,59.90,6.94,True
Process shipments or mail.,11.31,18.18,6.87,True
Coordinate with others to resolve problems.,49.89,56.73,6.84,True
Investigate criminal or legal matters.,49.44,56.27,6.83,True
Administer diagnostic tests to assess patient health.,1.07,7.85,6.77,True
Prepare medical equipment or work areas for use.,10.40,17.12,6.72,True
Sort materials or products.,17.24,23.87,6.63,True
Direct legal activities.,1.78,8.40,6.62,True
"Evaluate the characteristics, usefulness, or performance of products or technologies.",54.77,61.35,6.57,True
Mediate disputes.,12.24,18.73,6.49,True
Assist individuals with special needs.,1.07,7.54,6.47,True
Develop sustainable organizational or business policies or practices.,14.52,20.98,6.46,True
Administer basic health care or medical treatments.,2.20,8.52,6.32,True
"Examine financial activities, operations, or systems.",10.72,16.99,6.28,True
Determine operational methods or procedures.,56.67,62.85,6.18,True
"Develop safety standards, policies, or procedures.",1.66,7.76,6.10,True
Test performance of equipment or systems.,51.31,57.37,6.05,True
Develop recipes or menus.,56.84,62.86,6.02,True
"Evaluate designs, specifications, or other technical data.",53.23,59.23,5.99,True
Clean medical equipment or facilities.,0.77,6.53,5.76,True
Administer therapeutic treatments.,1.00,6.66,5.66,True
Advise others on workplace health or safety issues.,41.73,47.31,5.59,True
Operate energy production or distribution equipment.,1.13,6.70,5.57,True
Diagnose system or equipment problems.,54.51,60.03,5.51,True
Advise others on legal or regulatory matters.,49.92,55.14,5.21,True
Mark materials or objects for identification.,5.44,10.63,5.19,True
Assist healthcare practitioners during medical procedures.,5.94,11.02,5.08,True
Operate communications equipment or systems.,51.30,56.16,4.86,True
"Monitor safety or security of work areas, facilities, or properties.",8.55,13.27,4.72,True
Prepare foods or beverages.,54.83,59.49,4.66,True
Purchase goods or services.,53.18,57.82,4.64,True
Determine resource needs of projects or operations.,49.77,54.36,4.59,True
"Inspect commercial, industrial, or production systems or equipment.",6.47,10.98,4.51,True
Investigate incidents or accidents.,51.13,55.57,4.43,True
Apply decorative finishes.,47.27,51.61,4.34,True
Maintain safety or security.,42.62,46.96,4.34,True
Inspect facilities or equipment.,5.02,9.28,4.26,True
Train others to use equipment or products.,44.39,48.63,4.24,True
Research healthcare issues.,54.92,59.13,4.21,True
"Measure physical characteristics of materials, products, or equipment.",49.49,53.59,4.10,True
Inspect completed work or finished products.,7.28,11.26,3.97,True
Evaluate production inputs or outputs.,0.90,4.87,3.97,True
Gather data about operational or development activities.,54.92,58.82,3.90,True
Apply materials to fill gaps or imperfections.,7.34,10.72,3.39,True
"Replenish inventories of materials, equipment, or products.",12.53,15.89,3.36,True
Escort others.,18.01,21.35,3.34,True
Communicate environmental or sustainability information.,50.52,53.79,3.27,True
Maintain vehicles in working condition.,2.77,6.01,3.24,True
Issue documentation.,53.74,56.93,3.19,True
Counsel others about personal matters.,47.30,50.39,3.09,True
Inspect characteristics or conditions of materials or products.,51.30,54.36,3.06,True
Advise others on environmental sustainability or green practices.,45.23,48.23,3.01,True
Assess characteristics of land or property.,2.56,5.53,2.97,True
Reconcile financial data.,9.29,12.16,2.87,True
Maintain medical equipment or instruments.,1.17,4.03,2.87,True
Plan work activities.,51.54,54.18,2.64,True
Operate industrial processing or production equipment.,5.39,8.01,2.62,True
Train others on health or medical topics.,42.68,45.25,2.57,True
Collect fares or payments.,11.49,14.06,2.57,True
Select materials or equipment for operations or projects.,53.49,56.05,2.56,True
Design materials or devices.,49.44,51.90,2.46,True
"Perform athletic activities for fitness, competition, or artistic purposes.",47.47,49.81,2.33,True
Provide food or beverage services.,16.50,18.79,2.30,True
Prepare mixtures or solutions.,53.96,56.19,2.23,True
Monitor equipment operation.,5.05,7.18,2.13,True
Install commercial or production equipment.,12.70,14.82,2.12,True
Advise others on healthcare or wellness issues.,47.82,49.89,2.08,True
Develop contingency or emergency response plans.,7.08,9.15,2.07,True
"Move materials, equipment, or supplies.",4.29,6.22,1.93,True
"Assess living, work, or social needs or status of individuals or communities.",44.67,46.53,1.86,True
Sew garments or materials.,0.00,1.75,1.75,True
Assess compliance with environmental standards or regulations.,18.12,19.85,1.72,True
Position materials or components for assembly.,7.80,9.40,1.61,True
Set up equipment.,57.95,59.54,1.59,True
Adjust equipment to ensure adequate performance.,54.70,56.27,1.57,True
Inspect vehicles.,4.52,6.05,1.53,True
Perform general construction or extraction activities.,2.79,4.20,1.40,True
Repair tools or equipment.,11.34,12.73,1.40,True
Administer emergency medical treatment.,0.00,1.18,1.18,True
Apply protective solutions or coatings.,2.68,3.85,1.17,True
Package objects.,3.77,4.92,1.15,True
Investigate organizational or operational problems.,53.38,54.41,1.03,True
Prepare industrial materials for processing or use.,3.65,4.68,1.02,True
Notify others of emergencies or problems.,7.81,8.80,0.99,True
Maintain tools or equipment.,5.38,6.36,0.99,True
Manage agricultural or forestry operations.,1.76,2.65,0.89,True
Verify personal information.,48.75,49.64,0.89,True
Build structures.,0.70,1.47,0.77,True
Develop plans for managing or preserving natural resources.,3.41,4.14,0.73,True
Fabricate devices or components.,5.83,6.47,0.64,True
"Clean tools, equipment, facilities, or work areas.",2.76,3.35,0.59,True
Fabricate medical devices.,4.82,5.26,0.44,True
Maintain facilities or equipment.,54.80,55.23,0.43,True
Connect components or supply lines to equipment or tools.,54.87,55.16,0.30,True
Assemble equipment or components.,7.82,8.07,0.24,True
Monitor environmental conditions.,9.76,9.94,0.18,True
Teach safety procedures or standards to others.,41.33,41.50,0.18,True
Operate transportation equipment or vehicles.,1.26,1.41,0.15,True
Assemble products or work aids.,0.73,0.87,0.14,True
Test sites or materials for environmental hazards.,0.00,0.07,0.07,True
Obtain formal documentation or authorization.,54.92,54.98,0.06,True
Advocate for individual or community needs.,44.98,45.02,0.04,True
Perform agricultural activities.,2.70,2.70,0.00,False
Direct security or safety activities or operations.,7.43,7.43,0.00,False
Cut materials.,7.48,7.48,0.00,False
Present information in legal proceedings.,14.16,14.16,0.00,False
Position workpieces or materials on equipment.,7.66,7.66,0.00,False
Conduct amusement or gaming activities.,54.92,54.92,0.00,False
Repair vehicle components.,3.55,3.55,0.00,False
Process animal carcasses.,24.51,24.51,0.00,False
Intervene in crisis situations or emergencies.,10.23,10.23,0.00,False
Disassemble equipment.,0.88,0.88,0.00,False
Repair workpieces or products.,1.74,1.74,0.00,False
Process forensic or legal evidence.,10.02,10.02,0.00,False
Cut trees or other vegetation.,5.25,5.25,0.00,False
Operate lifting or moving equipment.,0.87,0.87,0.00,False
Take physical measurements of patients or clients.,14.50,14.50,0.00,False
Dispose of waste or debris.,0.14,0.14,0.00,False
Care for plants or animals.,54.50,54.50,0.00,False
"Load products, materials, or equipment for transportation or further processing.",5.52,5.52,0.00,False
Install plumbing or piping equipment or systems.,7.06,7.06,0.00,False
Follow standard healthcare safety procedures to protect patient and staff members.,13.12,13.12,0.00,False
"Clean workpieces, finished products, or other objects.",3.28,3.28,0.00,False
Operate agricultural or forestry equipment.,1.73,1.73,0.00,False
Direct vehicle traffic.,4.25,4.25,0.00,False
Perform court-related or other legal administrative activities.,11.97,11.97,0.00,False
Install energy or heating equipment.,7.61,7.61,0.00,False
"Join parts using soldering, welding, or brazing techniques.",5.59,5.59,0.00,False
Gather information for news stories.,53.38,53.38,0.00,False
Operate pumping systems or equipment.,6.63,6.63,0.00,False
Develop health assessment methods or programs.,2.63,2.63,0.00,False
Fit assistive devices to patients or clients.,14.15,14.15,0.00,False
Position tools or equipment.,6.81,6.81,0.00,False
Monitor traffic conditions.,3.80,3.80,0.00,False
Signal others to coordinate work activities.,1.79,1.79,0.00,False
Drill holes in earth or materials.,3.73,3.73,0.00,False
Operate cutting or grinding equipment.,3.05,3.05,0.00,False
Operate construction or excavation equipment.,0.91,0.91,0.00,False
Remove workpieces from production equipment.,1.66,1.66,0.00,False
Tend watercraft.,0.00,0.00,0.00,False
Manage control systems or activities.,0.00,0.00,0.00,False
Hunt animals.,0.00,0.00,0.00,False
Engrave objects.,0.00,0.00,0.00,False
Embalm corpses.,0.00,0.00,0.00,False
Protect people or property from threats such as fires or flooding.,0.00,0.00,0.00,False
Climb equipment or structures.,0.00,0.00,0.00,False
Shape materials to create products.,0.00,0.00,0.00,False
Set up protective structures or coverings near work areas.,0.00,0.00,0.00,False
Supervise activities in correctional facilities.,0.00,0.00,0.00,False
Smooth surfaces of objects or equipment.,0.00,0.00,0.00,False
