category,pct_tasks_affected,workers_affected,wages_affected
Deliver promotional presentations to current or prospective customers.,100.00,27748.93,1462352380.51
Contract real estate to clients.,100.00,10392.79,735799241.36
Analyze data to inform personnel decisions.,99.47,7211.27,1009882656.26
Conduct historical research.,96.14,1672.32,120846663.01
Review laws or regulations to maintain professional knowledge.,95.60,181456.54,6425920676.91
Design layouts for print publications.,95.47,55474.30,3827428023.11
Compile specialized bibliographies or lists of materials.,94.26,11334.82,986139702.36
Determine prices for menu items.,94.07,15478.15,627579629.30
Study product information to acquire professional knowledge.,93.48,121336.59,7979202754.18
Analyze market or customer related data.,93.43,52069.60,5391335124.76
Monitor the security of digital information.,93.27,58722.77,6811366022.27
Research methods to improve food products.,92.90,5086.33,423663406.87
Identify implications for cases from legal precedents or other legal information.,92.52,159654.86,22745494185.42
Create marketing materials.,92.09,51866.93,4133395308.15
Negotiate project specifications.,91.72,28935.76,3608116764.56
Analyze operational or research data.,91.44,71003.48,2988781142.75
Perform student enrollment or registration activities.,91.25,15680.46,1399889497.88
"Format digital documents, data, or images.",91.04,4981.39,248305908.88
Recommend products or services to customers.,90.71,427250.47,20625583073.68
Develop diagrams or flow charts of system operation.,90.53,17850.39,1746623115.08
Develop procedures for data entry or processing.,90.36,17763.75,1945122680.61
Provide customer service to clients or users.,90.27,87113.55,4740589381.39
"Write articles, books or other original materials in area of expertise.",89.93,63455.87,5502435825.16
Provide technical support for computer network issues.,89.82,45234.49,4592711318.98
Develop financial analysis methods.,89.65,5350.04,470886287.07
Prepare instruction manuals.,89.61,2956.99,280574744.02
Study scripts to determine project requirements.,89.48,11102.74,871112400.73
Identify strategic business investment opportunities.,89.33,47793.08,4184737327.69
Prepare contracts or other transaction documents.,88.46,17621.58,1508684529.49
Create technology-based learning materials.,88.11,262764.18,16365082453.92
Prepare written decisions for legal proceedings.,87.97,2760.00,360318848.42
Evaluate scholarly materials.,87.96,1838.99,143703164.65
Schedule appointments with prospective customers.,87.70,10721.33,575011167.51
Evaluate characteristics of archival or historical objects.,87.57,2529.55,145832990.99
