category,confirmed_pct,confirmed_workers,ceiling_pct,gap
Schedule appointments.,57.54,606806.79,95.56,38.02
"Research laws, precedents, or other legal data.",92.52,159654.86,92.52,0.00
Design databases.,55.00,51440.68,89.34,34.34
Research historical or social issues.,89.14,20542.06,89.14,0.00
Analyze scientific or applied data using mathematical principles.,79.42,141688.71,88.19,8.76
Evaluate scholarly work.,87.96,1838.99,87.96,0.00
Operate computer systems or computerized equipment.,76.50,479218.12,87.19,10.69
Process digital or online data.,65.96,584943.88,86.60,20.64
Implement security measures for computer or information systems.,72.78,140614.67,86.17,13.39
Develop marketing or promotional materials.,85.16,151198.62,86.03,0.87
Alter audio or video recordings.,50.94,11396.85,84.98,34.04
Write material for artistic or commercial purposes.,81.32,164113.76,84.43,3.11
Explain technical details of products or services.,81.90,1285081.45,83.94,2.04
Analyze market or industry conditions.,76.51,448502.86,83.52,7.01
Monitor operation of computer or information technologies.,67.21,284223.29,83.04,15.83
"Interpret language, cultural, or religious information for others.",82.80,40257.01,82.80,0.00
"Prepare documentation for contracts, applications, or permits.",71.62,1165173.71,82.76,11.14
Test performance of computer or information systems.,67.40,222003.11,82.76,15.36
"Set up computer systems, networks, or other information systems.",71.55,232115.89,82.28,10.74
Prepare schedules for services or facilities.,31.22,83543.87,82.12,50.91
Design computer or information systems or applications.,73.78,674387.56,82.01,8.22
Program computer systems or production equipment.,70.69,215700.05,81.42,10.73
Edit written materials or documents.,77.87,116306.22,81.21,3.34
"Provide information to guests, clients, or customers.",71.73,3339988.91,80.63,8.90
"Monitor external affairs, trends, or events.",64.13,233176.82,79.86,15.73
"Compile records, documentation, or other data.",72.51,613319.55,79.64,7.13
Prepare informational or instructional materials.,76.56,812826.09,79.02,2.46
Obtain information about goods or services.,77.84,28496.65,78.95,1.11
Gather information from physical or electronic sources.,70.70,420049.42,78.74,8.04
Resolve computer problems.,71.61,275190.91,78.61,7.00
Respond to customer problems or inquiries.,75.18,2201163.18,78.39,3.21
Explain financial information.,74.51,211037.14,77.94,3.43
Execute financial transactions.,62.95,2732000.37,77.78,14.83
Perform administrative or clerical activities.,69.62,994375.87,77.40,7.78
"Assess student capabilities, needs, or performance.",67.46,550216.05,77.25,9.79
Analyze business or financial data.,69.26,598006.64,77.07,7.81
Advise others on financial matters.,73.44,132704.28,76.36,2.91
"Promote products, services, or programs.",72.71,748554.40,76.20,3.49
Determine values or prices of goods or services.,65.47,1510441.45,76.00,10.53
Advise others on products or services.,75.82,1010722.35,75.94,0.13
Identify business or organizational opportunities.,66.33,290513.57,75.58,9.25
Calculate financial data.,64.87,444545.79,75.52,10.65
Create visual designs or displays.,61.16,515938.45,75.39,14.24
Assign work to others.,27.81,392233.59,75.29,47.48
Maintain sales or financial records.,28.09,689913.97,75.17,47.08
"Evaluate programs, practices, or processes.",73.85,310608.04,74.63,0.79
Analyze data to improve operations.,40.74,636558.72,74.56,33.81
Present research or technical information.,70.06,461830.68,74.52,4.46
"Explain regulations, policies, or procedures.",67.28,691968.53,74.11,6.83
Consult legal materials or public records.,73.34,173727.99,73.45,0.11
Study details of artistic productions.,73.37,40533.44,73.37,0.00
Maintain current knowledge in area of expertise.,72.04,1039293.44,73.06,1.02
Maintain operational records.,21.23,1231274.90,72.96,51.73
"Document technical designs, procedures, or activities.",65.68,140820.17,72.81,7.13
Research biological or ecological phenomena.,71.94,61763.31,72.57,0.63
Operate office equipment.,63.06,594103.63,72.53,9.47
Develop scientific or mathematical theories or models.,66.02,26223.70,72.34,6.32
Implement procedures or processes.,71.76,642737.61,72.27,0.51
Record information about environmental conditions.,14.43,164.20,72.26,57.84
Develop business or marketing plans.,58.58,386288.31,72.22,13.64
Issue documentation.,56.93,66106.36,71.62,14.69
Advise others on the design or use of technologies.,67.61,403253.21,71.57,3.96
Collect data about consumer needs or opinions.,54.01,490406.09,71.12,17.11
Develop operational or technical procedures or standards.,66.44,562372.17,70.95,4.51
"Develop models of systems, processes, or products.",61.32,56016.54,70.91,9.59
Research technology designs or applications.,70.03,108524.57,70.31,0.28
Analyze business or financial risks.,43.05,104268.86,69.99,26.94
Provide information or assistance to the public.,66.50,185329.17,69.92,3.42
"Investigate individuals' background, behavior, or activities.",59.90,36567.26,69.86,9.97
"Develop news, entertainment, or artistic content.",67.64,31751.78,69.59,1.95
"Research organizational behavior, processes, or performance.",66.69,91730.70,69.56,2.87
Develop technical specifications for products or operations.,64.53,123087.33,69.50,4.96
Prepare proposals or grant applications.,52.55,78998.31,69.41,16.86
Monitor financial data or activities.,52.22,332479.66,69.25,17.03
Advise others on educational or vocational matters.,69.04,481621.14,69.04,0.00
Plan events or programs.,67.44,80650.68,68.64,1.20
Gather information for news stories.,53.38,5158.31,68.06,14.68
Assist individuals with paperwork.,67.98,23766.72,67.98,0.00
Examine materials or documentation for accuracy or compliance.,61.96,519782.25,67.75,5.79
Operate communications equipment or systems.,56.16,158211.72,67.49,11.34
Analyze performance of systems or equipment.,63.78,91203.73,67.28,3.50
Coach others.,67.15,54157.97,67.15,0.00
Assess characteristics or impacts of regulations or policies.,65.61,61310.65,67.06,1.45
Analyze biological or chemical substances or related data.,65.14,135082.84,66.99,1.85
Schedule operational activities.,26.07,165176.92,66.93,40.86
Research issues related to earth sciences.,63.38,6674.89,66.66,3.28
"Evaluate the characteristics, usefulness, or performance of products or technologies.",61.35,186333.71,66.36,5.01
"Provide general assistance to others, such as customers, patrons, or motorists.",63.49,1656812.53,66.01,2.52
Analyze health or medical data.,63.08,513586.84,65.63,2.55
Operate audiovisual or related equipment.,26.61,219107.53,65.61,39.00
Manage budgets or finances.,42.79,323290.56,65.39,22.60
Prepare health or medical documents.,47.63,289224.99,64.55,16.91
Record images with photographic or audiovisual equipment.,21.05,2417.93,64.26,43.21
"Maintain electronic, computer, or other technical equipment.",61.98,223893.58,63.88,1.90
Communicate with others about business strategies.,62.48,292638.45,63.44,0.96
Develop recipes or menus.,62.86,131125.85,63.43,0.57
Explain medical information to patients or family members.,63.35,413953.41,63.35,0.00
Determine operational methods or procedures.,62.85,253199.87,63.28,0.42
Purchase goods or services.,57.82,1022142.87,63.20,5.38
Advise patients or clients on medical issues.,62.86,186152.92,63.11,0.25
Read documents or materials to inform work processes.,61.94,1334199.39,63.10,1.16
Communicate with others about specifications or project details.,62.87,305498.25,63.00,0.13
"Assist scientists, scholars, or technical specialists with projects or research.",62.96,45540.67,62.96,0.00
Develop professional relationships or networks.,59.56,139140.71,62.84,3.28
Develop financial or business plans.,46.27,22172.95,62.40,16.13
Evaluate the quality or accuracy of data.,54.83,813099.49,62.26,7.43
Advise others on business or operational matters.,61.01,690088.00,61.79,0.78
Arrange displays or decorations.,61.34,655749.94,61.34,0.00
"Evaluate designs, specifications, or other technical data.",59.23,183685.40,61.27,2.04
Teach academic or vocational subjects.,58.57,659082.93,61.06,2.49
Create artistic designs or performances.,54.86,35041.22,60.92,6.06
Authorize business activities or transactions.,42.20,160808.92,60.84,18.64
