iwa,date,pct_tasks_affected,workers_affected,wages_affected
"Provide information to guests, clients, or customers.",2024-09-30,58.53,2564798.10,130116449328.55
Execute financial transactions.,2024-09-30,53.14,2192929.14,87258193941.85
Prepare foods or beverages.,2024-09-30,54.83,1905971.41,64828626272.25
Respond to customer problems or inquiries.,2024-09-30,59.58,1604079.66,82095733507.63
Communicate with others about operational plans or activities.,2024-09-30,49.83,1544497.93,92226938520.43
Determine values or prices of goods or services.,2024-09-30,53.26,1246553.77,58185480303.54
"Provide general assistance to others, such as customers, patrons, or motorists.",2024-09-30,52.05,1199208.45,47023540507.20
Read documents or materials to inform work processes.,2024-09-30,53.38,1099770.08,61060325204.51
Explain technical details of products or services.,2024-09-30,60.87,934806.21,44083898558.67
Purchase goods or services.,2024-09-30,53.18,928751.99,54052459998.63
"Prepare documentation for contracts, applications, or permits.",2024-09-30,54.39,882314.58,43377518166.62
Maintain current knowledge in area of expertise.,2024-09-30,54.81,802661.79,63668010469.96
Train others on operational or work procedures.,2024-09-30,45.27,767613.24,51979146270.07
"Measure physical characteristics of materials, products, or equipment.",2024-09-30,49.49,712346.79,32309672088.51
Evaluate the quality or accuracy of data.,2024-09-30,47.40,709924.32,40333244205.33
Monitor individual behavior or performance.,2024-09-30,47.17,677050.02,39571285911.72
Perform administrative or clerical activities.,2024-09-30,51.59,668527.84,37026602309.74
Advise others on products or services.,2024-09-30,53.91,639885.95,45119989791.25
Train others on health or medical topics.,2024-09-30,42.68,611892.63,32355622035.20
Teach academic or vocational subjects.,2024-09-30,47.51,559983.23,35536369242.23
"Explain regulations, policies, or procedures.",2024-09-30,57.86,553749.65,38271770407.46
Prepare informational or instructional materials.,2024-09-30,54.80,550037.15,36329841599.95
Advise others on business or operational matters.,2024-09-30,49.74,527549.98,47390475247.01
"Promote products, services, or programs.",2024-09-30,52.39,512919.07,28905329759.42
Adjust equipment to ensure adequate performance.,2024-09-30,54.70,511098.44,27931034387.71
Implement procedures or processes.,2024-09-30,60.43,493916.63,54066104994.75
Design computer or information systems or applications.,2024-09-30,53.40,483291.48,53774129078.20
Develop operational or technical procedures or standards.,2024-09-30,53.63,477962.60,48537593274.15
Prepare mixtures or solutions.,2024-09-30,53.96,450914.10,19955103297.18
Analyze business or financial data.,2024-09-30,51.58,450363.25,40394439598.22
Maintain safety or security.,2024-09-30,42.62,446850.25,20862621670.74
Process digital or online data.,2024-09-30,50.08,446225.66,29377563690.74
Provide food or beverage services.,2024-09-30,16.50,436663.99,14110753834.68
Operate office equipment.,2024-09-30,51.30,434069.72,19819007358.21
Arrange displays or decorations.,2024-09-30,49.63,426467.34,16930452076.90
Analyze health or medical data.,2024-09-30,51.32,403010.72,43029966024.83
"Distribute materials, supplies, or resources.",2024-09-30,50.53,401025.15,18048716971.99
Examine materials or documentation for accuracy or compliance.,2024-09-30,49.60,400479.93,24001212888.67
"Compile records, documentation, or other data.",2024-09-30,53.39,399520.30,25305386435.15
Test performance of equipment or systems.,2024-09-30,51.31,398637.25,25275616874.12
Advise others on educational or vocational matters.,2024-09-30,50.79,380736.90,26995103081.97
Create visual designs or displays.,2024-09-30,47.37,378231.96,28414333663.63
Assist others to access additional services or resources.,2024-09-30,48.25,363974.68,21720597036.21
Select materials or equipment for operations or projects.,2024-09-30,53.49,342559.48,20064385307.75
Interview people to obtain information.,2024-09-30,40.88,338782.94,23540697283.56
Determine resource needs of projects or operations.,2024-09-30,49.77,331736.92,26588889221.47
Present research or technical information.,2024-09-30,54.17,328620.43,25591084980.99
Inspect characteristics or conditions of materials or products.,2024-09-30,51.30,323311.14,16772513170.75
Collect fares or payments.,2024-09-30,11.49,320329.28,13685787228.30
Advise others on the design or use of technologies.,2024-09-30,51.54,307173.99,29456532486.04
Explain medical information to patients or family members.,2024-09-30,53.32,304885.93,26775870883.51
Maintain operational records.,2024-09-30,4.04,303384.04,23720611203.36
Gather information from physical or electronic sources.,2024-09-30,58.16,297553.60,17008026837.47
Plan work activities.,2024-09-30,51.54,295874.77,20112506750.97
Calculate financial data.,2024-09-30,53.38,289882.06,17196892410.26
Counsel others about personal matters.,2024-09-30,47.30,288389.75,15420942606.78
Train others to use equipment or products.,2024-09-30,44.39,283623.39,18190866358.79
Operate computer systems or computerized equipment.,2024-09-30,49.65,273679.53,14103598432.91
Analyze market or industry conditions.,2024-09-30,51.34,264665.88,23965532993.47
Teach life skills.,2024-09-30,44.98,258566.40,10735692891.58
"Direct organizational operations, activities, or procedures.",2024-09-30,3.86,246228.37,19832866473.62
Coordinate with others to resolve problems.,2024-09-30,49.89,246093.32,19462268375.57
Communicate with others about business strategies.,2024-09-30,50.28,245107.67,21014020293.08
Investigate criminal or legal matters.,2024-09-30,49.44,240012.74,17946668248.70
Communicate with others about specifications or project details.,2024-09-30,51.50,236507.92,22058258079.70
Monitor operation of computer or information technologies.,2024-09-30,49.44,233344.45,22940208836.10
Collect data about consumer needs or opinions.,2024-09-30,17.71,222223.13,9925763713.90
Provide support or encouragement to others.,2024-09-30,41.35,218789.91,14696234255.93
"Evaluate programs, practices, or processes.",2024-09-30,53.36,211415.56,19163958024.68
Analyze data to improve operations.,2024-09-30,9.74,209918.43,22590247515.18
Connect components or supply lines to equipment or tools.,2024-09-30,54.87,204789.33,11585312409.95
Resolve computer problems.,2024-09-30,55.70,203964.45,19135757947.77
Determine operational methods or procedures.,2024-09-30,56.67,195687.04,14289278252.33
Identify business or organizational opportunities.,2024-09-30,49.44,194187.88,15579063649.86
"Monitor external affairs, trends, or events.",2024-09-30,51.30,183671.60,14341126139.44
"Clean tools, equipment, facilities, or work areas.",2024-09-30,2.76,181811.82,7659694161.59
Gather data about operational or development activities.,2024-09-30,54.92,175860.03,16193520625.51
"Develop organizational policies, systems, or processes.",2024-09-30,17.09,175853.20,22403760532.60
Maintain facilities or equipment.,2024-09-30,54.80,173108.47,8646194859.08
Set up equipment.,2024-09-30,57.95,165508.18,7657411760.10
Test performance of computer or information systems.,2024-09-30,49.74,160878.09,15550760013.47
"Set up computer systems, networks, or other information systems.",2024-09-30,53.55,160431.32,13312118511.50
Supervise personnel activities.,2024-09-30,6.88,159477.76,9712116391.30
"Maintain electronic, computer, or other technical equipment.",2024-09-30,54.35,159249.21,13410466655.24
Program computer systems or production equipment.,2024-09-30,57.61,155135.15,12454660144.96
Operate communications equipment or systems.,2024-09-30,51.30,154392.93,8127063343.84
"Evaluate the characteristics, usefulness, or performance of products or technologies.",2024-09-30,54.77,153813.85,16358971849.02
Provide information or assistance to the public.,2024-09-30,58.18,152781.69,10667686080.50
Verify personal information.,2024-09-30,48.75,152769.97,10704070594.41
Maintain health or medical records.,2024-09-30,6.13,151149.49,9340914512.51
