title,task_normalized,dwa_title,iwa_title,gwa_title,task,title_normalized,soc_code_2010,broad_occ,minor_occ_category,major_occ_category,physical,auto_aug_mean,pct_normalized,date,freq_mean,importance,relevance,a_med_nat_2024,a_med_al_2024,a_med_ak_2024,a_med_az_2024,a_med_ar_2024,a_med_ca_2024,a_med_co_2024,a_med_ct_2024,a_med_de_2024,a_med_dc_2024,a_med_fl_2024,a_med_ga_2024,a_med_hi_2024,a_med_id_2024,a_med_il_2024,a_med_in_2024,a_med_ia_2024,a_med_ks_2024,a_med_ky_2024,a_med_la_2024,a_med_me_2024,a_med_md_2024,a_med_ma_2024,a_med_mi_2024,a_med_mn_2024,a_med_ms_2024,a_med_mo_2024,a_med_mt_2024,a_med_ne_2024,a_med_nv_2024,a_med_nh_2024,a_med_nj_2024,a_med_nm_2024,a_med_ny_2024,a_med_nc_2024,a_med_nd_2024,a_med_oh_2024,a_med_ok_2024,a_med_or_2024,a_med_pa_2024,a_med_ri_2024,a_med_sc_2024,a_med_sd_2024,a_med_tn_2024,a_med_tx_2024,a_med_ut_2024,a_med_vt_2024,a_med_va_2024,a_med_wa_2024,a_med_wv_2024,a_med_wi_2024,a_med_wy_2024,a_med_gu_2024,a_med_pr_2024,a_med_vi_2024,emp_tot_nat_2024,emp_tot_al_2024,emp_tot_ak_2024,emp_tot_az_2024,emp_tot_ar_2024,emp_tot_ca_2024,emp_tot_co_2024,emp_tot_ct_2024,emp_tot_de_2024,emp_tot_dc_2024,emp_tot_fl_2024,emp_tot_ga_2024,emp_tot_hi_2024,emp_tot_id_2024,emp_tot_il_2024,emp_tot_in_2024,emp_tot_ia_2024,emp_tot_ks_2024,emp_tot_ky_2024,emp_tot_la_2024,emp_tot_me_2024,emp_tot_md_2024,emp_tot_ma_2024,emp_tot_mi_2024,emp_tot_mn_2024,emp_tot_ms_2024,emp_tot_mo_2024,emp_tot_mt_2024,emp_tot_ne_2024,emp_tot_nv_2024,emp_tot_nh_2024,emp_tot_nj_2024,emp_tot_nm_2024,emp_tot_ny_2024,emp_tot_nc_2024,emp_tot_nd_2024,emp_tot_oh_2024,emp_tot_ok_2024,emp_tot_or_2024,emp_tot_pa_2024,emp_tot_ri_2024,emp_tot_sc_2024,emp_tot_sd_2024,emp_tot_tn_2024,emp_tot_tx_2024,emp_tot_ut_2024,emp_tot_vt_2024,emp_tot_va_2024,emp_tot_wa_2024,emp_tot_wv_2024,emp_tot_wi_2024,emp_tot_wy_2024,emp_tot_gu_2024,emp_tot_pr_2024,emp_tot_vi_2024
Chief Executives,direct or coordinate activities of businesses involved with buying or selling investment products or financial services,Direct financial operations.,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates",Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,False,5.0,0.0030054963849999,2025-08-11,0.6491788461538461,3.9,27.31,206420.0,164400.0,168680.0,150590.0,121220.0,220600.0,194810.0,206420.0,190460.0,206420.0,206420.0,201750.0,231500.0,173070.0,206420.0,205780.0,178530.0,154700.0,146630.0,121490.0,120160.0,206420.0,206420.0,219230.0,194160.0,125340.0,158930.0,194460.0,206080.0,206420.0,138910.0,206420.0,148790.0,219320.0,206420.0,171310.0,208590.0,148870.0,206420.0,220510.0,211810.0,181830.0,206420.0,173870.0,206420.0,163980.0,166190.0,206420.0,206420.0,181930.0,209090.0,140000.0,106500.0,93740.0,139160.0,211850.0,830.0,910.0,3100.0,2270.0,36980.0,3946.0,1430.0,440.0,1240.0,13402.0,5440.0,570.0,1153.0,5150.0,2200.0,3520.0,2540.0,2950.0,670.0,1470.0,4580.0,7110.0,3940.0,6690.0,440.0,4050.0,630.0,2790.0,2087.0,630.0,2120.0,360.0,7830.0,2500.0,370.0,4430.0,2000.0,920.0,14140.0,674.0,2950.0,530.0,5360.0,18898.0,3980.0,530.0,4620.0,4140.0,1390.0,4440.0,70.0,320.0,2340.0,120.0
Instructional Designers and Technologists,design instructional aids for standalone or instructorled classroom or online use,Develop instructional materials.,Prepare informational or instructional materials.,Documenting/Recording Information,Design instructional aids for stand-alone or instructor-led classroom or online use.,instructional designers and technologists,25-9031.01,Instructional Coordinators,Other Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,False,5.0,0.0061111759828333,2025-08-11,1.0187239105161792,3.9735693120587134,88.17160054812337,74720.0,65880.0,63530.0,62700.0,65040.0,97960.0,77890.0,95560.0,77180.0,102010.0,62650.0,77590.0,64500.0,54260.0,75760.0,63290.0,75010.0,62310.0,61070.0,62220.0,65620.0,95570.0,85780.0,78460.0,77530.0,62750.0,68210.0,59230.0,64310.0,66000.0,73830.0,90100.0,73210.0,77330.0,61170.0,74630.0,74560.0,61740.0,79710.0,67180.0,60320.0,64560.0,58990.0,64840.0,73600.0,59690.0,76320.0,80620.0,91470.0,61490.0,81550.0,74060.0,74720.0,30920.0,74720.0,128650.0,2465.0,647.0,7358.0,1574.0,22637.0,4064.0,2038.0,1318.0,1538.0,14265.0,9677.0,1001.0,2685.0,10909.0,3100.0,4259.0,2306.0,3832.0,2636.0,586.0,3710.0,6760.0,6163.0,4283.0,2001.0,3283.0,952.0,1696.0,1489.0,586.0,3929.0,781.0,21001.0,10080.0,647.0,5455.0,3087.0,3295.0,10055.0,1367.0,4503.0,622.0,5662.0,36939.0,4003.0,964.0,6614.0,5333.0,891.0,2172.0,244.0,51.0,1269.0,28.0
Instructional Coordinators,advise and teach students,Advise students on academic or career matters.,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others,Advise and teach students.,instructional coordinators,25-9031.00,Instructional Coordinators,Other Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,False,3.7958921694480106,0.0016029314053333,2025-08-11,2.632328076923077,3.93,90.76,74720.0,65880.0,63530.0,62700.0,65040.0,97960.0,77890.0,95560.0,77180.0,102010.0,62650.0,77590.0,64500.0,54260.0,75760.0,63290.0,75010.0,62310.0,61070.0,62220.0,65620.0,95570.0,85780.0,78460.0,77530.0,62750.0,68210.0,59230.0,64310.0,66000.0,73830.0,90100.0,73210.0,77330.0,61170.0,74630.0,74560.0,61740.0,79710.0,67180.0,60320.0,64560.0,58990.0,64840.0,73600.0,59690.0,76320.0,80620.0,91470.0,61490.0,81550.0,74060.0,74720.0,30920.0,74720.0,82200.0,1575.0,413.0,4702.0,1006.0,14463.0,2596.0,1302.0,842.0,982.0,9115.0,6183.0,639.0,1715.0,6971.0,1980.0,2721.0,1474.0,2448.0,1684.0,374.0,2370.0,4320.0,3937.0,2737.0,1279.0,2097.0,608.0,1084.0,951.0,374.0,2511.0,499.0,13419.0,6440.0,413.0,3485.0,1973.0,2105.0,6425.0,873.0,2877.0,398.0,3618.0,23601.0,2557.0,616.0,4226.0,3407.0,569.0,1388.0,156.0,33.0,811.0,18.0
Instructional Coordinators,develop tests questionnaires and procedures that measure the effectiveness of curricula and use these tools to determine whether program objectives are being met,Evaluate effectiveness of educational programs.,"Evaluate programs, practices, or processes.","Judging the Qualities of Things, Services, or People","Develop tests, questionnaires, and procedures that measure the effectiveness of curricula and use these tools to determine whether program objectives are being met.",instructional coordinators,25-9031.00,Instructional Coordinators,Other Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,False,4.152941176470589,0.0093170387935001,2025-08-11,0.4572324556213018,3.8461538461538463,80.13153846153847,74720.0,65880.0,63530.0,62700.0,65040.0,97960.0,77890.0,95560.0,77180.0,102010.0,62650.0,77590.0,64500.0,54260.0,75760.0,63290.0,75010.0,62310.0,61070.0,62220.0,65620.0,95570.0,85780.0,78460.0,77530.0,62750.0,68210.0,59230.0,64310.0,66000.0,73830.0,90100.0,73210.0,77330.0,61170.0,74630.0,74560.0,61740.0,79710.0,67180.0,60320.0,64560.0,58990.0,64840.0,73600.0,59690.0,76320.0,80620.0,91470.0,61490.0,81550.0,74060.0,74720.0,30920.0,74720.0,82200.0,1575.0,413.0,4702.0,1006.0,14463.0,2596.0,1302.0,842.0,982.0,9115.0,6183.0,639.0,1715.0,6971.0,1980.0,2721.0,1474.0,2448.0,1684.0,374.0,2370.0,4320.0,3937.0,2737.0,1279.0,2097.0,608.0,1084.0,951.0,374.0,2511.0,499.0,13419.0,6440.0,413.0,3485.0,1973.0,2105.0,6425.0,873.0,2877.0,398.0,3618.0,23601.0,2557.0,616.0,4226.0,3407.0,569.0,1388.0,156.0,33.0,811.0,18.0
Instructional Coordinators,develop instructional materials to be used by educators and instructors,Develop instructional materials.,Prepare informational or instructional materials.,Documenting/Recording Information,Develop instructional materials to be used by educators and instructors.,instructional coordinators,25-9031.00,Instructional Coordinators,Other Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,False,4.697819314641745,0.1972607460688388,2025-08-11,0.4572324556213018,3.8461538461538463,80.13153846153847,74720.0,65880.0,63530.0,62700.0,65040.0,97960.0,77890.0,95560.0,77180.0,102010.0,62650.0,77590.0,64500.0,54260.0,75760.0,63290.0,75010.0,62310.0,61070.0,62220.0,65620.0,95570.0,85780.0,78460.0,77530.0,62750.0,68210.0,59230.0,64310.0,66000.0,73830.0,90100.0,73210.0,77330.0,61170.0,74630.0,74560.0,61740.0,79710.0,67180.0,60320.0,64560.0,58990.0,64840.0,73600.0,59690.0,76320.0,80620.0,91470.0,61490.0,81550.0,74060.0,74720.0,30920.0,74720.0,82200.0,1575.0,413.0,4702.0,1006.0,14463.0,2596.0,1302.0,842.0,982.0,9115.0,6183.0,639.0,1715.0,6971.0,1980.0,2721.0,1474.0,2448.0,1684.0,374.0,2370.0,4320.0,3937.0,2737.0,1279.0,2097.0,608.0,1084.0,951.0,374.0,2511.0,499.0,13419.0,6440.0,413.0,3485.0,1973.0,2105.0,6425.0,873.0,2877.0,398.0,3618.0,23601.0,2557.0,616.0,4226.0,3407.0,569.0,1388.0,156.0,33.0,811.0,18.0
Instructional Coordinators,research evaluate and prepare recommendations on curricula instructional methods and materials for school systems,Evaluate effectiveness of educational programs.,"Evaluate programs, practices, or processes.","Judging the Qualities of Things, Services, or People","Research, evaluate, and prepare recommendations on curricula, instructional methods, and materials for school systems.",instructional coordinators,25-9031.00,Instructional Coordinators,Other Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,False,5.0,0.0044080613646667,2025-08-11,0.1988511538461538,3.67,81.83,74720.0,65880.0,63530.0,62700.0,65040.0,97960.0,77890.0,95560.0,77180.0,102010.0,62650.0,77590.0,64500.0,54260.0,75760.0,63290.0,75010.0,62310.0,61070.0,62220.0,65620.0,95570.0,85780.0,78460.0,77530.0,62750.0,68210.0,59230.0,64310.0,66000.0,73830.0,90100.0,73210.0,77330.0,61170.0,74630.0,74560.0,61740.0,79710.0,67180.0,60320.0,64560.0,58990.0,64840.0,73600.0,59690.0,76320.0,80620.0,91470.0,61490.0,81550.0,74060.0,74720.0,30920.0,74720.0,82200.0,1575.0,413.0,4702.0,1006.0,14463.0,2596.0,1302.0,842.0,982.0,9115.0,6183.0,639.0,1715.0,6971.0,1980.0,2721.0,1474.0,2448.0,1684.0,374.0,2370.0,4320.0,3937.0,2737.0,1279.0,2097.0,608.0,1084.0,951.0,374.0,2511.0,499.0,13419.0,6440.0,413.0,3485.0,1973.0,2105.0,6425.0,873.0,2877.0,398.0,3618.0,23601.0,2557.0,616.0,4226.0,3407.0,569.0,1388.0,156.0,33.0,811.0,18.0
Instructional Coordinators,research evaluate and prepare recommendations on curricula instructional methods and materials for school systems,Research topics in area of expertise.,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge,"Research, evaluate, and prepare recommendations on curricula, instructional methods, and materials for school systems.",instructional coordinators,25-9031.00,Instructional Coordinators,Other Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,False,5.0,0.0044080613646667,2025-08-11,0.1988511538461538,3.67,81.83,74720.0,65880.0,63530.0,62700.0,65040.0,97960.0,77890.0,95560.0,77180.0,102010.0,62650.0,77590.0,64500.0,54260.0,75760.0,63290.0,75010.0,62310.0,61070.0,62220.0,65620.0,95570.0,85780.0,78460.0,77530.0,62750.0,68210.0,59230.0,64310.0,66000.0,73830.0,90100.0,73210.0,77330.0,61170.0,74630.0,74560.0,61740.0,79710.0,67180.0,60320.0,64560.0,58990.0,64840.0,73600.0,59690.0,76320.0,80620.0,91470.0,61490.0,81550.0,74060.0,74720.0,30920.0,74720.0,82200.0,1575.0,413.0,4702.0,1006.0,14463.0,2596.0,1302.0,842.0,982.0,9115.0,6183.0,639.0,1715.0,6971.0,1980.0,2721.0,1474.0,2448.0,1684.0,374.0,2370.0,4320.0,3937.0,2737.0,1279.0,2097.0,608.0,1084.0,951.0,374.0,2511.0,499.0,13419.0,6440.0,413.0,3485.0,1973.0,2105.0,6425.0,873.0,2877.0,398.0,3618.0,23601.0,2557.0,616.0,4226.0,3407.0,569.0,1388.0,156.0,33.0,811.0,18.0
Instructional Designers and Technologists,analyze performance data to determine effectiveness of instructional systems courses or instructional materials,Evaluate effectiveness of educational programs.,"Evaluate programs, practices, or processes.","Judging the Qualities of Things, Services, or People","Analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",instructional designers and technologists,25-9031.01,Instructional Coordinators,Other Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,False,4.544642857142858,0.0123225351785002,2025-08-11,0.2091004249390117,4.125674303766409,96.33147589252852,74720.0,65880.0,63530.0,62700.0,65040.0,97960.0,77890.0,95560.0,77180.0,102010.0,62650.0,77590.0,64500.0,54260.0,75760.0,63290.0,75010.0,62310.0,61070.0,62220.0,65620.0,95570.0,85780.0,78460.0,77530.0,62750.0,68210.0,59230.0,64310.0,66000.0,73830.0,90100.0,73210.0,77330.0,61170.0,74630.0,74560.0,61740.0,79710.0,67180.0,60320.0,64560.0,58990.0,64840.0,73600.0,59690.0,76320.0,80620.0,91470.0,61490.0,81550.0,74060.0,74720.0,30920.0,74720.0,128650.0,2465.0,647.0,7358.0,1574.0,22637.0,4064.0,2038.0,1318.0,1538.0,14265.0,9677.0,1001.0,2685.0,10909.0,3100.0,4259.0,2306.0,3832.0,2636.0,586.0,3710.0,6760.0,6163.0,4283.0,2001.0,3283.0,952.0,1696.0,1489.0,586.0,3929.0,781.0,21001.0,10080.0,647.0,5455.0,3087.0,3295.0,10055.0,1367.0,4503.0,622.0,5662.0,36939.0,4003.0,964.0,6614.0,5333.0,891.0,2172.0,244.0,51.0,1269.0,28.0
Instructional Designers and Technologists,define instructional learning or performance objectives,Develop instructional objectives.,"Develop educational programs, plans, or procedures.",Thinking Creatively,"Define instructional, learning, or performance objectives.",instructional designers and technologists,25-9031.01,Instructional Coordinators,Other Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,False,4.485009202751138,0.0029053131721667,2025-08-11,0.5557570108733113,4.174704708374064,96.41532420984036,74720.0,65880.0,63530.0,62700.0,65040.0,97960.0,77890.0,95560.0,77180.0,102010.0,62650.0,77590.0,64500.0,54260.0,75760.0,63290.0,75010.0,62310.0,61070.0,62220.0,65620.0,95570.0,85780.0,78460.0,77530.0,62750.0,68210.0,59230.0,64310.0,66000.0,73830.0,90100.0,73210.0,77330.0,61170.0,74630.0,74560.0,61740.0,79710.0,67180.0,60320.0,64560.0,58990.0,64840.0,73600.0,59690.0,76320.0,80620.0,91470.0,61490.0,81550.0,74060.0,74720.0,30920.0,74720.0,128650.0,2465.0,647.0,7358.0,1574.0,22637.0,4064.0,2038.0,1318.0,1538.0,14265.0,9677.0,1001.0,2685.0,10909.0,3100.0,4259.0,2306.0,3832.0,2636.0,586.0,3710.0,6760.0,6163.0,4283.0,2001.0,3283.0,952.0,1696.0,1489.0,586.0,3929.0,781.0,21001.0,10080.0,647.0,5455.0,3087.0,3295.0,10055.0,1367.0,4503.0,622.0,5662.0,36939.0,4003.0,964.0,6614.0,5333.0,891.0,2172.0,244.0,51.0,1269.0,28.0
Instructional Designers and Technologists,research and evaluate emerging instructional technologies or methods,Evaluate effectiveness of educational programs.,"Evaluate programs, practices, or processes.","Judging the Qualities of Things, Services, or People",Research and evaluate emerging instructional technologies or methods.,instructional designers and technologists,25-9031.01,Instructional Coordinators,Other Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,False,4.436350379704716,0.0017031146181665,2025-08-11,0.2091004249390117,4.125674303766409,96.33147589252852,74720.0,65880.0,63530.0,62700.0,65040.0,97960.0,77890.0,95560.0,77180.0,102010.0,62650.0,77590.0,64500.0,54260.0,75760.0,63290.0,75010.0,62310.0,61070.0,62220.0,65620.0,95570.0,85780.0,78460.0,77530.0,62750.0,68210.0,59230.0,64310.0,66000.0,73830.0,90100.0,73210.0,77330.0,61170.0,74630.0,74560.0,61740.0,79710.0,67180.0,60320.0,64560.0,58990.0,64840.0,73600.0,59690.0,76320.0,80620.0,91470.0,61490.0,81550.0,74060.0,74720.0,30920.0,74720.0,128650.0,2465.0,647.0,7358.0,1574.0,22637.0,4064.0,2038.0,1318.0,1538.0,14265.0,9677.0,1001.0,2685.0,10909.0,3100.0,4259.0,2306.0,3832.0,2636.0,586.0,3710.0,6760.0,6163.0,4283.0,2001.0,3283.0,952.0,1696.0,1489.0,586.0,3929.0,781.0,21001.0,10080.0,647.0,5455.0,3087.0,3295.0,10055.0,1367.0,4503.0,622.0,5662.0,36939.0,4003.0,964.0,6614.0,5333.0,891.0,2172.0,244.0,51.0,1269.0,28.0
