title,task_normalized,dwa_title,iwa_title,gwa_title,task,title_normalized,soc_code_2010,broad_occ,minor_occ_category,major_occ_category,physical,auto_aug_mean,pct_normalized,date,freq_mean,importance,relevance,a_med_nat_2024,a_med_al_2024,a_med_ak_2024,a_med_az_2024,a_med_ar_2024,a_med_ca_2024,a_med_co_2024,a_med_ct_2024,a_med_de_2024,a_med_dc_2024,a_med_fl_2024,a_med_ga_2024,a_med_hi_2024,a_med_id_2024,a_med_il_2024,a_med_in_2024,a_med_ia_2024,a_med_ks_2024,a_med_ky_2024,a_med_la_2024,a_med_me_2024,a_med_md_2024,a_med_ma_2024,a_med_mi_2024,a_med_mn_2024,a_med_ms_2024,a_med_mo_2024,a_med_mt_2024,a_med_ne_2024,a_med_nv_2024,a_med_nh_2024,a_med_nj_2024,a_med_nm_2024,a_med_ny_2024,a_med_nc_2024,a_med_nd_2024,a_med_oh_2024,a_med_ok_2024,a_med_or_2024,a_med_pa_2024,a_med_ri_2024,a_med_sc_2024,a_med_sd_2024,a_med_tn_2024,a_med_tx_2024,a_med_ut_2024,a_med_vt_2024,a_med_va_2024,a_med_wa_2024,a_med_wv_2024,a_med_wi_2024,a_med_wy_2024,a_med_gu_2024,a_med_pr_2024,a_med_vi_2024,emp_tot_nat_2024,emp_tot_al_2024,emp_tot_ak_2024,emp_tot_az_2024,emp_tot_ar_2024,emp_tot_ca_2024,emp_tot_co_2024,emp_tot_ct_2024,emp_tot_de_2024,emp_tot_dc_2024,emp_tot_fl_2024,emp_tot_ga_2024,emp_tot_hi_2024,emp_tot_id_2024,emp_tot_il_2024,emp_tot_in_2024,emp_tot_ia_2024,emp_tot_ks_2024,emp_tot_ky_2024,emp_tot_la_2024,emp_tot_me_2024,emp_tot_md_2024,emp_tot_ma_2024,emp_tot_mi_2024,emp_tot_mn_2024,emp_tot_ms_2024,emp_tot_mo_2024,emp_tot_mt_2024,emp_tot_ne_2024,emp_tot_nv_2024,emp_tot_nh_2024,emp_tot_nj_2024,emp_tot_nm_2024,emp_tot_ny_2024,emp_tot_nc_2024,emp_tot_nd_2024,emp_tot_oh_2024,emp_tot_ok_2024,emp_tot_or_2024,emp_tot_pa_2024,emp_tot_ri_2024,emp_tot_sc_2024,emp_tot_sd_2024,emp_tot_tn_2024,emp_tot_tx_2024,emp_tot_ut_2024,emp_tot_vt_2024,emp_tot_va_2024,emp_tot_wa_2024,emp_tot_wv_2024,emp_tot_wi_2024,emp_tot_wy_2024,emp_tot_gu_2024,emp_tot_pr_2024,emp_tot_vi_2024
Refuse and Recyclable Material Collectors,organize schedules for refuse collection,Schedule operational activities.,Schedule operational activities.,Scheduling Work and Activities,Organize schedules for refuse collection.,refuse and recyclable material collectors,53-7081.00,Refuse and Recyclable Material Collectors,Material Moving Workers,Transportation and Material Moving Occupations,False,5.0,0.0005110769705483,2025-11-13,0.5851757692307693,3.29,42.06,48350.0,39850.0,36830.0,39650.0,36640.0,61650.0,60610.0,45760.0,46950.0,53870.0,46890.0,43000.0,55330.0,48200.0,61880.0,59260.0,48830.0,42540.0,36930.0,36890.0,43220.0,40080.0,59540.0,59290.0,61630.0,36070.0,46760.0,51230.0,47490.0,65440.0,42690.0,50700.0,46810.0,64550.0,40500.0,50440.0,48730.0,36850.0,61040.0,42690.0,51450.0,37380.0,33030.0,38570.0,45710.0,50720.0,49200.0,46080.0,71440.0,36630.0,60390.0,47970.0,48350.0,19760.0,48350.0,139180.0,2000.0,330.0,2020.0,1530.0,13240.0,3410.0,930.0,380.0,550.0,9690.0,4790.0,740.0,830.0,4940.0,2980.0,2050.0,980.0,2060.0,2200.0,620.0,2710.0,1170.0,3680.0,2260.0,1790.0,2180.0,350.0,1190.0,600.0,390.0,4710.0,1210.0,11240.0,6460.0,300.0,5000.0,2030.0,2080.0,5800.0,520.0,2600.0,360.0,2630.0,10720.0,680.0,160.0,3720.0,3890.0,860.0,1330.0,310.0,56.0,2030.0,31.0
"Foreign Language and Literature Teachers, Postsecondary",prepare course materials such as syllabi homework assignments and handouts,Develop instructional materials.,Prepare informational or instructional materials.,Documenting/Recording Information,"Prepare course materials such as syllabi, homework assignments, and handouts.",foreign language and literature teachers postsecondary,25-1124.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.0004530522489041,2025-11-13,1.0697630769230768,4.75,100.0,77010.0,65810.0,46320.0,68350.0,63460.0,106330.0,68610.0,106430.0,63010.0,81620.0,63160.0,64420.0,77010.0,50520.0,77100.0,66920.0,76270.0,63230.0,70150.0,77010.0,77010.0,79860.0,95730.0,79830.0,78280.0,52320.0,66450.0,78770.0,60570.0,81550.0,80880.0,78340.0,72670.0,94280.0,60760.0,77010.0,61460.0,61520.0,83870.0,75980.0,88340.0,70460.0,67940.0,64570.0,77340.0,65040.0,77010.0,63450.0,75890.0,63090.0,67320.0,77010.0,77010.0,80620.0,77010.0,21170.0,120.0,44.0,340.0,250.0,2120.0,430.0,350.0,100.0,370.0,890.0,330.0,85.0,50.0,740.0,720.0,310.0,140.0,200.0,261.0,87.0,260.0,1110.0,500.0,390.0,160.0,390.0,70.0,110.0,80.0,180.0,840.0,60.0,1610.0,660.0,58.0,780.0,80.0,320.0,1260.0,90.0,350.0,50.0,360.0,1700.0,110.0,150.0,890.0,380.0,70.0,380.0,38.0,8.0,140.0,5.0
"History Teachers, Postsecondary",plan evaluate and revise curricula course content course materials and methods of instruction,Develop instructional objectives.,"Develop educational programs, plans, or procedures.",Thinking Creatively,"Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",history teachers postsecondary,25-1125.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,4.419354838709678,0.0037684233000953,2025-11-13,0.602461923076923,4.09,100.0,81500.0,61000.0,65060.0,101510.0,47570.0,121020.0,77910.0,100220.0,81500.0,78880.0,49250.0,77500.0,50150.0,66240.0,84620.0,79860.0,77460.0,79380.0,73320.0,72950.0,85950.0,87520.0,100780.0,86230.0,82200.0,64660.0,80430.0,92550.0,78820.0,78620.0,106810.0,100320.0,80940.0,101180.0,76870.0,81500.0,79870.0,65600.0,97680.0,81640.0,106240.0,77150.0,65370.0,66770.0,82080.0,78110.0,80080.0,82930.0,79470.0,64710.0,82300.0,72120.0,81500.0,75010.0,81500.0,19860.0,390.0,30.0,170.0,460.0,1680.0,380.0,330.0,61.0,160.0,630.0,620.0,150.0,50.0,630.0,420.0,180.0,130.0,260.0,130.0,100.0,320.0,850.0,380.0,280.0,210.0,390.0,60.0,110.0,90.0,110.0,640.0,140.0,1780.0,790.0,54.0,500.0,170.0,170.0,890.0,150.0,340.0,30.0,530.0,2170.0,160.0,100.0,810.0,320.0,90.0,280.0,30.0,8.0,60.0,4.0
"History Teachers, Postsecondary",plan evaluate and revise curricula course content course materials and methods of instruction,Evaluate effectiveness of educational programs.,"Evaluate programs, practices, or processes.","Judging the Qualities of Things, Services, or People","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",history teachers postsecondary,25-1125.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,4.419354838709678,0.0037684233000953,2025-11-13,0.602461923076923,4.09,100.0,81500.0,61000.0,65060.0,101510.0,47570.0,121020.0,77910.0,100220.0,81500.0,78880.0,49250.0,77500.0,50150.0,66240.0,84620.0,79860.0,77460.0,79380.0,73320.0,72950.0,85950.0,87520.0,100780.0,86230.0,82200.0,64660.0,80430.0,92550.0,78820.0,78620.0,106810.0,100320.0,80940.0,101180.0,76870.0,81500.0,79870.0,65600.0,97680.0,81640.0,106240.0,77150.0,65370.0,66770.0,82080.0,78110.0,80080.0,82930.0,79470.0,64710.0,82300.0,72120.0,81500.0,75010.0,81500.0,19860.0,390.0,30.0,170.0,460.0,1680.0,380.0,330.0,61.0,160.0,630.0,620.0,150.0,50.0,630.0,420.0,180.0,130.0,260.0,130.0,100.0,320.0,850.0,380.0,280.0,210.0,390.0,60.0,110.0,90.0,110.0,640.0,140.0,1780.0,790.0,54.0,500.0,170.0,170.0,890.0,150.0,340.0,30.0,530.0,2170.0,160.0,100.0,810.0,320.0,90.0,280.0,30.0,8.0,60.0,4.0
"History Teachers, Postsecondary",select and obtain materials and supplies such as textbooks,Order instructional or library materials or equipment.,Purchase goods or services.,Monitoring and Controlling Resources,Select and obtain materials and supplies such as textbooks.,history teachers postsecondary,25-1125.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0002604460726598,2025-11-13,0.4666319230769231,4.03,100.0,81500.0,61000.0,65060.0,101510.0,47570.0,121020.0,77910.0,100220.0,81500.0,78880.0,49250.0,77500.0,50150.0,66240.0,84620.0,79860.0,77460.0,79380.0,73320.0,72950.0,85950.0,87520.0,100780.0,86230.0,82200.0,64660.0,80430.0,92550.0,78820.0,78620.0,106810.0,100320.0,80940.0,101180.0,76870.0,81500.0,79870.0,65600.0,97680.0,81640.0,106240.0,77150.0,65370.0,66770.0,82080.0,78110.0,80080.0,82930.0,79470.0,64710.0,82300.0,72120.0,81500.0,75010.0,81500.0,19860.0,390.0,30.0,170.0,460.0,1680.0,380.0,330.0,61.0,160.0,630.0,620.0,150.0,50.0,630.0,420.0,180.0,130.0,260.0,130.0,100.0,320.0,850.0,380.0,280.0,210.0,390.0,60.0,110.0,90.0,110.0,640.0,140.0,1780.0,790.0,54.0,500.0,170.0,170.0,890.0,150.0,340.0,30.0,530.0,2170.0,160.0,100.0,810.0,320.0,90.0,280.0,30.0,8.0,60.0,4.0
"History Teachers, Postsecondary",select and obtain materials and supplies such as textbooks,Select educational materials or equipment.,Select materials or equipment for operations or projects.,Making Decisions and Solving Problems,Select and obtain materials and supplies such as textbooks.,history teachers postsecondary,25-1125.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0002604460726598,2025-11-13,0.4666319230769231,4.03,100.0,81500.0,61000.0,65060.0,101510.0,47570.0,121020.0,77910.0,100220.0,81500.0,78880.0,49250.0,77500.0,50150.0,66240.0,84620.0,79860.0,77460.0,79380.0,73320.0,72950.0,85950.0,87520.0,100780.0,86230.0,82200.0,64660.0,80430.0,92550.0,78820.0,78620.0,106810.0,100320.0,80940.0,101180.0,76870.0,81500.0,79870.0,65600.0,97680.0,81640.0,106240.0,77150.0,65370.0,66770.0,82080.0,78110.0,80080.0,82930.0,79470.0,64710.0,82300.0,72120.0,81500.0,75010.0,81500.0,19860.0,390.0,30.0,170.0,460.0,1680.0,380.0,330.0,61.0,160.0,630.0,620.0,150.0,50.0,630.0,420.0,180.0,130.0,260.0,130.0,100.0,320.0,850.0,380.0,280.0,210.0,390.0,60.0,110.0,90.0,110.0,640.0,140.0,1780.0,790.0,54.0,500.0,170.0,170.0,890.0,150.0,340.0,30.0,530.0,2170.0,160.0,100.0,810.0,320.0,90.0,280.0,30.0,8.0,60.0,4.0
"History Teachers, Postsecondary",provide professional consulting services to government educational institutions or industry,"Advise educators on curricula, instructional methods, or policies.",Advise others on educational or vocational matters.,Provide Consultation and Advice to Others,"Provide professional consulting services to government, educational institutions, or industry.",history teachers postsecondary,25-1125.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,4.133333333333333,0.0818097891212224,2025-11-13,0.0544438461538461,2.24,74.04,81500.0,61000.0,65060.0,101510.0,47570.0,121020.0,77910.0,100220.0,81500.0,78880.0,49250.0,77500.0,50150.0,66240.0,84620.0,79860.0,77460.0,79380.0,73320.0,72950.0,85950.0,87520.0,100780.0,86230.0,82200.0,64660.0,80430.0,92550.0,78820.0,78620.0,106810.0,100320.0,80940.0,101180.0,76870.0,81500.0,79870.0,65600.0,97680.0,81640.0,106240.0,77150.0,65370.0,66770.0,82080.0,78110.0,80080.0,82930.0,79470.0,64710.0,82300.0,72120.0,81500.0,75010.0,81500.0,19860.0,390.0,30.0,170.0,460.0,1680.0,380.0,330.0,61.0,160.0,630.0,620.0,150.0,50.0,630.0,420.0,180.0,130.0,260.0,130.0,100.0,320.0,850.0,380.0,280.0,210.0,390.0,60.0,110.0,90.0,110.0,640.0,140.0,1780.0,790.0,54.0,500.0,170.0,170.0,890.0,150.0,340.0,30.0,530.0,2170.0,160.0,100.0,810.0,320.0,90.0,280.0,30.0,8.0,60.0,4.0
"Foreign Language and Literature Teachers, Postsecondary",provide professional consulting services to government or industry,"Advise educators on curricula, instructional methods, or policies.",Advise others on educational or vocational matters.,Provide Consultation and Advice to Others,Provide professional consulting services to government or industry.,foreign language and literature teachers postsecondary,25-1124.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,4.061728395061728,0.0031141194441639,2025-11-13,0.1175805702917771,2.635172413793104,54.70068965517241,77010.0,65810.0,46320.0,68350.0,63460.0,106330.0,68610.0,106430.0,63010.0,81620.0,63160.0,64420.0,77010.0,50520.0,77100.0,66920.0,76270.0,63230.0,70150.0,77010.0,77010.0,79860.0,95730.0,79830.0,78280.0,52320.0,66450.0,78770.0,60570.0,81550.0,80880.0,78340.0,72670.0,94280.0,60760.0,77010.0,61460.0,61520.0,83870.0,75980.0,88340.0,70460.0,67940.0,64570.0,77340.0,65040.0,77010.0,63450.0,75890.0,63090.0,67320.0,77010.0,77010.0,80620.0,77010.0,21170.0,120.0,44.0,340.0,250.0,2120.0,430.0,350.0,100.0,370.0,890.0,330.0,85.0,50.0,740.0,720.0,310.0,140.0,200.0,261.0,87.0,260.0,1110.0,500.0,390.0,160.0,390.0,70.0,110.0,80.0,180.0,840.0,60.0,1610.0,660.0,58.0,780.0,80.0,320.0,1260.0,90.0,350.0,50.0,360.0,1700.0,110.0,150.0,890.0,380.0,70.0,380.0,38.0,8.0,140.0,5.0
"Foreign Language and Literature Teachers, Postsecondary",collaborate with colleagues to address teaching and research issues,Research topics in area of expertise.,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge,Collaborate with colleagues to address teaching and research issues.,foreign language and literature teachers postsecondary,25-1124.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,3.6440677966101696,0.0001532154338349,2025-11-13,0.1805246153846154,3.77,92.55,77010.0,65810.0,46320.0,68350.0,63460.0,106330.0,68610.0,106430.0,63010.0,81620.0,63160.0,64420.0,77010.0,50520.0,77100.0,66920.0,76270.0,63230.0,70150.0,77010.0,77010.0,79860.0,95730.0,79830.0,78280.0,52320.0,66450.0,78770.0,60570.0,81550.0,80880.0,78340.0,72670.0,94280.0,60760.0,77010.0,61460.0,61520.0,83870.0,75980.0,88340.0,70460.0,67940.0,64570.0,77340.0,65040.0,77010.0,63450.0,75890.0,63090.0,67320.0,77010.0,77010.0,80620.0,77010.0,21170.0,120.0,44.0,340.0,250.0,2120.0,430.0,350.0,100.0,370.0,890.0,330.0,85.0,50.0,740.0,720.0,310.0,140.0,200.0,261.0,87.0,260.0,1110.0,500.0,390.0,160.0,390.0,70.0,110.0,80.0,180.0,840.0,60.0,1610.0,660.0,58.0,780.0,80.0,320.0,1260.0,90.0,350.0,50.0,360.0,1700.0,110.0,150.0,890.0,380.0,70.0,380.0,38.0,8.0,140.0,5.0
"Home Economics Teachers, Postsecondary",maintain regularly scheduled office hours to advise and assist students,Advise students on academic or career matters.,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others,Maintain regularly scheduled office hours to advise and assist students.,home economics teachers postsecondary,25-1192.00,Miscellaneous Postsecondary Teachers,Postsecondary Teachers,Educational Instruction and Library Occupations,False,3.876712328767124,0.000110106644544,2025-11-13,0.8874760520361992,3.985882352941177,95.99,77280.0,77280.0,77280.0,77280.0,77280.0,134060.0,77280.0,77280.0,77280.0,77280.0,77280.0,77280.0,77280.0,77280.0,79460.0,65220.0,76330.0,77280.0,65360.0,81030.0,77280.0,77280.0,77280.0,80130.0,77280.0,79950.0,65580.0,77280.0,77280.0,77280.0,77280.0,51260.0,77280.0,77280.0,79090.0,77280.0,77280.0,79840.0,73020.0,64620.0,77280.0,70730.0,77280.0,77280.0,77280.0,74790.0,77280.0,68050.0,65200.0,77280.0,77280.0,77280.0,77280.0,77280.0,77280.0,2630.0,35.0,5.0,54.0,22.0,320.0,49.0,28.0,8.0,12.0,166.0,82.0,11.0,14.0,140.0,110.0,40.0,24.0,100.0,40.0,11.0,47.0,62.0,50.0,49.0,80.0,100.0,9.0,17.0,26.0,12.0,40.0,15.0,162.0,220.0,7.0,140.0,60.0,40.0,170.0,8.0,60.0,8.0,55.0,235.0,180.0,5.0,100.0,70.0,12.0,50.0,5.0,1.0,16.0,1.0
