title,task_normalized,dwa_title,iwa_title,gwa_title,task,title_normalized,soc_code_2010,broad_occ,minor_occ_category,major_occ_category,physical,auto_aug_mean,pct_normalized,date,freq_mean,importance,relevance,eloundu_human,eloundu_gpt4,a_med_nat_2025,a_med_al_2025,a_med_ak_2025,a_med_az_2025,a_med_ar_2025,a_med_ca_2025,a_med_co_2025,a_med_ct_2025,a_med_de_2025,a_med_dc_2025,a_med_fl_2025,a_med_ga_2025,a_med_hi_2025,a_med_id_2025,a_med_il_2025,a_med_in_2025,a_med_ia_2025,a_med_ks_2025,a_med_ky_2025,a_med_la_2025,a_med_me_2025,a_med_md_2025,a_med_ma_2025,a_med_mi_2025,a_med_mn_2025,a_med_ms_2025,a_med_mo_2025,a_med_mt_2025,a_med_ne_2025,a_med_nv_2025,a_med_nh_2025,a_med_nj_2025,a_med_nm_2025,a_med_ny_2025,a_med_nc_2025,a_med_nd_2025,a_med_oh_2025,a_med_ok_2025,a_med_or_2025,a_med_pa_2025,a_med_ri_2025,a_med_sc_2025,a_med_sd_2025,a_med_tn_2025,a_med_tx_2025,a_med_ut_2025,a_med_vt_2025,a_med_va_2025,a_med_wa_2025,a_med_wv_2025,a_med_wi_2025,a_med_wy_2025,a_med_gu_2025,a_med_pr_2025,a_med_vi_2025,emp_tot_nat_2025,emp_tot_al_2025,emp_tot_ak_2025,emp_tot_az_2025,emp_tot_ar_2025,emp_tot_ca_2025,emp_tot_co_2025,emp_tot_ct_2025,emp_tot_de_2025,emp_tot_dc_2025,emp_tot_fl_2025,emp_tot_ga_2025,emp_tot_hi_2025,emp_tot_id_2025,emp_tot_il_2025,emp_tot_in_2025,emp_tot_ia_2025,emp_tot_ks_2025,emp_tot_ky_2025,emp_tot_la_2025,emp_tot_me_2025,emp_tot_md_2025,emp_tot_ma_2025,emp_tot_mi_2025,emp_tot_mn_2025,emp_tot_ms_2025,emp_tot_mo_2025,emp_tot_mt_2025,emp_tot_ne_2025,emp_tot_nv_2025,emp_tot_nh_2025,emp_tot_nj_2025,emp_tot_nm_2025,emp_tot_ny_2025,emp_tot_nc_2025,emp_tot_nd_2025,emp_tot_oh_2025,emp_tot_ok_2025,emp_tot_or_2025,emp_tot_pa_2025,emp_tot_ri_2025,emp_tot_sc_2025,emp_tot_sd_2025,emp_tot_tn_2025,emp_tot_tx_2025,emp_tot_ut_2025,emp_tot_vt_2025,emp_tot_va_2025,emp_tot_wa_2025,emp_tot_wv_2025,emp_tot_wi_2025,emp_tot_wy_2025,emp_tot_gu_2025,emp_tot_pr_2025,emp_tot_vi_2025
"Packers and Packagers, Hand",mark and label containers container tags or products using marking tools,Mark materials or objects for identification.,Mark materials or objects for identification.,"Identifying Objects, Actions, and Events","Mark and label containers, container tags, or products, using marking tools.",packers and packagers hand,53-7064.00,Laborers and Material Movers,Material Moving Workers,Transportation and Material Moving Occupations,True,5.0,0.0001849820785509,2026-02-12,3.338708461538461,4.0,93.84,E2,E0,36280.0,31770.0,41670.0,37060.0,33930.0,37260.0,40730.0,35890.0,37290.0,40910.0,28280.0,33260.0,35930.0,36920.0,36090.0,37420.0,37470.0,44460.0,36850.0,27710.0,36330.0,35860.0,34200.0,35340.0,40310.0,33240.0,37670.0,34960.0,38880.0,37400.0,30700.0,43840.0,28070.0,37260.0,34360.0,31440.0,37000.0,34520.0,36190.0,36960.0,36730.0,32180.0,28760.0,35980.0,33090.0,36060.0,39440.0,35000.0,39220.0,28740.0,36010.0,32110.0,21030.0,21840.0,22880.0,559820.0,7050.0,560.0,7380.0,3050.0,79730.0,4120.0,4280.0,2030.0,170.0,38860.0,17380.0,2010.0,2020.0,23270.0,9690.0,4090.0,9900.0,5900.0,2280.0,1460.0,4230.0,15330.0,15590.0,5460.0,3490.0,5910.0,1490.0,3010.0,3750.0,3300.0,71260.0,1050.0,14830.0,19600.0,470.0,20700.0,3900.0,6370.0,22990.0,1830.0,7610.0,1040.0,14030.0,46510.0,5740.0,810.0,7790.0,11940.0,1140.0,13130.0,340.0,240.0,3840.0,100.0
"Philosophy and Religion Teachers, Postsecondary",conduct research in a particular field of knowledge and publish findings in professional journals books or electronic media,"Write articles, books or other original materials in area of expertise.",Write material for artistic or commercial purposes.,Documenting/Recording Information,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",philosophy and religion teachers postsecondary,25-1126.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,4.482543640897756,0.0039256637472879,2026-02-12,0.5809853846153846,4.1,86.25,E1,E2,80260.0,62210.0,80260.0,78940.0,74100.0,105820.0,78060.0,100360.0,80260.0,79310.0,63330.0,77570.0,101010.0,80260.0,77720.0,79740.0,77180.0,65410.0,65580.0,76310.0,102760.0,78360.0,98360.0,89610.0,79720.0,63560.0,75280.0,80260.0,75280.0,80260.0,82820.0,99450.0,80260.0,92050.0,76340.0,71360.0,77010.0,64840.0,85300.0,76600.0,82510.0,77230.0,58000.0,74090.0,76700.0,95410.0,102600.0,85310.0,81240.0,80260.0,79140.0,80260.0,80260.0,80260.0,80260.0,20460.0,280.0,43.0,350.0,60.0,1850.0,390.0,350.0,63.0,290.0,460.0,280.0,220.0,120.0,1080.0,480.0,260.0,190.0,320.0,70.0,60.0,480.0,890.0,620.0,410.0,90.0,320.0,67.0,80.0,203.0,130.0,900.0,114.0,1700.0,680.0,56.0,780.0,150.0,480.0,1280.0,150.0,250.0,40.0,490.0,1760.0,60.0,80.0,620.0,330.0,92.0,420.0,37.0,9.0,123.0,4.0
"Philosophy and Religion Teachers, Postsecondary",maintain regularly scheduled office hours to advise and assist students,Advise students on academic or career matters.,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others,Maintain regularly scheduled office hours to advise and assist students.,philosophy and religion teachers postsecondary,25-1126.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,3.9230769230769234,0.0001207381418394,2026-02-12,0.728036923076923,3.94,96.53,E2,E0,80260.0,62210.0,80260.0,78940.0,74100.0,105820.0,78060.0,100360.0,80260.0,79310.0,63330.0,77570.0,101010.0,80260.0,77720.0,79740.0,77180.0,65410.0,65580.0,76310.0,102760.0,78360.0,98360.0,89610.0,79720.0,63560.0,75280.0,80260.0,75280.0,80260.0,82820.0,99450.0,80260.0,92050.0,76340.0,71360.0,77010.0,64840.0,85300.0,76600.0,82510.0,77230.0,58000.0,74090.0,76700.0,95410.0,102600.0,85310.0,81240.0,80260.0,79140.0,80260.0,80260.0,80260.0,80260.0,20460.0,280.0,43.0,350.0,60.0,1850.0,390.0,350.0,63.0,290.0,460.0,280.0,220.0,120.0,1080.0,480.0,260.0,190.0,320.0,70.0,60.0,480.0,890.0,620.0,410.0,90.0,320.0,67.0,80.0,203.0,130.0,900.0,114.0,1700.0,680.0,56.0,780.0,150.0,480.0,1280.0,150.0,250.0,40.0,490.0,1760.0,60.0,80.0,620.0,330.0,92.0,420.0,37.0,9.0,123.0,4.0
"Philosophy and Religion Teachers, Postsecondary",compile bibliographies of specialized materials for outside reading assignments,Compile specialized bibliographies or lists of materials.,"Compile records, documentation, or other data.",Processing Information,Compile bibliographies of specialized materials for outside reading assignments.,philosophy and religion teachers postsecondary,25-1126.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.0004902438686719,2026-02-12,0.0562938461538461,3.17,70.96,E1,E1,80260.0,62210.0,80260.0,78940.0,74100.0,105820.0,78060.0,100360.0,80260.0,79310.0,63330.0,77570.0,101010.0,80260.0,77720.0,79740.0,77180.0,65410.0,65580.0,76310.0,102760.0,78360.0,98360.0,89610.0,79720.0,63560.0,75280.0,80260.0,75280.0,80260.0,82820.0,99450.0,80260.0,92050.0,76340.0,71360.0,77010.0,64840.0,85300.0,76600.0,82510.0,77230.0,58000.0,74090.0,76700.0,95410.0,102600.0,85310.0,81240.0,80260.0,79140.0,80260.0,80260.0,80260.0,80260.0,20460.0,280.0,43.0,350.0,60.0,1850.0,390.0,350.0,63.0,290.0,460.0,280.0,220.0,120.0,1080.0,480.0,260.0,190.0,320.0,70.0,60.0,480.0,890.0,620.0,410.0,90.0,320.0,67.0,80.0,203.0,130.0,900.0,114.0,1700.0,680.0,56.0,780.0,150.0,480.0,1280.0,150.0,250.0,40.0,490.0,1760.0,60.0,80.0,620.0,330.0,92.0,420.0,37.0,9.0,123.0,4.0
"Philosophy and Religion Teachers, Postsecondary",act as advisers to student organizations,Advise students on academic or career matters.,Advise others on educational or vocational matters.,Provide Consultation and Advice to Others,Act as advisers to student organizations.,philosophy and religion teachers postsecondary,25-1126.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,4.0285714285714285,0.0001191193728048,2026-02-12,0.137476923076923,3.05,77.09,E1,E0,80260.0,62210.0,80260.0,78940.0,74100.0,105820.0,78060.0,100360.0,80260.0,79310.0,63330.0,77570.0,101010.0,80260.0,77720.0,79740.0,77180.0,65410.0,65580.0,76310.0,102760.0,78360.0,98360.0,89610.0,79720.0,63560.0,75280.0,80260.0,75280.0,80260.0,82820.0,99450.0,80260.0,92050.0,76340.0,71360.0,77010.0,64840.0,85300.0,76600.0,82510.0,77230.0,58000.0,74090.0,76700.0,95410.0,102600.0,85310.0,81240.0,80260.0,79140.0,80260.0,80260.0,80260.0,80260.0,20460.0,280.0,43.0,350.0,60.0,1850.0,390.0,350.0,63.0,290.0,460.0,280.0,220.0,120.0,1080.0,480.0,260.0,190.0,320.0,70.0,60.0,480.0,890.0,620.0,410.0,90.0,320.0,67.0,80.0,203.0,130.0,900.0,114.0,1700.0,680.0,56.0,780.0,150.0,480.0,1280.0,150.0,250.0,40.0,490.0,1760.0,60.0,80.0,620.0,330.0,92.0,420.0,37.0,9.0,123.0,4.0
"Philosophy and Religion Teachers, Postsecondary",compile administer and grade examinations or assign this work to others,Evaluate student work.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Things, Services, or People","Compile, administer, and grade examinations, or assign this work to others.",philosophy and religion teachers postsecondary,25-1126.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.002169135672924,2026-02-12,0.5567869230769231,4.53,97.22,E2,E2,80260.0,62210.0,80260.0,78940.0,74100.0,105820.0,78060.0,100360.0,80260.0,79310.0,63330.0,77570.0,101010.0,80260.0,77720.0,79740.0,77180.0,65410.0,65580.0,76310.0,102760.0,78360.0,98360.0,89610.0,79720.0,63560.0,75280.0,80260.0,75280.0,80260.0,82820.0,99450.0,80260.0,92050.0,76340.0,71360.0,77010.0,64840.0,85300.0,76600.0,82510.0,77230.0,58000.0,74090.0,76700.0,95410.0,102600.0,85310.0,81240.0,80260.0,79140.0,80260.0,80260.0,80260.0,80260.0,20460.0,280.0,43.0,350.0,60.0,1850.0,390.0,350.0,63.0,290.0,460.0,280.0,220.0,120.0,1080.0,480.0,260.0,190.0,320.0,70.0,60.0,480.0,890.0,620.0,410.0,90.0,320.0,67.0,80.0,203.0,130.0,900.0,114.0,1700.0,680.0,56.0,780.0,150.0,480.0,1280.0,150.0,250.0,40.0,490.0,1760.0,60.0,80.0,620.0,330.0,92.0,420.0,37.0,9.0,123.0,4.0
"Philosophy and Religion Teachers, Postsecondary",compile administer and grade examinations or assign this work to others,Prepare tests.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Things, Services, or People","Compile, administer, and grade examinations, or assign this work to others.",philosophy and religion teachers postsecondary,25-1126.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.002169135672924,2026-02-12,0.5567869230769231,4.53,97.22,E2,E2,80260.0,62210.0,80260.0,78940.0,74100.0,105820.0,78060.0,100360.0,80260.0,79310.0,63330.0,77570.0,101010.0,80260.0,77720.0,79740.0,77180.0,65410.0,65580.0,76310.0,102760.0,78360.0,98360.0,89610.0,79720.0,63560.0,75280.0,80260.0,75280.0,80260.0,82820.0,99450.0,80260.0,92050.0,76340.0,71360.0,77010.0,64840.0,85300.0,76600.0,82510.0,77230.0,58000.0,74090.0,76700.0,95410.0,102600.0,85310.0,81240.0,80260.0,79140.0,80260.0,80260.0,80260.0,80260.0,20460.0,280.0,43.0,350.0,60.0,1850.0,390.0,350.0,63.0,290.0,460.0,280.0,220.0,120.0,1080.0,480.0,260.0,190.0,320.0,70.0,60.0,480.0,890.0,620.0,410.0,90.0,320.0,67.0,80.0,203.0,130.0,900.0,114.0,1700.0,680.0,56.0,780.0,150.0,480.0,1280.0,150.0,250.0,40.0,490.0,1760.0,60.0,80.0,620.0,330.0,92.0,420.0,37.0,9.0,123.0,4.0
"Philosophy and Religion Teachers, Postsecondary",compile administer and grade examinations or assign this work to others,Administer tests to assess educational needs or progress.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Things, Services, or People","Compile, administer, and grade examinations, or assign this work to others.",philosophy and religion teachers postsecondary,25-1126.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.002169135672924,2026-02-12,0.5567869230769231,4.53,97.22,E2,E2,80260.0,62210.0,80260.0,78940.0,74100.0,105820.0,78060.0,100360.0,80260.0,79310.0,63330.0,77570.0,101010.0,80260.0,77720.0,79740.0,77180.0,65410.0,65580.0,76310.0,102760.0,78360.0,98360.0,89610.0,79720.0,63560.0,75280.0,80260.0,75280.0,80260.0,82820.0,99450.0,80260.0,92050.0,76340.0,71360.0,77010.0,64840.0,85300.0,76600.0,82510.0,77230.0,58000.0,74090.0,76700.0,95410.0,102600.0,85310.0,81240.0,80260.0,79140.0,80260.0,80260.0,80260.0,80260.0,20460.0,280.0,43.0,350.0,60.0,1850.0,390.0,350.0,63.0,290.0,460.0,280.0,220.0,120.0,1080.0,480.0,260.0,190.0,320.0,70.0,60.0,480.0,890.0,620.0,410.0,90.0,320.0,67.0,80.0,203.0,130.0,900.0,114.0,1700.0,680.0,56.0,780.0,150.0,480.0,1280.0,150.0,250.0,40.0,490.0,1760.0,60.0,80.0,620.0,330.0,92.0,420.0,37.0,9.0,123.0,4.0
"Philosophy and Religion Teachers, Postsecondary",conduct research in a particular field of knowledge and publish findings in professional journals books or electronic media,Research topics in area of expertise.,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",philosophy and religion teachers postsecondary,25-1126.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,4.482543640897756,0.0039256637472879,2026-02-12,0.5809853846153846,4.1,86.25,E1,E2,80260.0,62210.0,80260.0,78940.0,74100.0,105820.0,78060.0,100360.0,80260.0,79310.0,63330.0,77570.0,101010.0,80260.0,77720.0,79740.0,77180.0,65410.0,65580.0,76310.0,102760.0,78360.0,98360.0,89610.0,79720.0,63560.0,75280.0,80260.0,75280.0,80260.0,82820.0,99450.0,80260.0,92050.0,76340.0,71360.0,77010.0,64840.0,85300.0,76600.0,82510.0,77230.0,58000.0,74090.0,76700.0,95410.0,102600.0,85310.0,81240.0,80260.0,79140.0,80260.0,80260.0,80260.0,80260.0,20460.0,280.0,43.0,350.0,60.0,1850.0,390.0,350.0,63.0,290.0,460.0,280.0,220.0,120.0,1080.0,480.0,260.0,190.0,320.0,70.0,60.0,480.0,890.0,620.0,410.0,90.0,320.0,67.0,80.0,203.0,130.0,900.0,114.0,1700.0,680.0,56.0,780.0,150.0,480.0,1280.0,150.0,250.0,40.0,490.0,1760.0,60.0,80.0,620.0,330.0,92.0,420.0,37.0,9.0,123.0,4.0
"Philosophy and Religion Teachers, Postsecondary",keep abreast of developments in the field by reading current literature talking with colleagues and participating in professional conferences,Stay informed about current developments in field of specialization.,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge,"Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",philosophy and religion teachers postsecondary,25-1126.00,"Arts, Communications, History, and Humanities Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,4.625625556692412,0.0006049615801507,2026-02-12,0.4579357692307693,4.35,97.22,E1,E2,80260.0,62210.0,80260.0,78940.0,74100.0,105820.0,78060.0,100360.0,80260.0,79310.0,63330.0,77570.0,101010.0,80260.0,77720.0,79740.0,77180.0,65410.0,65580.0,76310.0,102760.0,78360.0,98360.0,89610.0,79720.0,63560.0,75280.0,80260.0,75280.0,80260.0,82820.0,99450.0,80260.0,92050.0,76340.0,71360.0,77010.0,64840.0,85300.0,76600.0,82510.0,77230.0,58000.0,74090.0,76700.0,95410.0,102600.0,85310.0,81240.0,80260.0,79140.0,80260.0,80260.0,80260.0,80260.0,20460.0,280.0,43.0,350.0,60.0,1850.0,390.0,350.0,63.0,290.0,460.0,280.0,220.0,120.0,1080.0,480.0,260.0,190.0,320.0,70.0,60.0,480.0,890.0,620.0,410.0,90.0,320.0,67.0,80.0,203.0,130.0,900.0,114.0,1700.0,680.0,56.0,780.0,150.0,480.0,1280.0,150.0,250.0,40.0,490.0,1760.0,60.0,80.0,620.0,330.0,92.0,420.0,37.0,9.0,123.0,4.0
