task,task_normalized,dwa_title,iwa_title,gwa_title,title,title_normalized,soc_code_2010,broad_occ,minor_occ_category,major_occ_category,date,pct_normalized,auto_aug_mean,physical,freq_mean,importance,relevance,eloundu_human,eloundu_gpt4,a_med_nat_2025,a_med_al_2025,a_med_ak_2025,a_med_az_2025,a_med_ar_2025,a_med_ca_2025,a_med_co_2025,a_med_ct_2025,a_med_de_2025,a_med_dc_2025,a_med_fl_2025,a_med_ga_2025,a_med_hi_2025,a_med_id_2025,a_med_il_2025,a_med_in_2025,a_med_ia_2025,a_med_ks_2025,a_med_ky_2025,a_med_la_2025,a_med_me_2025,a_med_md_2025,a_med_ma_2025,a_med_mi_2025,a_med_mn_2025,a_med_ms_2025,a_med_mo_2025,a_med_mt_2025,a_med_ne_2025,a_med_nv_2025,a_med_nh_2025,a_med_nj_2025,a_med_nm_2025,a_med_ny_2025,a_med_nc_2025,a_med_nd_2025,a_med_oh_2025,a_med_ok_2025,a_med_or_2025,a_med_pa_2025,a_med_ri_2025,a_med_sc_2025,a_med_sd_2025,a_med_tn_2025,a_med_tx_2025,a_med_ut_2025,a_med_vt_2025,a_med_va_2025,a_med_wa_2025,a_med_wv_2025,a_med_wi_2025,a_med_wy_2025,a_med_gu_2025,a_med_pr_2025,a_med_vi_2025,emp_tot_nat_2025,emp_tot_al_2025,emp_tot_ak_2025,emp_tot_az_2025,emp_tot_ar_2025,emp_tot_ca_2025,emp_tot_co_2025,emp_tot_ct_2025,emp_tot_de_2025,emp_tot_dc_2025,emp_tot_fl_2025,emp_tot_ga_2025,emp_tot_hi_2025,emp_tot_id_2025,emp_tot_il_2025,emp_tot_in_2025,emp_tot_ia_2025,emp_tot_ks_2025,emp_tot_ky_2025,emp_tot_la_2025,emp_tot_me_2025,emp_tot_md_2025,emp_tot_ma_2025,emp_tot_mi_2025,emp_tot_mn_2025,emp_tot_ms_2025,emp_tot_mo_2025,emp_tot_mt_2025,emp_tot_ne_2025,emp_tot_nv_2025,emp_tot_nh_2025,emp_tot_nj_2025,emp_tot_nm_2025,emp_tot_ny_2025,emp_tot_nc_2025,emp_tot_nd_2025,emp_tot_oh_2025,emp_tot_ok_2025,emp_tot_or_2025,emp_tot_pa_2025,emp_tot_ri_2025,emp_tot_sc_2025,emp_tot_sd_2025,emp_tot_tn_2025,emp_tot_tx_2025,emp_tot_ut_2025,emp_tot_vt_2025,emp_tot_va_2025,emp_tot_wa_2025,emp_tot_wv_2025,emp_tot_wi_2025,emp_tot_wy_2025,emp_tot_gu_2025,emp_tot_pr_2025,emp_tot_vi_2025
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",confer with board members organization officials or staff members to discuss issues coordinate activities or resolve problems,Confer with organizational members to accomplish work activities.,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates",Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2026-02-12,0.0147307049916046,5.0,False,0.6259653846153846,4.32,81.71,E0,E0,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,204350.0,810.0,640.0,4229.0,3550.0,34700.0,3752.0,1660.0,390.0,916.0,12963.0,4080.0,470.0,2920.0,4620.0,1820.0,3050.0,1960.0,2070.0,2526.0,1580.0,3180.0,6590.0,4950.0,6740.0,310.0,2550.0,670.0,2510.0,1370.0,892.0,2430.0,100.0,8430.0,1930.0,380.0,4470.0,2390.0,910.0,8850.0,460.0,1740.0,510.0,4700.0,8780.0,3140.0,360.0,4870.0,3170.0,1700.0,3840.0,60.0,87.0,2690.0,130.0
"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",interpret and explain policies rules regulations or laws to organizations government or corporate officials or individuals,Communicate organizational policies and procedures.,"Explain regulations, policies, or procedures.",Interpreting the Meaning of Information for Others,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2026-02-12,0.0066454308232802,5.0,False,0.7389096153846154,4.09,96.73,E1,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,204350.0,810.0,640.0,4229.0,3550.0,34700.0,3752.0,1660.0,390.0,916.0,12963.0,4080.0,470.0,2920.0,4620.0,1820.0,3050.0,1960.0,2070.0,2526.0,1580.0,3180.0,6590.0,4950.0,6740.0,310.0,2550.0,670.0,2510.0,1370.0,892.0,2430.0,100.0,8430.0,1930.0,380.0,4470.0,2390.0,910.0,8850.0,460.0,1740.0,510.0,4700.0,8780.0,3140.0,360.0,4870.0,3170.0,1700.0,3840.0,60.0,87.0,2690.0,130.0
"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction program improvement or policy change,Analyze data to assess operational or project effectiveness.,Analyze data to improve operations.,Analyzing Data or Information,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2026-02-12,0.1533986948373862,4.395331325301205,False,0.5812692307692308,4.13,98.57,E2,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,204350.0,810.0,640.0,4229.0,3550.0,34700.0,3752.0,1660.0,390.0,916.0,12963.0,4080.0,470.0,2920.0,4620.0,1820.0,3050.0,1960.0,2070.0,2526.0,1580.0,3180.0,6590.0,4950.0,6740.0,310.0,2550.0,670.0,2510.0,1370.0,892.0,2430.0,100.0,8430.0,1930.0,380.0,4470.0,2390.0,910.0,8850.0,460.0,1740.0,510.0,4700.0,8780.0,3140.0,360.0,4870.0,3170.0,1700.0,3840.0,60.0,87.0,2690.0,130.0
"Serve as liaisons between organizations, shareholders, and outside organizations.",serve as liaisons between organizations shareholders and outside organizations,Liaise between departments or other groups to improve function or communication.,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates",Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2026-02-12,0.00221514360776,5.0,False,0.798675,3.92,68.36,E2,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,204350.0,810.0,640.0,4229.0,3550.0,34700.0,3752.0,1660.0,390.0,916.0,12963.0,4080.0,470.0,2920.0,4620.0,1820.0,3050.0,1960.0,2070.0,2526.0,1580.0,3180.0,6590.0,4950.0,6740.0,310.0,2550.0,670.0,2510.0,1370.0,892.0,2430.0,100.0,8430.0,1930.0,380.0,4470.0,2390.0,910.0,8850.0,460.0,1740.0,510.0,4700.0,8780.0,3140.0,360.0,4870.0,3170.0,1700.0,3840.0,60.0,87.0,2690.0,130.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,Implement organizational process or policy changes.,Implement procedures or processes.,Making Decisions and Solving Problems,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2026-02-12,0.0032119582312521,5.0,False,0.9714211538461538,4.24,97.79,E0,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,204350.0,810.0,640.0,4229.0,3550.0,34700.0,3752.0,1660.0,390.0,916.0,12963.0,4080.0,470.0,2920.0,4620.0,1820.0,3050.0,1960.0,2070.0,2526.0,1580.0,3180.0,6590.0,4950.0,6740.0,310.0,2550.0,670.0,2510.0,1370.0,892.0,2430.0,100.0,8430.0,1930.0,380.0,4470.0,2390.0,910.0,8850.0,460.0,1740.0,510.0,4700.0,8780.0,3140.0,360.0,4870.0,3170.0,1700.0,3840.0,60.0,87.0,2690.0,130.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,Develop organizational policies or programs.,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2026-02-12,0.0032119582312521,5.0,False,0.9714211538461538,4.24,97.79,E0,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,204350.0,810.0,640.0,4229.0,3550.0,34700.0,3752.0,1660.0,390.0,916.0,12963.0,4080.0,470.0,2920.0,4620.0,1820.0,3050.0,1960.0,2070.0,2526.0,1580.0,3180.0,6590.0,4950.0,6740.0,310.0,2550.0,670.0,2510.0,1370.0,892.0,2430.0,100.0,8430.0,1930.0,380.0,4470.0,2390.0,910.0,8850.0,460.0,1740.0,510.0,4700.0,8780.0,3140.0,360.0,4870.0,3170.0,1700.0,3840.0,60.0,87.0,2690.0,130.0
"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",direct plan or implement policies objectives or activities of organizations or businesses to ensure continuing operations to maximize returns on investments or to increase productivity,"Direct organizational operations, projects, or services.","Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2026-02-12,0.0032119582312521,5.0,False,0.9714211538461538,4.24,97.79,E0,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,204350.0,810.0,640.0,4229.0,3550.0,34700.0,3752.0,1660.0,390.0,916.0,12963.0,4080.0,470.0,2920.0,4620.0,1820.0,3050.0,1960.0,2070.0,2526.0,1580.0,3180.0,6590.0,4950.0,6740.0,310.0,2550.0,670.0,2510.0,1370.0,892.0,2430.0,100.0,8430.0,1930.0,380.0,4470.0,2390.0,910.0,8850.0,460.0,1740.0,510.0,4700.0,8780.0,3140.0,360.0,4870.0,3170.0,1700.0,3840.0,60.0,87.0,2690.0,130.0
Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,direct or coordinate activities of businesses involved with buying or selling investment products or financial services,Direct financial operations.,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates",Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2026-02-12,0.0045410443959081,5.0,False,0.6491788461538461,3.9,27.31,E0,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,204350.0,810.0,640.0,4229.0,3550.0,34700.0,3752.0,1660.0,390.0,916.0,12963.0,4080.0,470.0,2920.0,4620.0,1820.0,3050.0,1960.0,2070.0,2526.0,1580.0,3180.0,6590.0,4950.0,6740.0,310.0,2550.0,670.0,2510.0,1370.0,892.0,2430.0,100.0,8430.0,1930.0,380.0,4470.0,2390.0,910.0,8850.0,460.0,1740.0,510.0,4700.0,8780.0,3140.0,360.0,4870.0,3170.0,1700.0,3840.0,60.0,87.0,2690.0,130.0
Direct or conduct studies or research on issues affecting areas of responsibility.,direct or conduct studies or research on issues affecting areas of responsibility,,,,Chief Executives,chief executives,11-1011.00,Chief Executives,Top Executives,Management Occupations,2026-02-12,0.00166135770582,4.913618760757315,False,0.4121142307692307,3.66,58.3,E1,E2,213990.0,166420.0,166710.0,213990.0,119990.0,218600.0,213370.0,295120.0,199990.0,213990.0,213990.0,208180.0,281640.0,177210.0,331920.0,254180.0,211190.0,158100.0,179530.0,213990.0,138770.0,248660.0,213990.0,255560.0,195670.0,139250.0,172320.0,182340.0,214680.0,149770.0,168590.0,310440.0,123500.0,257980.0,314290.0,164560.0,176440.0,163790.0,341630.0,232560.0,235360.0,168840.0,280900.0,198830.0,257850.0,171880.0,175070.0,310740.0,339810.0,151950.0,208350.0,147940.0,213990.0,97510.0,104010.0,204350.0,810.0,640.0,4229.0,3550.0,34700.0,3752.0,1660.0,390.0,916.0,12963.0,4080.0,470.0,2920.0,4620.0,1820.0,3050.0,1960.0,2070.0,2526.0,1580.0,3180.0,6590.0,4950.0,6740.0,310.0,2550.0,670.0,2510.0,1370.0,892.0,2430.0,100.0,8430.0,1930.0,380.0,4470.0,2390.0,910.0,8850.0,460.0,1740.0,510.0,4700.0,8780.0,3140.0,360.0,4870.0,3170.0,1700.0,3840.0,60.0,87.0,2690.0,130.0
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",review financial statements sales or activity reports or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement,Analyze data to inform operational decisions or activities.,Analyze data to improve operations.,Analyzing Data or Information,General and Operations Managers,general and operations managers,11-1021.00,General and Operations Managers,Top Executives,Management Occupations,2026-02-12,0.0399833421200696,4.679738562091504,False,0.6705076923076924,4.18,97.14,E2,E2,105770.0,111790.0,116630.0,94800.0,74050.0,124390.0,131840.0,137220.0,137220.0,168000.0,101580.0,103730.0,108180.0,80390.0,103570.0,108170.0,87690.0,92840.0,79370.0,101790.0,98860.0,117930.0,127220.0,99530.0,99340.0,106680.0,79300.0,91380.0,85090.0,99390.0,124680.0,173690.0,98630.0,130860.0,101950.0,98170.0,97700.0,90430.0,103490.0,103130.0,117380.0,106080.0,137400.0,106970.0,103230.0,97850.0,98640.0,122080.0,133750.0,82500.0,118730.0,99700.0,67690.0,73570.0,82850.0,3503020.0,30170.0,6020.0,110480.0,34570.0,300840.0,41870.0,39070.0,5000.0,36150.0,236290.0,111060.0,13380.0,24880.0,171300.0,47180.0,30760.0,24660.0,52100.0,43220.0,14770.0,96740.0,95880.0,85860.0,72860.0,10630.0,109020.0,11840.0,24030.0,38920.0,22110.0,53000.0,16330.0,206740.0,63740.0,11150.0,153160.0,43890.0,36190.0,172010.0,9150.0,32230.0,4280.0,63720.0,431310.0,42580.0,8000.0,103590.0,50630.0,15300.0,36910.0,7470.0,1580.0,7190.0,1040.0
